0	Index      	 *	Score 	Summary	Detail	
1	11331 65252	 * 	211.43	DCR|3DMG|2VULN|1AART|2CDMG|1ZMB	159DMG|29VULN|3RCVC|49CDMG|6RCR|7AART|8BELT|9BPWR|aZMB
2	14324 73225	 * 	210.92	DCR|4VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589aVULN|6RCR
3	13212 63224	 * 	209.60	DCR|5VULN|2DMG|1AART	17DMG|2RPLT|3AART|4589aVULN|6RCR
4	14324 73125	 * 	208.27	DCR|3VULN|2AART|2DMG|1CDMG	17DMG|28AART|3CDMG|4MBVNT|59aVULN|6RCR
5	13212 63124	 * 	208.22	DCR|4VULN|2AART|2DMG	17DMG|2RPLT|38AART|459aVULN|6RCR
6	14324 73224	   	207.82	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aZMB
7	13212 63226	   	207.77	DCR|4VULN|2DMG|1AART|1ZMB	17DMG|2RPLT|3AART|4589VULN|6RCR|aZMB
8	13212 63126	   	205.12	DCR|3VULN|2AART|2DMG|1ZMB	17DMG|2RPLT|38AART|459VULN|6RCR|aZMB
9	14112 44212	 * 	204.48	ACR|3VULN|2DMG|1AART|1FLTHEA|1ASPD	18DMG|2AART|3RCR|4BELT|5FLTHEA|689VULN|78LHND|8BPWR|aASPD
10	14324 73124	   	203.61	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	17DMG|28AART|3CDMG|4MBVNT|59VULN|6RCR|aZMB
11	14324 73425	 * 	203.13	DCR|3VULN|2DMG|1AART|2CDMG	17DMG|2AART|38CDMG|4MBVNT|59aVULN|6RCR
12	11331 65162	   	200.86	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	15aDMG|29VULN|3RCVC|4CDMG|6RCR|7AART|8ASPD
13	11331 65251	   	200.43	DCR|3DMG|2VULN|1AART|2CDMG	159DMG|29VULN|3RCVC|49CDMG|6RCR|7AART|8BELT|9BPWR|aLWND
14	11331 65253	   	200.33	DCR|3DMG|2VULN|1AART|2CDMG	159DMG|29VULN|3RCVC|49CDMG|6RCR|7AART|8BELT|9BPWR|aDUST
15	14112 42342	   	199.82	ACR|2VULN|2DMG|1AART|1FLTHEA|1ZMB|1ASPD	18DMG|2AART|3RCR|4BELT|5FLTHEA|68VULN|78MLV|8BPWR|9ZMB|aASPD
16	14112 44222	   	199.82	ACR|2VULN|2DMG|1AART|1FLTHEA|1ZMB|1DUR	18DMG|2AART|3RCR|4BELT|5FLTHEA|68VULN|78LHND|8BPWR|9ZMB|aDUR
17	14324 73244	   	199.11	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	17DMG|2AART|3CDMG|4MBVNT|58VULN|6RCR|9DUR|aZMB
18	14324 72174	   	199.11	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18DMG|2AART|3CDMG|4MBVNT|59VULN|6RCR|7DUR|aZMB
19	14324 76143	   	199.11	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	18DMG|2AART|3CDMG|4MBVNT|59VULN|6RCR|7ASPD|aZMB
20	14323 77344	 * 	198.67	DCR|3DMG|2AART|2VULN|1CDMG	178DMG|25AART|3CDMG|4MBVNT|69VULN|aRCR
21	14323 78314	   	198.67	DCR|3DMG|2AART|2VULN|1CDMG	189DMG|25AART|3CDMG|4MBVNT|67VULN|aRCR
22	14324 73424	   	198.48	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2AART|38CDMG|4MBVNT|59VULN|6RCR|aZMB
23	14112 44211	   	197.54	ACR|3VULN|2DMG|1AART|1FLTHEA	18DMG|2AART|3RCR|4BELT|5FLTHEA|689VULN|78LHND|8BPWR|aBEXP
24	14112 44213	   	197.54	ACR|3VULN|2DMG|1AART|1FLTHEA	18DMG|2AART|3RCR|4BELT|5FLTHEA|689VULN|78LHND|8BPWR|aCGEN
25	14124 23124	 * 	197.54	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|59MLV|6LWND|7CGEN|89VULN|aCDMG
26	14164 24136	   	197.46	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	157DMG|2AART|3RCR|4MBVNT|5BPWR|6ASPD|8DUR|9aVULN
27	14121 63124	   	197.44	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|5LEGI|6MLV|79CGEN|89VULN|aCDMG
28	14124 33124	   	197.44	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|5MLV|6LEGI|79CGEN|89VULN|aCDMG
29	14121 53124	   	197.34	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|5LEGI|6TLV|79CGEN|89VULN|aCDMG
30	14122 16134	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|3RCR|4BPWR|5LHND|68aVULN|7RCVC|9CDMG
31	14125 23124	   	197.34	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|59TLV|6LWND|7CGEN|89VULN|aCDMG
32	14125 33124	   	197.34	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|2AART|3RCR|49BPWR|5TLV|6LEGI|79CGEN|89VULN|aCDMG
33	14121 16134	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	14DMG|2AART|3RCR|4BPWR|5LEGI|68aVULN|7RCVC|9CDMG
34	14164 12242	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	15DMG|2AART|3RCR|4MBVNT|5BPWR|69aVULN|7BELT|8CDMG
35	14324 73221	   	196.82	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aBELT
36	14324 73222	   	196.82	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aLHND
37	14324 73223	   	196.82	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aLWND
38	14324 73228	   	196.82	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aBEXP
39	13212 63221	   	196.77	DCR|4VULN|2DMG|1AART	17DMG|2RPLT|3AART|4589VULN|6RCR|aBELT
40	13212 63222	   	196.77	DCR|4VULN|2DMG|1AART	17DMG|2RPLT|3AART|4589VULN|6RCR|aLHND
41	13212 63223	   	196.77	DCR|4VULN|2DMG|1AART	17DMG|2RPLT|3AART|4589VULN|6RCR|aLWND
42	13212 63264	   	196.77	DCR|4VULN|2DMG|1AART	17DMG|2RPLT|3AART|458aVULN|6RCR|9RCVC
43	14324 73226	   	196.72	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3CDMG|4MBVNT|589VULN|6RCR|aDUST
44	13212 63225	   	196.67	DCR|4VULN|2DMG|1AART	17DMG|2RPLT|3AART|4589VULN|6RCR|aDUST
45	14324 77224	   	196.55	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2AART|37CDMG|4MBVNT|589VULN|6RCR|aZMB
46	13212 63448	   	196.22	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2RPLT|3AART|459VULN|6RCR|8MBVNT|aCDMG
47	14112 43412	   	195.33	ACR|2VULN|2DMG|1AART|1FLTHEA|1CDMG	19DMG|2AART|3RCR|4BELT|5FLTHEA|6aVULN|7CDMG|8LIT
48	14161 83144	   	194.59	ACR|3VULN|2DMG|1AART|1ZMB	17DMG|2AART|3RCR|4MBVNT|57TLV|67aVULN|7BPWR|8ZMB|9CGEN
49	14123 35252	   	194.55	ACR|3DMG|2VULN|1AART|1ZMB|1SELL	149DMG|2AART|3RCR|49BPWR|5RCVC|6SELL|79VULN|8BELT|aZMB
50	14324 73248	   	194.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|2AART|3aCDMG|4MBVNT|58VULN|6RCR|9DUR
51	13212 63121	   	194.11	DCR|3VULN|2AART|2DMG	17DMG|2RPLT|38AART|459VULN|6RCR|aBELT
52	13212 63122	   	194.11	DCR|3VULN|2AART|2DMG	17DMG|2RPLT|38AART|459VULN|6RCR|aLHND
53	13212 63123	   	194.11	DCR|3VULN|2AART|2DMG	17DMG|2RPLT|38AART|459VULN|6RCR|aLWND
