0	Index      	 *	Score 	Summary	Detail	
1	42124 32363	 * 	200.25	ACR|3DMG|2VULN|1AART|2CDMG	149DMG|29CGEN|3RCR|5LHND|6aVULN|79CDMG|8AART|9BPWR
2	22313 34321	 * 	198.26	DCR|3VULN|3DMG|1AART|1ASPD	12aFEWX|3ASPD|46aVULN|59aDMG|7AART|8RCR|aBPWR
3	44213 34322	   	198.06	DCR|3VULN|3DMG|1AART|1ASPD	129DMG|2BPWR|3FEWX|46aVULN|5ASPD|7AART|8RCR
4	46213 34322	   	198.06	DCR|3VULN|3DMG|1AART|1ASPD	129DMG|3FEWX|46aVULN|5ASPD|7AART|8RCR
5	44212 51122	 * 	197.05	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA|1DUR	12DMG|2BPWR|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
6	46212 51122	   	197.05	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA|1DUR	12DMG|3FEWX|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
7	21422 56121	   	196.12	DCR|3VULN|3DMG|1AART	13aFEWX|25aVULN|49aDMG|6RCR|7AART|8RMIN|aBPWR
8	22612 56121	   	196.12	DCR|3VULN|3DMG|1AART	12aFEWX|39aDMG|45aVULN|6RCR|7AART|8RMIN|aBPWR
9	44213 34312	 * 	196.06	DCR|3VULN|2DMG|1AART|1FLTHEA|1ASPD	12DMG|2BPWR|3FEWX|46aVULN|5ASPD|7AART|8RCR|9FLTHEA
10	46213 34312	   	196.06	DCR|3VULN|2DMG|1AART|1FLTHEA|1ASPD	12DMG|3FEWX|46aVULN|5ASPD|7AART|8RCR|9FLTHEA
11	41125 26233	   	192.44	ACR|3DMG|2VULN|1AART|1CDMG	149DMG|259ERES|3RCR|6LIT|7CDMG|89VULN|9BPWR|aAART
12	42131 22156	 * 	191.82	ACR|2VULN|2DMG|3ZMB|1AART	18DMG|28CGEN|3RCR|479ZMB|5FEWX|68VULN|8BPWR|aAART
13	15121 22116	   	191.82	ACR|2VULN|2DMG|3ZMB|1AART	18MLV|278ZMB|3RCR|49DMG|5FEWX|68VULN|8BPWR|aAART
14	41136 26212	   	191.69	ACR|3DMG|2VULN|1AART|1ZMB	159DMG|29ERES|3RCR|4ZMB|6aVULN|7AART|89CGEN|9BPWR
15	42136 26122	   	191.69	ACR|3DMG|2VULN|1AART|1ZMB	159DMG|2CGEN|3RCR|4ZMB|6aVULN|7AART|8RMIN
16	35121 22116	   	191.62	ACR|2VULN|2DMG|3ZMB|1AART	18ERES|278ZMB|3RCR|49DMG|5FEWX|68VULN|8BPWR|aAART
17	41131 22156	   	191.62	ACR|2VULN|2DMG|3ZMB|1AART	18DMG|28ERES|3RCR|479ZMB|5FEWX|68VULN|8BPWR|aAART
18	35125 26321	 * 	191.59	ACR|3VULN|2DMG|1AART|1ZMB	1ERES|2ZMB|3RCR|4aDMG|569VULN|7AART|8LHND
19	35126 26122	   	191.59	ACR|3DMG|2VULN|1AART|1ZMB	1ERES|2ZMB|3RCR|459DMG|6aVULN|7AART|8RMIN
20	41135 26321	   	191.59	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2ERES|3RCR|4ZMB|569VULN|7AART|8LHND
21	41136 26122	   	191.59	ACR|3DMG|2VULN|1AART|1ZMB	159DMG|2ERES|3RCR|4ZMB|6aVULN|7AART|8RMIN
22	41136 26321	   	191.59	ACR|3DMG|2VULN|1AART|1ZMB	15aDMG|2ERES|3RCR|4ZMB|69VULN|7AART|8LHND
