0	Index      	 *	Score 	Summary	Detail	
1	41226 33522	 * 	199.16	ACR|4VULN|1AART|1DMG|2CDMG	167aVULN|278LWND|3RCR|4AART|57CDMG|7BPWR|9DMG
2	41233 15531	 * 	193.79	ACR|4VULN|2DMG|1AART	178aVULN|24LWND|3RCR|57LHND|67DMG|7BPWR|9AART
3	43242 26312	 * 	192.56	ACR|4VULN|1AART|1DMG|2ZMB	189aVULN|2LEGI|3RCR|45ZMB|6AART|7DMG
4	41212 15413	 * 	191.84	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	17VULN|2LWND|3RCR|4NUKE|57ZMB|67DMG|7BPWR|8LIT|9CDMG|aAART
5	41212 15532	 * 	191.68	ACR|4VULN|2DMG|2ZMB|1DUR	178aVULN|2LWND|3RCR|4NUKE|57ZMB|67DMG|7BPWR|9DUR
6	43212 15532	   	191.58	ACR|4VULN|2DMG|2ZMB|1DUR	178aVULN|2LEGI|3RCR|4NUKE|57ZMB|67DMG|7BPWR|9DUR
7	41226 33513	   	190.10	ACR|4VULN|1AART|2CDMG|1ZMB	1679VULN|278LWND|3RCR|4AART|57CDMG|7BPWR|aZMB
8	43242 26322	 * 	189.90	ACR|3VULN|2AART|1DMG|2ZMB	18aVULN|2LEGI|3RCR|45ZMB|69AART|7DMG
9	41231 15231	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|24LWND|3RCR|57DUR|67DMG|7BPWR|8DUST|9AART|aCDMG
10	61223 65231	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|2LWND|3RCR|4DMSP|57DMG|67VULN|7BPWR|8DUST|9AART|aCDMG
11	41231 15413	   	189.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|24LWND|3RCR|57DUR|67DMG|7BPWR|8LIT|9CDMG|aAART
12	43243 26312	   	188.70	ACR|4VULN|1AART|1DMG|1ZMB	189aVULN|2LEGI|3RCR|4ZMB|5DMSP|6AART|7DMG
13	41231 15233	   	187.17	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17VULN|24LWND|3RCR|57DUR|67DMG|7BPWR|8DUST|9AART|aZMB
14	61223 65233	   	187.17	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	17DUR|2LWND|3RCR|4DMSP|57DMG|67VULN|7BPWR|8DUST|9AART|aZMB
15	46111 41312	 * 	186.93	ACR|5VULN|1AART|1DMG	1689aVULN|2DMG|3BEXP|4AART|5RCR|7TLV
16	43243 26322	   	186.05	ACR|3VULN|2AART|1DMG|1ZMB	18aVULN|2LEGI|3RCR|4ZMB|5DMSP|69AART|7DMG
17	46111 42331	 * 	185.65	ACR|4VULN|2AART|1DMG	167aVULN|2DMG|3BEXP|49AART|5RCR|8LHND
18	43242 26311	   	185.39	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	189VULN|2LEGI|3RCR|45ZMB|6AART|7DMG|aDUR
19	41226 33623	 * 	185.14	ACR|4VULN|1AART|3CDMG	167aVULN|27LWND|3RCR|4AART|578CDMG|7BPWR|9LHND
20	41226 33521	   	185.06	ACR|3VULN|1AART|1DMG|2CDMG	167VULN|278LWND|3RCR|4AART|57CDMG|7BPWR|9DMG|aBELT
21	41226 33523	   	185.06	ACR|3VULN|1AART|1DMG|2CDMG	167VULN|278LWND|3RCR|4AART|57CDMG|7BPWR|9DMG|aRPLT
22	41226 33633	   	185.04	ACR|4VULN|1AART|3CDMG	167aVULN|27LWND|3RCR|4AART|578CDMG|7BPWR|9DUST
