0	Index      	 *	Score 	Summary	Detail	
1	33141 12166	 * 	188.62	DCR|3DMG|2AART|1VULN|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9aAART
2	53141 12163	   	188.27	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aZMB
3	33141 12163	   	188.17	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aZMB
4	33144 12163	   	181.23	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9AART|aZMB
5	33123 26414	 * 	179.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|25DMG|3aVULN|4CGEN|6CDMG|7DUR|8RCR|9AART
6	33133 26414	   	179.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|25DMG|3aVULN|4TLV|6CDMG|7DUR|8RCR|9AART
7	53141 12161	   	177.27	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aLWND
8	33141 12161	   	177.17	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aLWND
9	53141 12162	   	177.17	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aTLV
10	33141 12162	   	177.07	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aTLV
11	53141 12111	   	176.67	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	19BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|aAART
12	32312 62636	 * 	175.11	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUST|2CANHEL|3aVULN|4RCR|5DUR|67DMG|8ASPD|9AART
13	33123 56314	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4CGEN|6LEGI|7RCR|8CDMG|9AART
14	33165 12163	   	174.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUST|267DMG|3VULN|4DUR|5BASHEA|8RCR|9AART|aZMB
15	33133 56314	   	174.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4TLV|6LEGI|7RCR|8CDMG|9AART
16	23142 14343	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	12CGEN|3CDMG|4RCVC|56DMG|7RCR|89VULN|aAART
17	22153 36314	 * 	172.73	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LHND|36aVULN|4DMG|5BEXP|7RCR|8CDMG|9AART
18	22151 36314	   	172.63	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LHND|36aVULN|4DMG|5DUST|7RCR|8CDMG|9AART
19	53151 22413	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|24DMG|3aVULN|5CGEN|6CDMG|7FEWX|8RCR|9AART
20	31153 21414	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CGEN|3aVULN|45DMG|6CDMG|7LWND|8RCR|9AART
21	31153 22413	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CGEN|3aVULN|45DMG|6CDMG|7FEWX|8RCR|9AART
22	33123 21414	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4CGEN|6CDMG|7LWND|8RCR|9AART
23	33123 22413	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4CGEN|6CDMG|7FEWX|8RCR|9AART
24	33151 21414	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3aVULN|5CGEN|6CDMG|7LWND|8RCR|9AART
25	33151 22413	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3aVULN|5CGEN|6CDMG|7FEWX|8RCR|9AART
26	31153 23414	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CGEN|3aVULN|45DMG|6CDMG|7LEGI|8RCR|9AART
27	33123 23414	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4CGEN|6CDMG|7LEGI|8RCR|9AART
28	33133 21414	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4TLV|6CDMG|7LWND|8RCR|9AART
29	33133 22413	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4TLV|6CDMG|7FEWX|8RCR|9AART
30	33151 23414	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3aVULN|5CGEN|6CDMG|7LEGI|8RCR|9AART
31	33154 22413	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24DMG|3aVULN|5TLV|6CDMG|7FEWX|8RCR|9AART
32	33133 23414	   	171.96	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25DMG|3aVULN|4TLV|6CDMG|7LEGI|8RCR|9AART
33	22116 15221	 * 	171.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1CGEN|2LHND|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9DMG
34	26116 15221	   	171.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1CGEN|2BEXP|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9DMG
35	51116 15221	   	171.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1BEXP|2CGEN|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9DMG
36	31116 15221	   	171.75	ACR|3VULN|1AART|1DMG|1FLTHEA	1DUST|2CGEN|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9DMG
37	42116 15221	   	171.75	ACR|3VULN|1AART|1DMG|1FLTHEA	1TLV|2LHND|38aVULN|4ERES|5RCR|6FLTHEA|7AART|9DMG
38	13141 12166	 * 	171.31	DCR|3DMG|2VULN|1AART|1FLTHEA|1DUR|1MSE	1MSE|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9AART
39	32312 51214	 * 	171.25	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1DUST|2aCANHEL|3VULN|4RCR|5DUR|6aFLTHEA|7BEXP|8AART|9aDMG|aBPWR
40	34312 51214	   	171.25	ACR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1DUST|2aAIRHEL|3VULN|4RCR|5DUR|6aFLTHEA|7BEXP|8AART|9aDMG|aBPWR
41	53141 12153	 * 	171.05	DCR|3DMG|2VULN|1FLTHEA|1DUR	1BEXP|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9LHND
42	33141 12113	   	170.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1DUST|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9BEXP
43	33141 12123	   	170.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1DUST|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9FEWX
44	33141 12153	   	170.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1DUST|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9LHND
45	53141 12123	   	170.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1BEXP|267DMG|3aVULN|4FLTHEA|5DUR|8RCR|9DUST
46	33144 12161	   	170.23	DCR|3DMG|1AART|1VULN|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9AART|aLHND
47	33144 12162	   	170.13	DCR|3DMG|1AART|1VULN|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9AART|aTLV
