0	Index      	 *	Score 	Summary	Detail	
1	62215 23633	 * 	180.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8ZMB|9ASPD|aVULN
2	53124 14311	 * 	179.10	ACR|2VULN|2DMG|1AART|2CDMG	178BEXP|28CDMG|3aDMG|4ERES|5RCR|68VULN|8BPWR|9AART
3	12136 33112	 * 	178.62	DCR|3DMG|1VULN|2ZMB|1CDMG|2DUR	1DMSP|2BELT|349DMG|5CDMG|6RCR|79DUR|89ZMB|9BPWR|aVULN
4	12136 32611	 * 	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1aDMSP|2BELT|34DMG|5CDMG|6RCR|79VULN|8AART
5	12136 32612	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2aBELT|34DMG|5CDMG|6RCR|79VULN|8AART
6	12136 32613	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79VULN|8AART|aLHND
7	12136 32614	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79VULN|8AART|aLWND
8	12136 32615	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79VULN|8AART|aMGNLIT
9	12136 32663	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|7aVULN|8AART|9LIT
10	12136 32616	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79VULN|8AART|aDUST
11	12136 32464	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|7aVULN|8MBVNT|9AART
12	62215 23413	   	176.25	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8DUR|9ASPD|aVULN
13	31225 23415	 * 	175.87	DCR|3DMG|2VULN|1AART	1LIT|2DUST|3ERES|46VULN|589DMG|7RCR|aAART
14	31631 46111	   	175.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19LIT|2DUST|39VULN|4CDMG|5DUR|69DMG|7AART|8RPLT|9BPWR|aRCR
15	32621 15143	 * 	174.78	ACR|2AART|2VULN|2DMG	1aLIT|23AART|4aVULN|5RCR|6FEWX|7LEGI|8LWND|9aDMG|aBPWR
16	32621 15243	   	174.78	ACR|2AART|2VULN|2DMG	1aLIT|23AART|4aVULN|5RCR|6FEWX|7LEGI|8LHND|9aDMG|aBPWR
17	22123 26415	 * 	174.09	ACR|3DMG|2VULN|1AART	1FEWX|2CGEN|3LIT|46VULN|5RCR|789DMG|aAART
18	33141 21542	   	173.68	ACR|2AART|2DMG|2VULN	13aLIT|2LWND|49AART|5RCR|6RPLT|7aDMG|8aVULN|aBPWR
19	62215 23613	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8ZMB|9LHND|aVULN
20	62215 23623	   	173.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8ZMB|9ERES|aVULN
21	34131 21615	 * 	173.13	DCR|5VULN|3ZMB	128LIT|28aBPWR|3aBASHEA|48aZMB|5789aVULN|6RCR
22	32621 21362	 * 	172.95	ACR|3DMG|2AART|1VULN	1aLIT|23AART|4VULN|5RCR|6RPLT|78aDMG|9aLWND|aBPWR
23	45122 31262	 * 	172.30	DCR|5VULN|1AART|1CDMG	1TLV|24568VULN|3LIT|7CDMG|9AART|aRCR
24	12136 33113	 * 	172.08	DCR|3DMG|3ZMB|1CDMG|2DUR	1DMSP|2BELT|349DMG|5CDMG|6RCR|79DUR|89aZMB|9BPWR
25	32621 21613	 * 	171.10	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|23AART|4VULN|5RCR|6RPLT|7DMG|8CDMG|9ASPD|aZMB
26	32621 21626	 * 	170.74	ACR|2AART|2DMG|1VULN|1CDMG	1LIT|23AART|4VULN|5RCR|6RPLT|7aDMG|8CDMG|9FEWX
27	32621 54313	 * 	170.50	ACR|2AART|2VULN|1DMG|1CDMG|1SELL	16LIT|23AART|46VULN|5RCR|6BPWR|7SELL|8DMG|9ERES|aCDMG
28	32621 21224	 * 	170.47	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB	1LIT|23AART|4VULN|5RCR|6RPLT|7DMG|8ZMB|9aCDMG
29	32326 56213	 * 	169.63	DCR|3DMG|1AART|1VULN|1FLTHEA	1LIT|2AART|3FEWX|457DMG|6FLTHEA|8NUKE|9VULN|aRCR
30	53224 13236	   	169.55	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1BEXP|24CDMG|3LHND|5RCR|6aVULN|7AART|8DMG|9DUR
31	62215 23113	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8BEXP|9ASPD|aVULN
32	62215 23216	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8LWND|9ASPD|aVULN
33	62215 23252	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8LWND|9VULN|aASPD
34	62215 23433	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8DUR|9RMIN|aVULN
35	62215 23513	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1NUKE|25DMG|38CGEN|4AART|6RCR|7CDMG|9ASPD|aVULN
36	62215 23421	   	169.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8DUR|9LSRHEA|aVULN
37	11411 56322	 * 	169.12	DCR|3VULN|1AART|2CDMG|1ASPD	1DMSP|259BEXP|3ASPD|4AART|69CDMG|7RCR|89aVULN|9BPWR
38	12136 32512	 * 	168.91	DCR|3VULN|2DMG|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79aVULN|8FEWX
39	12136 32412	   	168.81	DCR|3VULN|2DMG|1CDMG	1DMSP|2BELT|34DMG|5CDMG|6RCR|79aVULN|8MBVNT
40	12136 32418	 * 	168.81	DCR|3DMG|2VULN|1CDMG	1DMSP|2BELT|34aDMG|5CDMG|6RCR|79VULN|8MBVNT
41	31631 36624	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1aLIT|2DUST|37aVULN|4CDMG|5DUR|6MBVNT|8aDMG|9RCR|aBPWR
42	32621 21226	 * 	168.43	ACR|3AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|23aAART|4VULN|5RCR|6RPLT|7DMG|8ZMB|9CDMG
43	63643 23111	 * 	168.28	DCR|3VULN|1DMG|2CDMG|1ZMB|1ASPD	1NUKE|25CDMG|36aVULN|4ZMB|7DMG|8ASPD|9RCR
44	32621 21223	 * 	168.01	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG	1LIT|23AART|4VULN|5RCR|6RPLT|7DMG|8aZMB|9CDMG
45	32621 21355	   	167.85	ACR|2AART|2DMG|1VULN|1ZMB|1SELL	1LIT|23AART|4VULN|5RCR|6RPLT|78DMG|9SELL|aZMB
46	32224 22815	 * 	167.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|36VULN|4BEXP|5MBVNT|8DMG|9RCR|aCDMG
47	32234 22815	   	167.72	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|36VULN|4DUST|5MBVNT|8DMG|9RCR|aCDMG
48	33423 62312	 * 	167.60	ACR|3VULN|1AART|1DMG|1ZMB	16LIT|2LWND|3CGEN|467VULN|5RCR|6BPWR|8ZMB|9DMG|aAART
49	33423 22312	   	167.50	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|2LWND|3CGEN|467VULN|5RCR|8ZMB|9DMG|aAART
50	62215 23631	   	167.19	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR|1ASPD	1NUKE|25DMG|3CGEN|4AART|6RCR|7CDMG|8ZMB|9ASPD|aDUR
51	12136 32623	   	167.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DMSP|2BELT|34DMG|5CDMG|6RCR|7VULN|8AART|9LWND|aDUR
52	12136 32631	   	167.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DMSP|2BELT|34DMG|5CDMG|6RCR|7VULN|8AART|9CGEN|aASPD
53	12136 32662	   	167.01	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DMSP|2BELT|34DMG|5CDMG|6RCR|7VULN|8AART|9LIT|aDUR
54	11411 56313	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMSP|25BEXP|3ASPD|4AART|6CDMG|7RCR|8aVULN|9DMG
55	65363 22332	 * 	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1NUKE|2LWND|379VULN|4ZMB|5DMG|6LIT|8RCR|aAART
56	53523 16122	   	166.51	DCR|3VULN|2DMG|1CDMG	1BEXP|2CDMG|3BELT|45aVULN|69DMG|7RCR|8RCVC
57	12136 32634	 * 	166.39	DCR|2DMG|1AART|1VULN|2CDMG	1DMSP|2BELT|34DMG|5aCDMG|6RCR|7VULN|8AART|9CGEN
58	12136 31112	   	166.38	DCR|3DMG|1VULN|2ZMB|1CDMG	1DMSP|2BELT|349DMG|5CDMG|6RCR|79BEXP|89ZMB|9BPWR|aVULN
59	12332 65114	 * 	166.32	DCR|3VULN|3DMG	1DMSP|2BELT|3RMIN|45aDMG|67aVULN|8RCR|9aCGEN|aBPWR
60	12136 32463	   	166.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DMSP|2BELT|34DMG|5CDMG|6RCR|7VULN|8MBVNT|9AART|aDUR
61	31225 23432	   	166.31	DCR|3VULN|2DMG|1CDMG	1LIT|2DUST|3ERES|46aVULN|58DMG|7RCR|9CDMG
62	12332 61154	   	166.22	DCR|3VULN|3DMG	17DMSP|2BELT|3RMIN|45aDMG|69aVULN|8RCR|aBPWR
63	12332 65124	   	166.12	DCR|3VULN|3DMG	1DMSP|2BELT|3RMIN|45aDMG|67aVULN|8RCR|9aERES|aBPWR
64	12126 33112	 * 	166.10	DCR|2DMG|1AART|2ZMB|1CDMG|2DUR	1DMSP|2BELT|39DMG|4RCVC|5CDMG|6RCR|79DUR|89ZMB|9BPWR|aAART
65	32261 54322	   	165.78	DCR|3VULN|1AART|2CDMG	1aLIT|2AART|39aVULN|4BELT|5LHND|6RCR|7BEXP|8aCDMG|aBPWR
66	32321 61233	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|3FEWX|4aDMG|59VULN|6LWND|7RCR|8aLHND|aBPWR
67	32325 21133	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|38FEWX|4aDMG|5BEXP|6LHND|7RCR|9aVULN|aBPWR
68	32325 21233	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|3FEWX|4aDMG|5BEXP|68LHND|7RCR|9aVULN|aBPWR
69	32325 21333	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|3FEWX|4aDMG|5BEXP|6LHND|7RCR|8RCVC|9aVULN|aBPWR
70	32325 21433	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|3FEWX|4aDMG|58BEXP|6LHND|7RCR|9aVULN|aBPWR
71	32325 31133	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|38FEWX|4aDMG|5BEXP|6LWND|7RCR|9aVULN|aBPWR
72	32325 31433	   	165.41	DCR|2VULN|2DMG|1AART	1aLIT|2AART|3FEWX|4aDMG|58BEXP|6LWND|7RCR|9aVULN|aBPWR
73	32215 51111	   	164.91	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19LIT|2AART|39VULN|4FEWX|5DUR|6SELL|79DMG|8RPLT|9BPWR|aRCR
74	32225 51111	   	164.91	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19LIT|2AART|39VULN|4BEXP|5DUR|6SELL|79DMG|8RPLT|9BPWR|aRCR
75	62215 23115	 * 	164.91	DCR|3DMG|1AART|1CDMG|1ASPD	1NUKE|25aDMG|3CGEN|4AART|6RCR|7CDMG|8BEXP|9ASPD
76	62215 23215	   	164.91	DCR|3DMG|1AART|1CDMG|1ASPD	1NUKE|25aDMG|3CGEN|4AART|6RCR|7CDMG|8LWND|9ASPD
77	32235 51111	   	164.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19LIT|2AART|39VULN|4DUST|5DUR|6SELL|79DMG|8RPLT|9BPWR|aRCR
78	62215 23423	   	164.81	DCR|3DMG|1AART|1CDMG|1DUR	1NUKE|25aDMG|3CGEN|4AART|6RCR|7CDMG|8DUR|9LSRHEA
79	22123 26452	 * 	164.53	ACR|3VULN|2DMG|1CDMG	1FEWX|2CGEN|3LIT|46aVULN|5RCR|78DMG|9CDMG
80	63541 21333	 * 	164.44	ACR|2VULN|1AART|2CDMG|2ZMB|1DUR	1NUKE|2aCDMG|3aZMB|4RPLT|5RCR|6LIT|7AART|8DUR|9aVULN|aBPWR
81	53124 11152	   	164.43	ACR|3VULN|2DMG|1CDMG	1BEXP|2CDMG|38DMG|4ERES|5RCR|69aVULN|7LHND
82	53124 12152	   	164.43	ACR|3VULN|2DMG|1CDMG	1BEXP|2CDMG|38DMG|4ERES|5RCR|69aVULN|7LWND
