0	Index      	 *	Score 	Summary	Detail	
1	66253 13312	 * 	193.12	DCR|3VULN|3DMG|2CDMG|1DUR	1LHND|25CDMG|345DMG|5BPWR|67aVULN|8RCR|9DUR
2	12666 23332	 * 	189.32	DCR|3VULN|3DMG|1AART	17LWND|2MBVNT|367DMG|4LEGI|579VULN|7BPWR|8RCR|aAART
3	12213 43377	 * 	188.47	DCR|4VULN|2DMG|1AART	1aLWND|2MBVNT|367aVULN|4aDMG|5RPLT|8RCR|9AART|aBPWR
4	12572 82141	 * 	188.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17LWND|2MBVNT|3LIT|47VULN|57DMG|6RCR|7BPWR|8ZMB|9AART|aCDMG
5	26213 33234	 * 	187.30	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2ASPD	19ZMB|2CDMG|3BELT|4RCR|59VULN|69ASPD|7AART|8RPLT|9BPWR|aDMG
6	66253 13322	   	186.18	DCR|3VULN|3DMG|2CDMG	1LHND|25CDMG|345DMG|5BPWR|67aVULN|8RCR|9LWND
7	13225 41242	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|359VULN|46DMG|7BELT|8RCR|aAART
8	12572 82142	   	181.46	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	17LWND|2MBVNT|3LIT|47VULN|57DMG|6RCR|7BPWR|8ZMB|9AART|aASPD
9	26213 33635	 * 	180.77	ACR|2VULN|3ZMB|1AART|2ASPD|1CDMG	18aZMB|2CDMG|3BELT|4RCR|5aVULN|6aASPD|7AART|9DMSP|aBPWR
10	23321 35535	 * 	179.09	ACR|2VULN|2DMG|1AART|2ZMB	12ZMB|2BPWR|3RCVC|4RCR|57VULN|6BEXP|89DMG|aAART
11	23321 15535	   	178.99	ACR|2VULN|2DMG|1AART|2ZMB	12ZMB|2BPWR|3RCVC|4RCR|57VULN|6DUST|89DMG|aAART
12	26213 33231	 * 	178.69	ACR|2VULN|2AART|2ZMB|1CDMG|2ASPD	19ZMB|2CDMG|3BELT|4RCR|59VULN|69ASPD|7aAART|8RPLT|9BPWR
13	13266 25123	 * 	178.65	ACR|2VULN|2AART|1DMG|1FLTHEA|1ZMB	1LWND|2ZMB|39VULN|4DUST|5RCR|6DMG|78AART|aFLTHEA
14	66253 13311	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	1LHND|25CDMG|345DMG|5BPWR|67VULN|8RCR|9DUR|aLIT
15	66253 13313	   	177.37	DCR|3DMG|2VULN|2CDMG|1DUR	1LHND|25CDMG|345DMG|5BPWR|67VULN|8RCR|9DUR|aMBVNT
16	12213 23377	   	176.87	DCR|3VULN|2DMG|1AART	1aLWND|2MBVNT|37aVULN|4aDMG|5RPLT|6RCVC|8RCR|9AART|aBPWR
17	26523 32522	   	176.63	DCR|3VULN|2DMG|2CDMG|1ZMB	1ZMB|28CDMG|37DMG|456VULN|9MGNSTR|aRCR
18	12726 54434	   	176.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1LWND|2MBVNT|3ASPD|48DMG|5aVULN|6AART|7RCR|9DUR
19	12725 21447	   	176.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18LWND|2MBVNT|3ASPD|48DMG|5CDMG|6LIT|78VULN|8BPWR|9RCR|aAART
20	12726 54422	 * 	176.26	DCR|2VULN|2DMG|1AART|2ASPD	1LWND|2MBVNT|3aASPD|48DMG|59VULN|6AART|7RCR
21	16332 31425	 * 	176.12	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1LWND|2CDMG|3FLTHEA|49aVULN|5ZMB|6MLV|7AART|8RCR
22	26213 33662	 * 	176.08	ACR|3VULN|1AART|2ZMB|1CDMG|1ASPD	18ZMB|2CDMG|3BELT|4RCR|59aVULN|6ASPD|7AART
23	16332 21425	   	176.02	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1LWND|2CDMG|3FLTHEA|49aVULN|5ZMB|6TLV|7AART|8RCR
24	12572 82421	   	175.95	DCR|3VULN|2DMG|1CDMG|1DUR	17LWND|2MBVNT|3LIT|47aVULN|57DMG|6RCR|7BPWR|8DUR|9CDMG
25	22321 35535	   	175.24	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2DMSP|3RCVC|4RCR|57VULN|6BEXP|89DMG|aAART
26	22321 15535	   	175.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2DMSP|3RCVC|4RCR|57VULN|6DUST|89DMG|aAART
27	12215 11264	   	175.02	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|36aVULN|49DMG|5CDMG|7ZMB|8RCR
28	12216 61264	   	175.02	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|35aVULN|49DMG|6CDMG|7ZMB|8RCR
29	12253 12264	   	175.02	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|36aVULN|4ZMB|5CDMG|79DMG|8RCR
30	12627 21441	 * 	174.59	ACR|3DMG|2VULN|1AART	1LWND|2MBVNT|346DMG|5RCR|7CGEN|8aVULN|9AART
31	62627 21441	   	174.59	ACR|3DMG|2VULN|1AART	1LHND|2MBVNT|346DMG|5RCR|7CGEN|8aVULN|9AART
32	12572 82144	   	174.52	DCR|2VULN|2DMG|1AART|1ZMB	17LWND|2MBVNT|3LIT|47VULN|57DMG|6RCR|7BPWR|8ZMB|9AART|aCGEN
33	12721 21278	 * 	174.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1LWND|2MBVNT|35ASPD|45DMG|5BPWR|6ZMB|7VULN|8CDMG|9AART|aRCR
34	62627 44423	 * 	174.38	ACR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2MBVNT|34DMG|5RCR|6AART|79VULN|8RMIN|aFLTHEA
35	12721 56422	 * 	174.06	DCR|3DMG|2AART|1CDMG|2ASPD	1LWND|2MBVNT|35ASPD|456DMG|5BPWR|78AART|9RCR|aCDMG
36	12227 26623	   	173.78	ACR|2VULN|2DMG|1AART|1FLTHEA	1LWND|2MBVNT|39VULN|4RMIN|5RCR|68DMG|7AART|aFLTHEA
37	12624 16332	   	173.57	DCR|3DMG|2VULN|1AART	1LWND|2MBVNT|345DMG|69VULN|7LHND|8RCR|aAART
38	12624 12332	   	173.47	DCR|3DMG|2VULN|1AART	1LWND|2MBVNT|345DMG|69VULN|7LEGI|8RCR|aAART
39	62624 12332	   	173.47	DCR|3DMG|2VULN|1AART	1LHND|2MBVNT|345DMG|69VULN|7LEGI|8RCR|aAART
40	13225 33311	   	173.17	DCR|4VULN|2DMG|1ZMB	1LWND|2ZMB|357aVULN|48DMG|6LHND|9RCR
41	63221 33311	   	173.17	DCR|4VULN|2DMG|1ZMB	1LHND|2ZMB|367aVULN|48DMG|5LWND|9RCR
42	63225 53311	   	173.17	DCR|4VULN|2DMG|1ZMB	1LHND|2ZMB|357aVULN|48DMG|6LWND|9RCR
43	63325 33311	   	173.17	DCR|4VULN|2DMG|1ZMB	1LHND|2ZMB|3LWND|48DMG|567aVULN|9RCR
44	25321 45311	 * 	172.84	DCR|3DMG|1AART|1VULN|2ZMB	15ZMB|2FEWX|3LWND|456DMG|5BPWR|7AART|8RCR|9LHND|aVULN
45	24321 45311	   	172.74	DCR|3DMG|1AART|1VULN|2ZMB	15ZMB|2DUST|3LWND|456DMG|5BPWR|7AART|8RCR|9LHND|aVULN
46	24321 45331	   	172.74	DCR|3DMG|1AART|1VULN|2ZMB	15ZMB|2DUST|3LWND|456DMG|5BPWR|7AART|8RCR|9FEWX|aVULN
47	25321 45321	   	172.74	DCR|3DMG|1AART|1VULN|2ZMB	15ZMB|2FEWX|3LWND|456DMG|5BPWR|7AART|8RCR|9DUST|aVULN
48	25321 45333	   	172.74	DCR|3DMG|1AART|1VULN|2ZMB	15ZMB|2FEWX|3LWND|456DMG|5BPWR|7AART|8RCR|9ERES|aVULN
49	26521 62221	   	172.72	DCR|3DMG|2VULN|1CDMG|1ZMB	1ZMB|2CDMG|368DMG|4aVULN|5CGEN|7LIT|9RCR
50	13234 41242	   	172.12	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|39VULN|4RCVC|56DMG|7BELT|8RCR|aAART
51	23321 22231	 * 	172.03	ACR|3VULN|3ZMB|1AART	129ZMB|29BPWR|3RCVC|4RCR|59aVULN|679MLV|8AART
52	13266 25122	   	171.93	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	1LWND|2ZMB|39VULN|4DUST|5RCR|6DMG|78AART|aASPD
53	12253 12243	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|36VULN|4ZMB|5CDMG|7DMG|8RCR|9DUR|aAART
54	12628 18213	   	171.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|34DMG|5CDMG|6ZMB|7DUR|8RCR|9VULN|aAART
55	12215 11243	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|36VULN|4DMG|5CDMG|7ZMB|8RCR|9DUR|aAART
56	12216 61243	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|35VULN|4DMG|6CDMG|7ZMB|8RCR|9DUR|aAART
57	12628 71213	   	171.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|34DMG|5CDMG|6DUR|7ZMB|8RCR|9VULN|aAART
58	12675 11243	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3DMG|46VULN|5CDMG|7ZMB|8RCR|9DUR|aAART
59	12878 11243	   	171.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3CDMG|4DMG|56VULN|7ZMB|8RCR|9DUR|aAART
60	16332 31423	 * 	171.91	DCR|2VULN|2AART|1FLTHEA|1CDMG|1ZMB	1LWND|2CDMG|3FLTHEA|49VULN|5ZMB|6MLV|7aAART|8RCR
61	12227 26823	 * 	171.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1LWND|2MBVNT|389VULN|4RMIN|5RCR|6DMG|7AART|aFLTHEA
62	16332 21423	   	171.81	DCR|2VULN|2AART|1FLTHEA|1CDMG|1ZMB	1LWND|2CDMG|3FLTHEA|49VULN|5ZMB|6TLV|7aAART|8RCR
63	16332 41423	   	171.81	DCR|2VULN|2AART|1FLTHEA|1CDMG|1ZMB	1LWND|2CDMG|3FLTHEA|49VULN|5ZMB|6ERES|7aAART|8RCR
64	23336 53235	 * 	171.68	DCR|2VULN|2AART|3ZMB	129ZMB|29BPWR|37RCVC|49ERES|59VULN|6RCR|8aAART
65	12227 26128	 * 	171.58	ACR|2VULN|2DMG|2AART	1LWND|2MBVNT|39VULN|4RMIN|5RCR|6aDMG|78AART
66	12237 26128	   	171.58	ACR|2VULN|2DMG|2AART	1LWND|2MBVNT|39VULN|4MLV|5RCR|6aDMG|78AART
67	23321 35536	 * 	171.54	ACR|3VULN|2DMG|2ZMB	12ZMB|2BPWR|3RCVC|4RCR|57aVULN|6BEXP|89DMG
68	12253 12214	 * 	171.53	DCR|4VULN|1DMG|1CDMG|1ZMB	1LWND|2MBVNT|369aVULN|4ZMB|5CDMG|7DMG|8RCR
69	12215 11214	   	171.53	DCR|4VULN|1DMG|1CDMG|1ZMB	1LWND|2MBVNT|369aVULN|4DMG|5CDMG|7ZMB|8RCR
