0	Index      	 *	Score 	Summary	Detail	
1	36334 75441	 * 	264.50	DCR|4VULN|3DUR|2MLV|1AART	13aDUR|279aVULN|4MBVNT|5aMLV|6RCR|8AART|aBPWR
2	12325 51332	 * 	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aCDMG
3	32334 76415	 * 	250.10	DCR|DCR|3DUR|1TLV|1MLV	137DUR|2LHND|4MBVNT|5MLV|68RCR|9RCVC|aTLV
4	32334 76445	   	250.10	DCR|DCR|3DUR|1TLV|1MLV	137DUR|29LHND|4MBVNT|5MLV|68RCR|aTLV
5	12222 41414	   	245.64	DCR|DCR|1VULN|1MLV|1AART|1CDMG	1MDPS|2VULN|3CDMG|4MLV|5RMIN|6aRCR|7AME|8AART|9CGEN
6	21311 53362	 * 	245.53	DCR|3VULN|2DMG|2MLV|1AART	1aCGEN|2AART|3aMLV|4LWND|568VULN|7RCR|9aDMG|aBPWR
7	36334 74141	 * 	245.49	DCR|2VULN|2FLTARM|3DUR|1MLV	13aDUR|2aVULN|4MBVNT|5MLV|6RCR|7BEXP|8aFLTARM|9MDPS|aBPWR
8	36334 77141	   	245.49	DCR|2VULN|2FLTARM|3DUR|1MLV	13aDUR|2aVULN|4MBVNT|5MLV|6RCR|7FEWX|8aFLTARM|9MDPS|aBPWR
9	36334 75411	   	245.33	DCR|3VULN|3DUR|2MLV|1AART	13aDUR|27aVULN|4MBVNT|5aMLV|6RCR|8AART|9RCVC|aBPWR
10	21332 15423	 * 	244.72	DCR|DCR|2AART|1TLV|1DMG|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST|aDMG
11	21332 15623	 * 	244.72	DCR|DCR|2AART|1TLV|1DMG|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA|aDMG
12	36334 72413	 * 	244.34	DCR|DCR|1VULN|2DUR|1MLV	13DUR|2VULN|4MBVNT|5MLV|6aRCR|7RAT|8BLASTR|9ERES
13	32334 76432	 * 	243.96	DCR|DCR|3DUR|1DMG|1MLV	137DUR|2LHND|4MBVNT|5MLV|68RCR|9LWND|aDMG
14	32334 76461	   	243.96	DCR|DCR|3DUR|1DMG|1MLV	137DUR|2LHND|4MBVNT|5MLV|68RCR|9RAT|aDMG
15	33234 43361	 * 	243.74	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|23RMIN|4CGEN|5AART|68aVULN|7RCR|9aDMG|aBPWR
16	12325 55331	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7FEWX|8CGEN|aCDMG
17	12325 51132	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8FEWX|aCDMG
18	12325 51331	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aBEXP
19	12325 51334	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aCGEN
20	12325 51333	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aCANARM
21	12325 51335	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aBBNT
22	12325 51336	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aAEWIND
