0	Index      	 *	Score 	Summary	Detail	
1	21152 62336	 * 	234.56	DCR|4VULN|3DMG|2CDMG	179aVULN|2RPLT|357ERES|47aDMG|6RCR|7aBPWR|8aCDMG
2	32311 14315	 * 	229.51	DCR|4VULN|2DMG|2ASPD	1MBVNT|2478VULN|37ASPD|57LWND|6RCR|7BPWR|9aDMG
3	33111 14315	   	229.51	DCR|4VULN|2DMG|2ASPD	1MBVNT|27ASPD|3478VULN|57LWND|6RCR|7BPWR|9aDMG
4	53161 61211	 * 	228.66	DCR|4VULN|3ASPD|1AART	1RMIN|2379VULN|49LIT|589ASPD|6RCR|9BPWR|aAART
5	53361 61211	   	228.66	DCR|4VULN|3ASPD|1AART	1RMIN|2379VULN|39BPWR|49LIT|589ASPD|6RCR|aAART
6	33423 72712	 * 	228.58	DCR|3VULN|3ASPD|2CDMG|1DMG|1AAC	1MBVNT|257ASPD|37CDMG|4AAC|679VULN|7BPWR|8RCR|aDMG
7	23324 46133	 * 	227.59	DCR|2VULN|1MDPS|2DMG|3CDMG|1ASPD|1DUR	19VULN|239CDMG|4SPLREG|5MDPS|6RCR|7ASPD|89DMG|9BPWR|aDUR
8	13233 32662	 * 	227.34	DCR|3ASPD|2VULN|1MDPS|2DMG|1CDMG|1ZMB	167ASPD|2MDPS|3CDMG|47VULN|57DMG|7BPWR|8ZMB|9DMSP|aRCR
9	14133 53153	 * 	226.29	DCR|3ASPD|2VULN|2DMG|1MDPS|1AART|1SELL	16aASPD|2RMIN|3MDPS|4SELL|5AART|6aBPWR|7aVULN|8aDMG|9RCR
10	12133 53153	 * 	226.19	DCR|3ASPD|2VULN|2DMG|1MDPS|1AART|1AAC|1SELL	16aASPD|2AAC|3MDPS|4SELL|5AART|6aBPWR|7aVULN|8aDMG|9RCR
11	14231 14443	 * 	225.62	DCR|3ASPD|2VULN|3CDMG|1AART	14aASPD|2RMIN|35aCDMG|6RCR|7AART|8MBVNT|9aVULN|aBPWR
12	12231 44443	   	225.52	DCR|3ASPD|2VULN|3CDMG|1AART|1AAC	14aASPD|2AAC|35aCDMG|6RCR|7AART|8MBVNT|9aVULN|aBPWR
13	22214 62631	 * 	224.84	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aBEXP
14	22214 62632	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aFEWX
15	22214 62633	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aLIT
16	22214 62635	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aLHND
17	22214 62638	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aMULARM
18	32474 62631	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|239VULN|39BPWR|4LWND|59CDMG|69DMG|7RCR|8AART|aBEXP
19	32474 62632	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|239VULN|39BPWR|4LWND|59CDMG|69DMG|7RCR|8AART|aFEWX
20	32474 62633	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|239VULN|39BPWR|4LWND|59CDMG|69DMG|7RCR|8AART|aLIT
21	32514 62631	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|249VULN|3LHND|59CDMG|69DMG|7RCR|8AART|9BPWR|aBEXP
22	32514 62632	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|249VULN|3LHND|59CDMG|69DMG|7RCR|8AART|9BPWR|aFEWX
23	32514 62633	   	224.84	DCR|3VULN|2DMG|2CDMG|1AART	1MBVNT|249VULN|3LHND|59CDMG|69DMG|7RCR|8AART|9BPWR|aLIT
24	22214 62634	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG|1MSE	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aMSE
25	22214 62636	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aERES
26	22214 62637	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG	149VULN|2LWND|3MBVNT|59CDMG|69DMG|7RCR|8AART|9BPWR|aDUST
27	32474 62634	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG|1MSE	1MBVNT|239VULN|39BPWR|4LWND|59CDMG|69DMG|7RCR|8AART|aMSE
28	32514 62634	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG|1MSE	1MBVNT|249VULN|3LHND|59CDMG|69DMG|7RCR|8AART|9BPWR|aMSE
29	33483 72711	 * 	224.66	DCR|4VULN|3ASPD|2CDMG	1MBVNT|257ASPD|3aCDMG|47aMLV|679aVULN|7aBPWR|8RCR
30	26214 62612	 * 	224.38	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	14VULN|2DUR|3MBVNT|5CDMG|6DMG|7RCR|8AART|9aASPD
31	32434 62612	   	224.38	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1MBVNT|23VULN|3BPWR|4DUR|5CDMG|6DMG|7RCR|8AART|9aASPD
