0	Index      	 *	Score 	Summary	Detail	
1	31535 32341	 * 	293.31	橙橙2易伤2暴击2时间1平台	1a暴击2低血量敌人3a易伤4技能5额外掉落6平台78核9a时间a序列升级
2	31535 32352	 * 	281.51	橙橙2伤害1易伤1暴击1平台	1暴击2低血量敌人3易伤4技能5额外掉落6平台78核9a伤害
3	31535 32343	   	280.24	橙橙2易伤1暴击1平台	1暴击2低血量敌人3a易伤4技能5额外掉落6平台78核9时间
4	42213 56332	 * 	278.69	橙3易伤3伤害2矿等	178易伤2时间37矿等467伤害5随机矿7序列升级9等级a核
5	42213 56322	   	278.59	橙3易伤3伤害2矿等	178易伤2时间37矿等467伤害5随机矿7序列升级9掉矿a核
6	31535 32331	   	278.45	橙橙2易伤2暴击1平台	1a暴击2低血量敌人3a易伤4技能5额外掉落6平台78核9a最后敌人a序列升级
7	42212 24521	 * 	272.15	橙4易伤2矿等1伤害2时间	167a易伤2a时间35矿等4伤害8核9a金币生成a序列升级
8	31535 32313	   	271.94	橙橙2易伤1暴击1平台	1暴击2低血量敌人3a易伤49技能5额外掉落6平台78核
9	31535 32333	   	271.94	橙橙2易伤1暴击1平台	1暴击2低血量敌人3a易伤4技能5额外掉落6平台78核9最后敌人
10	31535 32363	   	271.94	橙橙2易伤1暴击1平台	1暴击2低血量敌人3a易伤4技能5额外掉落6平台78核9立即金币
11	36535 32313	   	271.94	橙橙2易伤1暴击1平台	1暴击2最后敌人3a易伤49技能5额外掉落6平台78核
12	36535 32333	   	271.94	橙橙2易伤1暴击1平台	1暴击29最后敌人3a易伤4技能5额外掉落6平台78核
13	44213 52332	   	270.38	橙3易伤3伤害2矿等	178易伤2基地爆炸37矿等467伤害5随机矿7序列升级9等级a核
14	45213 52332	   	270.38	橙3易伤3伤害2矿等	178易伤2敌人爆炸37矿等467伤害5随机矿7序列升级9等级a核
15	43213 56332	   	270.28	橙3易伤3伤害2矿等	178易伤2挖青37矿等467伤害5随机矿7序列升级9等级a核
16	44213 52322	   	270.28	橙3易伤3伤害2矿等	178易伤2基地爆炸37矿等467伤害5随机矿7序列升级9掉矿a核
17	45213 52322	   	270.28	橙3易伤3伤害2矿等	178易伤2敌人爆炸37矿等467伤害5随机矿7序列升级9掉矿a核
18	43213 56322	   	270.18	橙3易伤3伤害2矿等	178易伤2挖青37矿等467伤害5随机矿7序列升级9掉矿a核
19	42213 56132	   	268.63	橙2易伤3伤害2矿等1暴击1卖塔	17易伤2时间37矿等467伤害5随机矿7序列升级8卖塔9暴击a核
20	34223 65223	 * 	267.74	橙4易伤2伤害3暴击	158暴击28雷电3掉矿459a易伤58序列升级68伤害7核
21	45213 21327	   	264.29	橙3易伤2伤害2矿等1平台	179易伤2敌人爆炸37矿等47伤害5随机矿6平台7序列升级8加一a核
22	31535 32351	   	263.92	橙橙1易伤1伤害1暴击1平台	1暴击2低血量敌人3易伤4技能5额外掉落6平台78核9伤害a基地爆炸
23	31535 32353	   	263.92	橙橙1易伤1伤害1暴击1平台	1暴击2低血量敌人3易伤4技能5额外掉落6平台78核9伤害a金币生成
