0	Index      	 *	Score 	Summary	Detail	
1	63366 21112	 * 	230.31	DCR|3VULN|1SPLARM|2AART|2CDMG	19CDMG|23AART|4CGEN|57aVULN|6SPLARM|8RCR
2	21262 11517	 * 	227.80	DCR|2SPLARM|3VULN|2DMG|1CDMG	148VULN|2CDMG|38DMG|5FEWX|6CGEN|78SPLARM|8BPWR|9MBVNT|aRCR
3	63123 15311	 * 	221.09	DCR|2DMG|2ASPD|3CDMG|1AART|3DUR	137CDMG|2AART|4aDMG|57AME|67aDUR|7aBPWR|8RCR|9aASPD
4	63125 15311	   	220.89	DCR|2DMG|2ASPD|3CDMG|1AART|3DUR	137CDMG|2AART|4aDMG|57ERES|67aDUR|7aBPWR|8RCR|9aASPD
5	21412 21112	   	217.64	DCR|3VULN|1SPLARM|1AART|2CDMG	17aVULN|29CDMG|3RCVC|4AART|5MLV|6SPLARM|8RCR
6	63521 61113	 * 	217.11	DCR|1SPLARM|2ASPD|1VULN|1AART|1CDMG|1ZMB	1CDMG|2AART|3VULN|4ZMB|5ERES|6RCR|7aASPD|8BEXP|9SPLARM
7	63123 31311	   	215.83	DCR|2DMG|2ASPD|3CDMG|1AART|2DUR	136CDMG|2AART|4aDMG|5AME|7aDUR|8RCR|9aASPD|aBPWR
8	43536 22121	 * 	215.77	ACR|3DMG|3ASPD|2VULN|2DUR	1RCR|268ASPD|379DMG|48VULN|58DUR|8BPWR|aLHND
9	43536 22122	   	215.77	ACR|3DMG|3ASPD|2VULN|2DUR	1RCR|268ASPD|379DMG|48VULN|58DUR|8BPWR|aRMIN
10	43536 22123	   	215.77	ACR|3DMG|3ASPD|2VULN|2DUR	1RCR|268ASPD|379DMG|48VULN|58DUR|8BPWR|aCGEN
11	63125 31311	   	215.73	DCR|2DMG|2ASPD|3CDMG|1AART|2DUR	136CDMG|2AART|4aDMG|5ERES|7aDUR|8RCR|9aASPD|aBPWR
12	43531 22162	 * 	213.15	ACR|3ASPD|2VULN|2DMG|1CDMG|1ZMB	1RCR|268ASPD|37DMG|48VULN|58LHND|8BPWR|9ZMB|aCDMG
13	63511 63113	 * 	212.94	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ERES|8BEXP|9SPLARM|aASPD
14	33624 22242	 * 	212.78	DCR|3AART|2VULN|1DMG|1CDMG|2DUR	18DUR|24aAART|35VULN|6DMG|7CDMG|9RCR
15	63366 21111	   	212.38	DCR|1SPLARM|2VULN|2AART|2CDMG	19CDMG|23AART|4CGEN|57VULN|6SPLARM|8RCR|aMBVNT
16	31333 61643	 * 	211.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1DUR|2CDMG|3MLV|4AART|5AME|6RCR|7ASPD|89VULN|aMDPS
17	63511 62212	   	211.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1CDMG|2AART|35VULN|4LHND|6RCR|7RPLT|8DUR|9ASPD|aMDPS
18	63531 62212	   	211.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1CDMG|2AART|35VULN|4BEXP|6RCR|7RPLT|8DUR|9ASPD|aMDPS
19	43531 22141	 * 	210.34	ACR|3ASPD|2VULN|2DMG|1AART	1RCR|268ASPD|37DMG|48VULN|58LHND|8BPWR|9AART|aLWND
20	43531 22142	   	210.34	ACR|3ASPD|2VULN|2DMG|1AART	1RCR|268ASPD|37DMG|48VULN|58LHND|8BPWR|9AART|aRMIN
21	43533 32122	 * 	210.29	ACR|3VULN|1MDPS|2DMG|2ASPD	1RCR|28ASPD|37DMG|458VULN|68LWND|8BPWR|9AELBLL|aMDPS
22	43533 32132	   	210.29	ACR|3VULN|1MDPS|2DMG|2ASPD	1RCR|28ASPD|37DMG|458VULN|68LWND|8BPWR|9DMSP|aMDPS
23	43531 22143	   	210.24	ACR|3ASPD|2VULN|2DMG|1AART	1RCR|268ASPD|37DMG|48VULN|58LHND|8BPWR|9AART|aERES
24	63562 11132	 * 	208.99	ACR|3ASPD|2VULN|1MDPS|1AART|2CDMG	19CDMG|2AART|39VULN|4RCR|59ERES|678ASPD|9BPWR|aMDPS
25	31234 22415	 * 	208.70	DCR|1MDPS|1AART|1VULN|1DMG|1NUKE|1CDMG|1DUR	1DUR|2CDMG|3DMG|4AART|5FEWX|6LHND|7RCR|8VULN|9MDPS|aNUKE
26	33622 62142	 * 	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|24AART|39VULN|5LIT|6RCR|7ASPD|8CDMG|aFEWX
27	33622 62143	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|24AART|39VULN|5LIT|6RCR|7ASPD|8CDMG|aAME
28	33622 62141	   	208.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|24AART|39VULN|5LIT|6RCR|7ASPD|8CDMG|aDUST
29	42331 13231	 * 	207.99	ACR|3DMG|2VULN|1MDPS|2ASPD|3DUR	1RCR|27aDMG|357DUR|4MDPS|67FEWX|7aBPWR|8aVULN|9aASPD
30	42331 63231	   	207.99	ACR|3DMG|2VULN|1MDPS|2ASPD|3DUR	1RCR|27aDMG|357DUR|4MDPS|67BEXP|7aBPWR|8aVULN|9aASPD
31	42333 13231	   	207.99	ACR|3DMG|2VULN|1MDPS|2ASPD|3DUR	1RCR|27aDMG|367DUR|4MDPS|57LHND|7aBPWR|8aVULN|9aASPD
32	33644 13122	 * 	207.93	DCR|4VULN|2AART|3DUR	146DUR|28AART|3567VULN|6BPWR|9ERES|aRCR
33	42561 32123	 * 	207.92	ACR|3DMG|3ASPD|1VULN|1AART	1RCR|238DMG|4AART|579ASPD|6RCVC|aVULN
34	63123 15312	 * 	207.80	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|2DUR	137CDMG|2AART|4DMG|57AME|67DUR|7BPWR|8RCR|9ASPD|aVULN
35	42325 13231	   	207.79	ACR|3DMG|2VULN|1MDPS|2ASPD|3DUR	1RCR|27aDMG|367DUR|4LEGI|5MDPS|7aBPWR|8aVULN|9aASPD
36	63125 15312	   	207.60	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|2DUR	137CDMG|2AART|4DMG|57ERES|67DUR|7BPWR|8RCR|9ASPD|aVULN
37	21212 41166	 * 	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	169VULN|2CDMG|38DMG|4CGEN|5ASPD|7BEXP|aRCR
38	33624 22241	   	207.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	18DUR|24AART|35VULN|6DMG|7CDMG|9RCR|aLWND
39	33624 22243	   	207.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	18DUR|24AART|35VULN|6DMG|7CDMG|9RCR|aBELT
