0	Index      	 *	Score 	Summary	Detail	
1	41326 33622	 * 	238.92	DCR|5VULN|3ASPD|1AART	1AART|2579aVULN|347ASPD|67MLV|7BPWR|8RCR
2	24146 33311	 * 	232.98	DCR|3VULN|3DMG|1AART|1ASPD	17AME|267VULN|3AART|4DMSP|57aDMG|7BPWR|8ASPD|9RCR
3	41326 21224	 * 	232.49	DCR|3VULN|3ASPD|1AART|2CDMG	1AART|259VULN|34aASPD|69CGEN|79CDMG|8RCR|9BPWR
4	41326 31224	   	232.49	DCR|3VULN|3ASPD|1AART|2CDMG	1AART|259VULN|34aASPD|69MLV|79CDMG|8RCR|9BPWR
5	41326 61221	 * 	232.00	DCR|3VULN|2ASPD|1AART|1DMG|1CDMG	1AART|259VULN|34ASPD|6DMG|7CDMG|8RCR|aMULFIG
6	41326 61222	   	232.00	DCR|3VULN|2ASPD|1AART|1DMG|1CDMG	1AART|259VULN|34ASPD|6DMG|7CDMG|8RCR|aFEWX
7	41326 61223	   	231.90	DCR|3VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1AART|259VULN|34ASPD|6DMG|7CDMG|8RCR|aMSE
8	41326 11224	   	229.03	DCR|3VULN|3ASPD|1AART|1CDMG	1AART|259VULN|34aASPD|6RMIN|7CDMG|8RCR
9	41331 51523	 * 	225.55	DCR|3ASPD|2VULN|1AART|1DMG|3DUR	1AART|29VULN|379ASPD|4ERES|5DMG|689DUR|9BPWR|aRCR
10	41326 33631	   	225.07	DCR|3VULN|3ASPD|1AART|1CDMG	1AART|257VULN|347ASPD|67MLV|7BPWR|8RCR|9CDMG|aLHND
11	41326 33633	   	225.07	DCR|3VULN|3ASPD|1AART|1CDMG	1AART|257VULN|347ASPD|67MLV|7BPWR|8RCR|9CDMG|aFEWX
12	42231 64123	 * 	224.98	DCR|3VULN|3ASPD|1AART|1DMG|1AAC	1AART|289ASPD|3AAC|489LWND|5DMG|6AME|789VULN|89BPWR|aRCR
13	41326 33632	   	224.97	DCR|3VULN|3ASPD|1AART|1CDMG	1AART|257VULN|347ASPD|67MLV|7BPWR|8RCR|9CDMG|aTLV
14	41322 31224	   	224.77	DCR|3VULN|3ASPD|1AART|1CDMG|1AAC	1AART|269VULN|34aASPD|5AAC|7CDMG|8RCR
15	41324 33622	   	224.66	DCR|4VULN|3ASPD|1AART	1AART|279aVULN|347ASPD|5DMSP|67MLV|7BPWR|8RCR
16	41326 33623	   	224.66	DCR|4VULN|3ASPD|1AART	1AART|2579VULN|347ASPD|67MLV|7BPWR|8RCR|aSNIFST
17	41326 33621	   	224.56	DCR|4VULN|3ASPD|1AART	1AART|2579VULN|347ASPD|67MLV|7BPWR|8RCR|aDUST
18	41562 32111	   	224.33	DCR|3VULN|3DMG|1AART|1DUR	1AART|246VULN|3RCVC|5DUR|78aDMG|9RCR
19	41326 21234	 * 	223.11	DCR|3ASPD|2VULN|2AART|1CDMG	19AART|25VULN|34aASPD|6CGEN|7CDMG|8RCR
20	41326 31234	   	223.11	DCR|3ASPD|2VULN|2AART|1CDMG	19AART|25VULN|34aASPD|6MLV|7CDMG|8RCR
21	41322 61224	   	223.01	DCR|3ASPD|2VULN|2AART|1CDMG|1AAC	16AART|29VULN|34aASPD|5AAC|7CDMG|8RCR
22	41326 33121	   	222.76	DCR|4VULN|3ASPD|1AART	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aDMSP
23	41326 33125	   	222.76	DCR|4VULN|3ASPD|1AART	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aBEXP
24	41326 33126	   	222.76	DCR|4VULN|3ASPD|1AART	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aBELT
25	41326 33122	   	222.66	DCR|4VULN|3ASPD|1AART|1MSE	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aMSE
26	41326 33123	   	222.66	DCR|4VULN|3ASPD|1AART	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aTLV
27	41326 33124	   	222.66	DCR|4VULN|3ASPD|1AART	1AART|2578VULN|347ASPD|678MLV|78BPWR|9RCR|aERES
28	41326 63223	   	221.96	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	1AART|258VULN|34ASPD|6DMG|7MSLFST|9RCR|aDUR
29	42461 22332	   	221.88	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|3RMIN|4aVULN|578DMG|6BEXP|9RCR
30	42461 32332	   	221.88	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|3RMIN|4aVULN|578DMG|6FEWX|9RCR
