0	Index      	 *	Score 	Summary	Detail	
1	51313 13364	 * 	204.76	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aZMB
2	61315 24232	 * 	197.62	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	1CDMG|246VULN|3AART|569ZMB|6BPWR|7DMG|8BEXP|aRCR
3	51313 13361	   	193.75	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aRMIN
4	51313 13362	   	193.65	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aDLOT
5	51313 13363	   	193.65	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aSNIHEL
6	51313 13365	   	193.65	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aDUST
7	51313 13366	   	193.65	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9RCR|aTLV
8	51313 12364	   	192.46	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ZMB|1ASPD	17DUR|25CDMG|3AART|45VULN|5BPWR|6DMG|8ASPD|9RCR|aZMB
9	51313 12223	 * 	191.59	DCR|3VULN|1AART|1DMG|2CDMG|3DUR	179DUR|25CDMG|3AART|458VULN|5BPWR|6DMG|aRCR
10	61315 25332	   	191.43	DCR|3VULN|3ZMB|1AART|1CDMG|1DUR|1ASPD	1CDMG|246VULN|3AART|569ZMB|6BPWR|7DUR|8ASPD|aRCR
11	51313 13311	   	191.35	DCR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1DUR|25CDMG|3AART|45VULN|5BPWR|67DMG|8ASPD|9FEWX|aRCR
