0	Index      	 *	Score 	Summary	Detail	
1	23262 13135	 * 	201.98	ACR|3VULN|2DMG|1AART|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689VULN|8BPWR|aAART
2	61143 62312	 * 	200.87	ACR|3VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	18AART|234VULN|5RCR|6CDMG|7DUR|9DMG|aASPD
3	23342 12613	 * 	199.35	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	18ASPD|2RCR|3BEXP|48DMG|5CGEN|69VULN|78CDMG|8BPWR|aAART
4	61143 61331	 * 	197.47	ACR|5VULN|1AART|2ZMB|1CDMG	1AART|2348aVULN|5RCR|6CDMG|7aLIT|9aZMB|aBPWR
5	62326 11251	 * 	197.32	DCR|3VULN|2DMG|1AART|1CDMG	1AART|27ERES|39aVULN|4CDMG|58DMG|6RCR
6	23234 52112	 * 	195.50	ACR|3VULN|3DMG|3ASPD	18aASPD|2RCR|38aDMG|4ERES|5CGEN|6RMIN|78aVULN|8aBPWR|9RCVC
7	23261 13135	   	195.04	ACR|3VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5BEXP|689VULN|8BPWR|aAART
8	23265 13131	   	195.04	ACR|3VULN|2DMG|1AART|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5LWND|689VULN|8BPWR|aAART
9	23262 13134	   	194.43	ACR|3VULN|3DMG|2ASPD|1DUR	18ASPD|2RCR|38aDMG|47CGEN|5DUR|689VULN|8BPWR
10	61143 62223	   	193.94	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1aAART|234VULN|5RCR|6CDMG|7DUR|8DMG|9BEXP
11	61143 62311	   	193.94	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	18AART|234VULN|5RCR|6CDMG|7DUR|9DMG|aLWND
12	61143 62313	   	193.94	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	18AART|234VULN|5RCR|6CDMG|7DUR|9DMG|aLHND
13	61143 63312	   	193.94	ACR|3VULN|2AART|1DMG|1CDMG|1ASPD	18AART|234VULN|5RCR|6CDMG|7FEWX|9DMG|aASPD
14	61143 11251	 * 	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LHND|79DMG|89DUST|9BPWR|aRMIN
15	61143 11252	   	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LHND|79DMG|89DUST|9BPWR|aBEXP
16	61143 11253	   	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LHND|79DMG|89DUST|9BPWR|aCGEN
17	61143 21251	   	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LWND|79DMG|89DUST|9BPWR|aRMIN
18	61143 21252	   	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LWND|79DMG|89DUST|9BPWR|aBEXP
19	61143 21253	   	193.59	ACR|4VULN|2DMG|1AART	1AART|2349VULN|5RCR|6LWND|79DMG|89DUST|9BPWR|aCGEN
20	23261 13153	   	193.03	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	18ASPD|2RCR|38DMG|47CGEN|5BEXP|68VULN|8BPWR|9CDMG|aAART
21	61115 12531	 * 	192.94	DCR|4VULN|1AART|2CDMG|2ZMB	1AART|235aVULN|46LIT|7RCR|8aCDMG|9aZMB|aBPWR
22	23262 13136	 * 	192.87	ACR|4VULN|2DMG|2ASPD|1DUR	18ASPD|2RCR|38DMG|47CGEN|5DUR|689aVULN|8BPWR
23	63142 31184	 * 	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1AART|2LWND|3678VULN|4MBVNT|5RCR|9DMG|aCDMG
