0	Index      	 *	Score 	Summary	Detail	
1	11262 34861	 * 	197.33	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|26aVULN|3aERES|4RCR|5AART|7DUR|8ZMB|9aDMG|aBPWR
2	65232 52332	 * 	194.54	ACR|4VULN|3ZMB|1DMG|3DUR	13aDUR|235aVULN|3aBPWR|4RCR|6DMG|7FEWX|89aZMB
3	17414 65414	 * 	193.23	ACR|3VULN|2AART|2DMG	1MBVNT|26aBASHEA|3RCR|46aVULN|57AART|6aBPWR|8DMSP|9aDMG
4	36252 43212	 * 	193.23	DCR|4VULN|3ZMB|1DMG|2CDMG	18BEXP|246ZMB|3568VULN|68BPWR|78CDMG|9RCR|aDMG
5	11266 21445	 * 	191.74	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|28aVULN|3aERES|4RCR|5CDMG|6DUST|7AART|9aDMG|aBPWR
6	11262 35271	   	191.72	ACR|3VULN|2DMG|1AART|2DUR	1MBVNT|26aVULN|3ERES|4RCR|5AART|7RMIN|8aDMG|9aDUR|aBPWR
7	66262 32311	 * 	191.33	DCR|3VULN|1AART|1DMG|3DUR|1ZMB	17aDUR|2ZMB|37aVULN|47LHND|5AART|6RCR|7aBPWR|8DMG|9aMLV
8	11441 21844	 * 	190.79	DCR|5VULN|3ZMB|3ASPD	1MBVNT|2489aVULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR
9	11262 11861	   	190.39	ACR|3VULN|2DMG|1AART|1ZMB	1MBVNT|27aVULN|3aERES|4RCR|5AART|6FEWX|8ZMB|9aDMG|aBPWR
10	11262 21861	   	190.39	ACR|3VULN|2DMG|1AART|1ZMB	1MBVNT|27aVULN|3aERES|4RCR|5AART|6LHND|8ZMB|9aDMG|aBPWR
11	11262 41861	   	190.39	ACR|3VULN|2DMG|1AART|1ZMB	1MBVNT|27aVULN|3aERES|4RCR|5AART|6BEXP|8ZMB|9aDMG|aBPWR
12	17414 27217	   	188.63	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aBASHEA|3RCR|48aVULN|5AART|6DUR|7TLV|9aDMG|aBPWR
13	17414 33615	   	188.63	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|69DMG|8DUR
14	26242 32311	   	187.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17aLHND|2ZMB|37aVULN|47DUR|5AART|6RCR|7aBPWR|8DMG|9aMLV
15	26242 32361	   	187.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17aLHND|2ZMB|37aVULN|47DUR|5AART|6RCR|7aBPWR|8DMG|9aCGEN
