0	Index      	 *	Score 	Summary	Detail	
1	15122 35241	 * 	214.41	3VULN|1SPLARM|2DMG|1MDPS|1AART	1RCVC|2SPLARM|356VULN|4AART|7CGEN|89DMG|aMDPS
2	35111 55321	 * 	206.07	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	1CGEN|2CDMG|3LIT|4DUR|58DMG|6RCR|79VULN|aNUKE
3	35141 52321	   	206.07	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	1CGEN|2CDMG|3LIT|49VULN|58DMG|6RCR|7DUR|aNUKE
4	25111 55321	   	205.97	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	1ERES|2CDMG|3LIT|4DUR|58DMG|6RCR|79VULN|aNUKE
5	25141 52321	   	205.97	DCR|2VULN|2DMG|1NUKE|1CDMG|1DUR	1ERES|2CDMG|3LIT|49VULN|58DMG|6RCR|7DUR|aNUKE
6	12132 66534	 * 	205.78	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8MBVNT|aCDMG
7	12132 66633	 * 	205.71	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|3FEWX|4aAART|579VULN|6RCR|8LHND
8	12132 64151	 * 	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7RMIN|8DUR|9ASPD
9	15122 55323	 * 	202.92	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	1RCVC|2SPLARM|359VULN|4AART|6RMIN|7DUR|8RCR|aMDPS
10	15122 55331	   	202.92	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	1RCVC|2SPLARM|35aVULN|4AART|6RMIN|7DUR|8RCR|9MDPS
11	12442 21621	   	200.98	DCR|2VULN|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3DUR|4ZMB|5LIT|6CDMG|7RCR|89VULN|aNUKE
12	12132 66351	   	200.17	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|57VULN|6RCR|8LIT|9ASPD|aDUR
13	12132 65151	   	200.07	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|5aVULN|6RCR|7ERES|8DUR|9ASPD
14	15123 22215	 * 	200.01	DCR|2SPLARM|2VULN|2ASPD|1AART|1NUKE	1RCVC|2aSPLARM|3aVULN|4AART|5CANARM|6LWND|7aASPD|8NUKE|9RCR|aBPWR
15	12132 61324	 * 	199.31	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1RCVC|28DMG|3FEWX|4AART|5VULN|6RCR|7DLOT|9ZMB|aASPD
16	12132 32366	 * 	199.22	DCR|3VULN|2DMG|1AART	1RCVC|27DMG|3FEWX|4AART|578VULN|67TLV|7BPWR|9RPLT|aRCR
17	12443 36133	 * 	198.98	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3DUR|4ZMB|5CDMG|6RPLT|7ASPD|8RCR|9aVULN
18	15122 45333	 * 	198.97	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2SPLARM|35VULN|4AART|6DUR|7BEXP|8ZMB|9RCR|aDMG
19	12132 66632	   	197.94	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8LHND|aDUR
20	12132 66432	   	197.84	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8DUST|aDUR
21	12132 66532	   	197.84	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3FEWX|4AART|579VULN|6RCR|8MBVNT|aDUR
22	35131 55321	   	197.76	DCR|2VULN|2DMG|1NUKE|1CDMG	1CGEN|2CDMG|3LIT|4LHND|58DMG|6RCR|79VULN|aNUKE
