0	Index      	 *	Score 	Summary	Detail	
1	12532 38524	 * 	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	19CDMG|24LWND|3MBVNT|579VULN|69ASPD|8RCR|9BPWR|aAART
2	32623 14143	 * 	216.42	DCR|3VULN|1AART|1DMG|3DUR|1CDMG	139VULN|234DUR|3BPWR|5DMG|6LWND|7CDMG|8RCR|aAART
3	12532 33527	 * 	215.87	DCR|3VULN|3ASPD|3CDMG	179CDMG|24aLWND|3MBVNT|59aVULN|69aASPD|8RCR|9aBPWR
4	32615 43223	 * 	214.80	DCR|3VULN|1AART|2CDMG|1DMG|2DUR	138VULN|23DUR|3BPWR|4DMG|57CDMG|6LWND|9AART|aRCR
5	32626 31125	 * 	212.42	DCR|3VULN|1AART|1ASPD|3DUR|1CDMG	138VULN|234DUR|3BPWR|5AART|6ASPD|7CDMG|9RMIN|aRCR
6	32534 38323	   	210.74	DCR|3VULN|3ASPD|1CDMG|2DUR	179VULN|29DUR|3CDMG|4LWND|5MBVNT|689ASPD|9BPWR|aRCR
7	32534 64323	   	210.74	DCR|3VULN|3ASPD|1CDMG|2DUR	169VULN|29DUR|3CDMG|4LWND|5MBVNT|789ASPD|9BPWR|aRCR
8	32626 33335	 * 	210.67	DCR|2VULN|2AART|1ASPD|3DUR|1CDMG	13VULN|234DUR|3BPWR|59AART|6ASPD|7CGEN|8CDMG|aRCR
9	32626 31335	   	210.57	DCR|2VULN|2AART|1ASPD|3DUR|1CDMG	13VULN|234DUR|3BPWR|59AART|6ASPD|7CDMG|8ERES|aRCR
10	32613 64121	 * 	210.13	DCR|3VULN|2DMG|3DUR|1CDMG	13aVULN|236DUR|3aBPWR|4aDMG|5DUST|7CDMG|8RCR|9aTLV
11	32623 44121	   	210.13	DCR|3VULN|2DMG|3DUR|1CDMG	13aVULN|234DUR|3aBPWR|5aDMG|6DUST|7CDMG|8RCR|9aTLV
12	11316 41422	 * 	210.04	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|39CGEN|4DMG|5RCVC|6ASPD|79VULN|8RCR|9BPWR|aAART
13	32614 32612	   	209.37	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13aVULN|23DUR|3BPWR|4DMG|5AART|6RPLT|7LHND|8CDMG|9RCR
14	32612 65311	 * 	209.20	DCR|3VULN|2AART|1DMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5BELT|67AART|9RCR|aLHND
15	32612 65313	   	209.20	DCR|3VULN|2AART|1DMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5BELT|67AART|9RCR|aAME
16	32614 21143	 * 	209.16	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|23DUR|3BPWR|49DMG|5AART|6RCVC|7FEWX|8CDMG|aRCR
17	32612 65312	   	209.10	DCR|3VULN|2AART|1DMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5BELT|67AART|9RCR|aDUST
18	32626 33325	 * 	208.81	DCR|2VULN|2ASPD|1AART|3DUR|1CDMG	13VULN|234DUR|3BPWR|5AART|69ASPD|7CGEN|8CDMG|aRCR
19	32626 31325	   	208.71	DCR|2VULN|2ASPD|1AART|3DUR|1CDMG	13VULN|234DUR|3BPWR|5AART|69ASPD|7CDMG|8ERES|aRCR
20	32614 36312	 * 	208.71	DCR|3VULN|2DMG|1AART|2DUR	138VULN|23DUR|3BPWR|49DMG|5AART|6RPLT|7LIT|aRCR
21	11552 33521	 * 	208.69	DCR|2VULN|2ASPD|3CDMG|1AART	179CDMG|24FEWX|3MBVNT|59VULN|69ASPD|8RCR|9BPWR|aAART
22	13411 21326	   	208.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3MLV|4DMG|56VULN|7ASPD|8ZMB|9RCR|aAART
23	13511 21326	   	208.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|3TLV|4DMG|56VULN|7ASPD|8ZMB|9RCR|aAART
24	35211 62423	 * 	207.72	DCR|4VULN|2DMG|1NUKE|2ZMB	1578VULN|2AME|38ZMB|48DMG|6NUKE|8BPWR|9SPLREG|aRCR
25	36211 62423	   	207.72	DCR|4VULN|2DMG|1NUKE|2ZMB	1578VULN|2MLV|38ZMB|48DMG|6NUKE|8BPWR|9SPLREG|aRCR
26	11311 41422	   	207.58	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|359CGEN|4DMG|6ASPD|79VULN|8RCR|9BPWR|aAART
27	11613 41422	   	207.58	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|25FEWX|39AME|4DMG|6ASPD|79VULN|8RCR|9BPWR|aAART
28	35211 31253	 * 	207.57	DCR|3VULN|3ZMB|2CDMG|1DMG	15aVULN|2AME|39aZMB|4DMG|6LIT|7aCDMG|8RCR|aBPWR
29	36211 31253	   	207.57	DCR|3VULN|3ZMB|2CDMG|1DMG	15aVULN|2MLV|39aZMB|4DMG|6LIT|7aCDMG|8RCR|aBPWR
30	31312 21533	   	207.31	DCR|3VULN|2ASPD|1AART|1DUR	167VULN|2LIT|3RCVC|45ASPD|8RCR|9DUR|aAART
31	32615 24223	   	207.27	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5CDMG|6MLV|7ERES|9AART|aRCR
32	32615 14223	   	207.17	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	138VULN|23DUR|3BPWR|4DMG|5CDMG|6TLV|7ERES|9AART|aRCR
33	32612 46312	   	206.33	DCR|3VULN|2DMG|3DUR|1CDMG	137VULN|236DUR|37BPWR|47DMG|5BELT|8CDMG|9CGEN|aRCR
34	32623 14123	 * 	206.02	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	13VULN|234DUR|3BPWR|5DMG|6LWND|79CDMG|8RCR|aAART
35	13413 21443	   	205.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|3MLV|49DMG|5DUR|6aVULN|7AART|8RCR
