0	Index      	 *	Score 	Summary	Detail	
1	26352 35133	 * 	231.58	DCR|3DMG|2VULN|1MDPS|2CDMG|1ASPD|1ZMB|1DUR	17VULN|2ASPD|367DMG|4MDPS|57CDMG|7BPWR|8DUR|9ZMB|aRCR
2	26343 83141	 * 	228.40	DCR|3VULN|2DMG|1MDPS|1ASPD|1ZMB	159VULN|2ASPD|38DMG|4MBVNT|6RCR|7ZMB|aMDPS
3	26352 35233	   	223.28	DCR|3DMG|2VULN|1MDPS|2CDMG|1ASPD|1ZMB	17VULN|2ASPD|367DMG|4MDPS|57CDMG|7BPWR|8ZMB|9FEWX|aRCR
4	26211 63142	 * 	221.60	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG	1aVULN|29ASPD|3LWND|47CDMG|5AART|6DMG|8RCR
5	16316 35123	 * 	219.71	DCR|2VULN|2DMG|2ASPD|1AART	1aASPD|25aLWND|3MLV|48DMG|6RCR|7aVULN|9AART|aBPWR
6	36316 35123	   	219.71	DCR|2VULN|2DMG|2ASPD|1AART	15aLWND|2aASPD|3MLV|48DMG|6RCR|7aVULN|9AART|aBPWR
7	12616 35123	   	219.51	DCR|2VULN|2DMG|2ASPD|1AART	1aASPD|2aTLV|35LWND|48DMG|6RCR|7aVULN|9AART|aBPWR
8	12613 35123	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	1aASPD|25aTLV|3LWND|48DMG|6RCR|7aVULN|9AART|aBPWR
9	26343 11412	 * 	216.43	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	15aVULN|26ASPD|3DMG|4MBVNT|7DUR|8RCR|9CDMG
10	24611 21431	 * 	215.80	DCR|3VULN|2AART|1ASPD|1CDMG	169VULN|2BEXP|3LIT|4CDMG|58AART|7RCR|aASPD
11	15332 62531	 * 	211.83	DCR|2DMG|2ASPD|1AART|2CDMG|3DUR	1aASPD|25aDUR|37DMG|4LWND|6AART|8aCDMG|9RCR|aBPWR
12	21141 12526	 * 	210.95	DCR|3ASPD|2VULN|1AART|1DMG	15VULN|2LHND|3AME|456ASPD|5BPWR|7AART|8RCR|9DMSP|aDMG
13	23141 12526	   	210.95	DCR|3ASPD|2VULN|1AART|1DMG	15VULN|2LWND|3AME|456ASPD|5BPWR|7AART|8RCR|9DMSP|aDMG
14	21341 12526	   	210.85	DCR|3ASPD|2VULN|1AART|1DMG	15VULN|2LHND|3ERES|456ASPD|5BPWR|7AART|8RCR|9DMSP|aDMG
15	23341 12526	   	210.85	DCR|3ASPD|2VULN|1AART|1DMG	15VULN|2LWND|3ERES|456ASPD|5BPWR|7AART|8RCR|9DMSP|aDMG
16	26343 11438	   	210.29	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15VULN|26ASPD|3DMG|4MBVNT|7DUR|8RCR|9RMIN|aAART
17	26343 83143	   	209.58	DCR|3VULN|2DMG|1ASPD|1ZMB	159VULN|2ASPD|38DMG|4MBVNT|6RCR|7ZMB|aLIT
18	26411 51123	 * 	209.56	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1CDMG	1aVULN|2aASPD|3RCR|4CDMG|5DMSP|6AART|7CGEN|8MDPS|9aDMG|aBPWR
19	26111 63532	   	209.54	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18VULN|2ASPD|3LHND|47CDMG|5AART|6DMG|9RCR|aRMIN
20	26343 83142	   	209.48	DCR|3VULN|2DMG|1ASPD|1ZMB	159VULN|2ASPD|38DMG|4MBVNT|6RCR|7ZMB|aDUST
21	26343 83144	   	209.48	DCR|3VULN|2DMG|1ASPD|1ZMB	159VULN|2ASPD|38DMG|4MBVNT|6RCR|7ZMB|aERES
22	26211 63135	   	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1aVULN|2ASPD|3LWND|47CDMG|5AART|6DMG|8RCR|9FEWX
