0	Index      	 *	Score 	Summary	Detail	
1	32332 32841	 * 	227.69	DCR|4VULN|3DMG|3DUR	189aVULN|2CGEN|38aDMG|4RPLT|58aDUR|6MBVNT|7RCR|8aBPWR
2	32324 33463	   	221.52	DCR|4VULN|3DMG|1ZMB	179aVULN|2CGEN|39aDMG|4LHND|5ZMB|6RCR|89aMLV|9aBPWR
3	16311 21321	 * 	217.28	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	18ERES|248ASPD|34CGEN|48BPWR|5AART|6DMG|78VULN|9ZMB|aRCR
4	16511 21321	   	217.28	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	18ERES|248ASPD|34MLV|48BPWR|5AART|6DMG|78VULN|9ZMB|aRCR
5	11333 32846	 * 	216.61	DCR|3VULN|3DMG|1AART	18aERES|2LEGI|38aDMG|4RPLT|58aVULN|6MBVNT|7RCR|8aBPWR|9AART
6	34122 51511	 * 	213.49	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8RMIN|9AART|aDMG
7	34122 51522	   	213.49	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8RMIN|9DMG|aAART
8	34122 51611	   	213.49	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8CGEN|9AART|aDMG
9	34122 51622	   	213.49	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8CGEN|9DMG|aAART
10	34122 51411	   	213.39	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8TLV|9AART|aDMG
11	34122 51422	   	213.39	DCR|1SPLARM|2VULN|1AART|1DMG|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8TLV|9DMG|aAART
12	35421 21316	 * 	213.28	DCR|4VULN|1AART|1ASPD|1DMG	1278VULN|3RCVC|4ERES|5AART|6DMG|9ASPD|aRCR
13	33522 24122	 * 	212.22	DCR|3VULN|2ASPD|1DMG|1CDMG	179VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8LIT|aDMG
14	32332 32821	   	211.84	DCR|3VULN|3DMG|3DUR	18aVULN|29CGEN|38aDMG|4RPLT|58aDUR|6MBVNT|7RCR|8aBPWR
15	33552 24122	 * 	211.18	DCR|3VULN|3DMG|1CDMG	179VULN|2CDMG|3BELT|47aDMG|57DUST|6RCR|7BPWR|8LIT
16	34122 51222	 * 	211.16	DCR|3VULN|1SPLARM|1AART|3DUR	149VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8DUST|aAART
17	32332 32848	 * 	210.99	DCR|3VULN|2DMG|1ASPD|2DUR	189VULN|2CGEN|38DMG|4RPLT|58DUR|6MBVNT|7RCR|8BPWR|aASPD
18	35233 23321	 * 	210.42	DCR|5VULN|1MDPS|1DMG|1AAC	12479VULN|34CANARM|4BPWR|5AAC|6RCR|8DMG|aMDPS
19	36233 23321	   	210.42	DCR|5VULN|1MDPS|1DMG|1AAC	13479VULN|24BASARM|4BPWR|5AAC|6RCR|8DMG|aMDPS
20	33552 24231	 * 	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DMG|57DUST|6RCR|7BPWR|8DUR|9TLV|aAART
21	34122 51513	 * 	209.50	DCR|1SPLARM|2VULN|2AART|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8RMIN|9aAART
22	34122 51613	   	209.50	DCR|1SPLARM|2VULN|2AART|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8CGEN|9aAART
23	34122 51413	   	209.40	DCR|1SPLARM|2VULN|2AART|3DUR	14VULN|2RPLT|345DUR|4BPWR|6SPLARM|7RCR|8TLV|9aAART
24	33112 24341	 * 	207.82	DCR|2VULN|2ASPD|3CDMG|3DUR	17VULN|27aCDMG|3LWND|4FEWX|57aDUR|6RCR|7aBPWR|8MLV|9aASPD
25	33152 24341	   	207.82	DCR|2VULN|2ASPD|3CDMG|3DUR	17VULN|27aCDMG|3LWND|4LHND|57aDUR|6RCR|7aBPWR|8MLV|9aASPD
26	33252 24341	   	207.82	DCR|2VULN|2ASPD|3CDMG|3DUR	17VULN|27aCDMG|3FEWX|4LHND|57aDUR|6RCR|7aBPWR|8MLV|9aASPD
27	33532 24322	 * 	207.52	DCR|3ASPD|2VULN|1DMG|1CDMG	17VULN|2CDMG|3BELT|47LWND|579ASPD|6RCR|7BPWR|8LHND|aDMG
28	34125 12327	 * 	207.06	DCR|5VULN|1AART|2DUR	1458aVULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|9AART
29	35524 13322	 * 	207.00	DCR|3VULN|3DMG|1ASPD	127VULN|3MLV|468DMG|5FEWX|9ASPD|aRCR
30	32332 32845	   	206.78	DCR|4VULN|2DMG|2DUR	189aVULN|2CGEN|38DMG|4RPLT|58DUR|6MBVNT|7RCR|8BPWR
31	34125 12264	   	206.68	DCR|4VULN|2DMG|2DUR	145aVULN|2RPLT|34DUR|4aBPWR|6MBVNT|7RCR|8aDUST|9aDMG
32	33522 24241	 * 	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|9CGEN|aAART
33	33522 24231	   	206.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|9TLV|aAART
34	32324 36141	 * 	206.26	DCR|2VULN|2DMG|2ASPD|1ZMB	1aVULN|2CGEN|3aDMG|4LHND|5ZMB|6RCR|78RPLT|9aASPD|aBPWR
35	33112 24561	 * 	206.18	DCR|3VULN|3CDMG|1NUKE|2DUR	179VULN|278CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|aNUKE
36	33552 24232	 * 	205.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DMG|57DUST|6RCR|7BPWR|8DUR|9TLV|aASPD
37	35222 23124	 * 	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12VULN|3CANARM|4AART|5ASPD|67DMG|8DUR|9LHND|aRCR
38	35222 23154	   	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12VULN|3CANARM|4AART|5ASPD|67DMG|8DUR|9BEXP|aRCR
39	36222 23124	   	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|2BASARM|4AART|5ASPD|67DMG|8DUR|9LHND|aRCR
40	36222 23154	   	205.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|2BASARM|4AART|5ASPD|67DMG|8DUR|9BEXP|aRCR
41	32324 33453	   	205.47	DCR|3VULN|3DMG|1ZMB	17aVULN|2CGEN|39aDMG|4LHND|5ZMB|6RCR|8aMLV|aBPWR
42	34125 12163	 * 	205.34	DCR|4VULN|1ASPD|1CDMG|2DUR	1459VULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|8ASPD|aCDMG
43	33532 24431	 * 	205.29	DCR|3VULN|3ASPD|1CDMG	179VULN|2CDMG|3BELT|47LWND|57aASPD|6RCR|7BPWR|8AME
44	33152 24116	 * 	205.07	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	17VULN|27CDMG|3LWND|4LHND|57DUR|6RCR|7BPWR|8ASPD|9RPLT|aAART
45	13364 33413	   	203.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|2FEWX|3aDMG|4DUR|5ZMB|6RCR|79VULN|8AART
46	34125 12153	   	203.71	DCR|3VULN|2ASPD|1CDMG|2DUR	145VULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|89ASPD|aCDMG
47	11364 33413	   	203.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|2LEGI|3aDMG|4DUR|5ZMB|6RCR|79VULN|8AART
48	34125 12181	 * 	203.51	DCR|4VULN|2ASPD|2DUR	145aVULN|2RPLT|34DUR|4aBPWR|6MBVNT|7RCR|8aASPD|9aMLV
49	34125 12174	   	203.31	DCR|4VULN|2ASPD|2DUR	145aVULN|2RPLT|34DUR|4aBPWR|6MBVNT|7RCR|8aASPD|9aDUST
50	35421 22216	   	203.26	DCR|3VULN|2DMG|1AART|1DUR	128VULN|3RCVC|4ERES|5AART|68DMG|78DUST|8BPWR|9DUR|aRCR
51	33522 24235	   	202.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|9TLV|aDMG
52	33522 24126	   	202.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	179VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8LIT|aZMB
53	32136 33143	   	202.19	DCR|4VULN|2ASPD|1ZMB	178aVULN|2aCGEN|3ZMB|4MBVNT|5MLV|6RCR|9aASPD|aBPWR
54	32138 33143	   	202.09	DCR|4VULN|2ASPD|1ZMB	178aVULN|2aCGEN|3ZMB|4MBVNT|5ERES|6RCR|9aASPD|aBPWR
55	35224 22111	 * 	201.97	DCR|3VULN|2AART|1CDMG|1ZMB	12aVULN|3CANARM|45AART|6ZMB|7CDMG|8RCVC|9RCR
56	35224 22211	   	201.97	DCR|3VULN|2AART|1CDMG|1ZMB	12aVULN|3CANARM|45AART|6ZMB|7CDMG|8DMSP|9RCR
57	36224 22111	   	201.97	DCR|3VULN|2AART|1CDMG|1ZMB	13aVULN|2BASARM|45AART|6ZMB|7CDMG|8RCVC|9RCR
58	36224 22211	   	201.97	DCR|3VULN|2AART|1CDMG|1ZMB	13aVULN|2BASARM|45AART|6ZMB|7CDMG|8DMSP|9RCR
59	33112 24562	 * 	201.96	DCR|4VULN|3CDMG|2DUR	179aVULN|278CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR
60	11333 32843	 * 	201.85	DCR|2VULN|1MDPS|2DMG|1AART	18ERES|2LEGI|38DMG|4RPLT|58VULN|6MBVNT|7RCR|8BPWR|9AART|aMDPS
61	35124 15113	 * 	201.84	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	128VULN|3RCR|4LHND|5ZMB|6CDMG|79AART|aDMG
62	35233 21326	 * 	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8AELBLL|9ASPD|aCDMG
63	35233 21551	 * 	201.52	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8DMG|9FEWX|aCDMG
64	35233 21626	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8RCVC|9ASPD|aCDMG
