0	Index      	 *	Score 	Summary	Detail	
1	34123 34316	 * 	293.05	橙橙2易伤1矿等1攻速1全技能	1时间2攻速3敌人爆炸4全技能5雷电6a易伤78核9矿等
2	35123 34316	   	279.40	橙橙2易伤1矿等1全技能	1时间2技能3敌人爆炸4全技能5雷电6a易伤78核9矿等
3	16111 23111	 * 	278.36	橙橙1易伤1伤害1矿等1攻速1平台1策反	1平台2伤害3矿等4易伤5赏金塔6攻速7策反8a核9赏金邻近
4	16114 31111	 * 	278.36	橙橙1易伤1伤害1矿等1攻速1平台1策反	1平台2伤害3矿等4易伤5策反6攻速7赏金塔8a核9赏金邻近
5	12216 51111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿36易伤4加一5攻速7赏金塔8a核9赏金邻近
6	12216 58111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿36易伤4加一5攻速7赏金邻近8a核9赏金塔
7	12218 31111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿35易伤4加一6攻速7赏金塔8a核9赏金邻近
8	12218 38111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿35易伤4加一6攻速7赏金邻近8a核9赏金塔
9	12326 51111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿3加一46易伤5攻速7赏金塔8a核9赏金邻近
10	12326 58111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿3加一46易伤5攻速7赏金邻近8a核9赏金塔
11	12328 31111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿3加一45易伤6攻速7赏金塔8a核9赏金邻近
12	12328 38111	   	267.01	橙橙2易伤1攻速1平台	1平台2掉矿3加一45易伤6攻速7赏金邻近8a核9赏金塔
13	34123 14316	   	266.84	橙橙1易伤1矿等1攻速1全技能	1时间2攻速3敌人爆炸4全技能5雷电6最后敌人78核9矿等a易伤
14	34123 34311	   	266.84	橙橙1易伤1矿等1攻速1全技能	1时间2攻速3敌人爆炸4全技能5雷电6易伤78核9矿等a金币生成
15	34123 34313	   	266.84	橙橙1易伤1矿等1攻速1全技能	1时间2攻速3敌人爆炸4全技能5雷电6易伤78核9矿等a低血量敌人
16	34123 34312	   	266.74	橙橙1易伤1矿等1攻速1全技能1挖怪	1时间2攻速3敌人爆炸4全技能5雷电6易伤78核9矿等a挖怪
17	34123 34315	   	266.74	橙橙1易伤1矿等1攻速1全技能1策反	1时间2攻速3敌人爆炸4全技能5雷电6易伤78核9矿等a策反
18	16114 11111	 * 	264.70	橙橙1易伤1伤害1矿等1平台1策反	1平台2伤害3矿等4易伤5策反6技能7赏金塔8a核9赏金邻近
