0	Index      	 *	Score 	Summary	Detail	
1	24415 13333	 * 	300.63	DCR|DCR|2VULN|2ASPD|3CDMG	19VULN|259CDMG|3BASICY|4ERES|6aRCR|79ASPD|8MDPS|9BPWR
2	21334 23256	 * 	300.36	DCR|DCR|3VULN|1DMG	124VULN|2BPWR|3DMG|5CGEN|6DUR|7LEGI|8BELT|9aRCR
3	21314 23256	 * 	294.48	DCR|DCR|2VULN|2DMG	12VULN|2BPWR|34DMG|5CGEN|6DUR|7LEGI|8BELT|9aRCR
4	22633 63136	   	293.36	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1aVULN|2ASPD|3CDMG|4MDPS|5TBNT|6MLV|79RCR|8LIT
5	21111 34145	 * 	292.04	DCR|DCR|4VULN	127aVULN|2BPWR|3LHND|46DUST|5TBNT|89RCR
6	21231 35615	   	286.65	DCR|DCR|3VULN|2DUR	12aVULN|2BPWR|34AME|56DUR|79RCR|8LEGI
7	22423 63633	 * 	286.56	ACR|DCR|3VULN|1DMG|1ASPD	139VULN|2ASPD|4RMIN|5aRCR|6DMG|7AART|8BBNT
8	63213 22145	 * 	281.87	DCR|DCR|2VULN|2MLV	1BBNT|2RCVC|36BEXP|4RMIN|56MLV|6BPWR|7aVULN|89RCR
9	53113 22145	   	281.77	DCR|DCR|2VULN|2MLV	1ERES|2RCVC|3BBNT|46BEXP|56MLV|6BPWR|7aVULN|89RCR
10	21521 16141	   	280.81	DCR|DCR|2VULN|1MLV|2DUR	12VULN|2BPWR|3MDPS|45DUR|6LWND|7LEGI|89RCR|aMLV
11	23124 15315	   	280.40	DCR|DCR|3VULN	15aVULN|23CGEN|4RMIN|6TLV|79RCR|8DUR
12	21162 25315	   	280.30	DCR|DCR|3VULN	12aVULN|2BPWR|3LHND|45CGEN|6AELOIC|79RCR|8DUR
13	21134 25315	   	280.20	DCR|DCR|3VULN	12aVULN|2BPWR|34LHND|5ERES|6AELOIC|79RCR|8DUR
14	21224 15315	   	280.10	DCR|DCR|3VULN	12aVULN|2BPWR|36AME|4RMIN|5ERES|79RCR|8DUR
15	21231 25615	   	280.00	DCR|DCR|3VULN	12aVULN|2BPWR|34AME|5DUR|6AELOIC|79RCR|8LEGI
16	21352 12523	 * 	279.95	DCR|3VULN|3DMG|2MLV	127VULN|27BPWR|378DMG|4MDPS|5AART|67MLV|9LIT|aRCR
17	21425 62131	   	278.25	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6RMIN|7aRCR|8TLV|9FEWX
18	21232 15231	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|34AME|5TLV|6TBNT|7aRCR|8DMG|9RPLT
19	21232 45231	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|34AME|5TLV|6BBNT|7aRCR|8DMG|9RPLT
20	21425 22631	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6ERES|7aRCR|8CGEN|9FEWX
21	21425 32131	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6CGEN|7aRCR|8AME|9FEWX
22	21425 32331	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6CGEN|7aRCR|8ERES|9FEWX
23	21425 62331	   	278.15	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6RMIN|7aRCR|8ERES|9FEWX
24	21425 22131	   	278.05	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3RPLT|4MDPS|5DMG|6ERES|7aRCR|8AME|9FEWX
25	22415 42332	 * 	277.50	DCR|4VULN|2DMG|2ASPD	1367VULN|27ASPD|47DMG|5RPLT|7BPWR|8LWND|9RMIN|aRCR
