0	Index      	 *	Score 	Summary	Detail	
1	12322 34163	 * 	289.80	橙5易伤2矿等1伤害2时间	15689易伤2额外掉落3伤害49时间79矿等9序列升级a核
2	32225 22322	 * 	286.12	橙橙2易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害58易伤6a核7寒冰对冰9基地爆炸
3	32225 22342	   	286.12	橙橙2易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害58易伤6a核7寒冰对冰9最后敌人
4	32225 22362	   	286.02	橙橙2易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害58易伤6a核7寒冰对冰9挖尘
5	12322 44163	 * 	277.16	橙4易伤2矿等3时间1伤害	1589易伤2额外掉落3伤害469时间79矿等9序列升级a核
6	13264 22522	 * 	274.83	橙橙2易伤2攻速	18易伤2金币生成38攻速4等级5激光对愈6a核78寒冰对冰8序列升级9基地爆炸
7	13261 22522	   	274.63	橙橙2易伤2攻速	18易伤2金币生成38攻速4等级5狙击对黄6a核78寒冰对黄8序列升级9基地爆炸
8	13261 22542	   	274.63	橙橙2易伤2攻速	18易伤2金币生成38攻速4等级5狙击对黄6a核78寒冰对黄8序列升级9最后敌人
9	13261 22562	   	274.53	橙橙2易伤2攻速	18易伤2金币生成38攻速4等级5狙击对黄6a核78寒冰对黄8序列升级9挖尘
10	11211 22322	 * 	271.50	橙橙3易伤2策反	158易伤2激光对绿3低血量敌人45策反5序列升级6a核7狙击对黄9基地爆炸
11	11211 22362	 * 	271.50	橙橙3易伤2策反	158易伤2激光对绿3低血量敌人45策反5序列升级6a核7狙击对黄9最后敌人
12	34152 23126	   	268.79	橙橙2易伤1伤害	13金币生成23最后敌人3序列升级4赏金邻近57易伤6a核8额外掉落9伤害
13	63225 22322	   	268.49	橙橙2易伤1伤害	1立即金币2低血量敌人3毒液对黄4伤害58易伤6a核7狙击对黄9基地爆炸
14	63225 22362	   	268.49	橙橙2易伤1伤害	1立即金币2低血量敌人3毒液对黄4伤害58易伤6a核7狙击对黄9最后敌人
15	12322 34111	   	267.44	橙5易伤1伤害1矿等	1568a易伤2额外掉落3伤害4时间7矿等9核
16	12345 21152	 * 	267.13	紫橙2易伤2伤害1全技能	15易伤269额外掉落35伤害4a核5序列升级7随机矿8全技能
17	13264 22322	   	262.18	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5激光对愈6a核7寒冰对冰9基地爆炸
18	13264 22342	   	262.18	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5激光对愈6a核7寒冰对冰9最后敌人
19	35264 22322	   	262.18	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5激光对愈6a核7寒冰对冰9基地爆炸
20	13261 22322	   	262.08	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5狙击对黄6a核7寒冰对黄9基地爆炸
21	13261 22342	   	262.08	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5狙击对黄6a核7寒冰对黄9最后敌人
22	13264 22362	   	262.08	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5激光对愈6a核7寒冰对冰9挖尘
23	35261 22322	   	262.08	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5狙击对黄6a核7寒冰对黄9基地爆炸
24	35261 22342	   	262.08	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5狙击对黄6a核7寒冰对黄9最后敌人
25	13261 22362	   	261.98	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5狙击对黄6a核7寒冰对黄9挖尘
26	13451 22432	   	261.98	橙橙2易伤1攻速	14易伤2金币生成3基础对甲5敌人爆炸6a核7加农对毒8攻速9技能点
27	13452 22432	   	261.98	橙橙2易伤1攻速	14易伤2金币生成3基础对甲5基地爆炸6a核7加农对毒8攻速9技能点
28	35261 22362	   	261.98	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5狙击对黄6a核7寒冰对黄9挖尘
29	12651 24111	   	261.03	橙5易伤1矿等1攻速	1378a易伤2额外掉落4矿等5攻速6时间9核
