0	Index      	 *	Score 	Summary	Detail	
1	12156 12241	 * 	312.83	橙橙2易伤2伤害1矿等1攻速	124金币生成24序列升级34伤害59易伤68核7矿等a攻速
2	12156 12211	 * 	302.24	橙橙2伤害2矿等1易伤1攻速	124金币生成24序列升级34伤害5易伤68核79矿等a攻速
3	12156 12251	   	299.18	橙橙2易伤2伤害1矿等	124金币生成24序列升级34伤害5a易伤68核7矿等9最后敌人
4	12156 12231	   	299.08	橙橙2易伤2伤害1矿等	124金币生成24序列升级34伤害5a易伤68核7矿等9挖尘
5	12156 12242	   	299.08	橙橙2易伤2伤害1矿等	124金币生成24序列升级34伤害59易伤68核7矿等a激光减费
6	12156 12243	   	299.08	橙橙2易伤2伤害1矿等	124金币生成24序列升级34伤害59易伤68核7矿等a掉矿
7	12156 12263	   	296.29	橙橙2伤害1易伤1矿等1攻速	124金币生成24序列升级34伤害5易伤68核7矿等9攻速a平台
8	12116 12241	   	295.14	橙橙2易伤1伤害1矿等1攻速	12金币生成2序列升级3伤害4立即金币59易伤68核7矿等a攻速
9	12116 12264	   	295.14	橙橙2易伤1伤害1矿等1攻速	12金币生成2序列升级3伤害4立即金币5a易伤68核7矿等9攻速
10	12156 12253	 * 	288.63	橙橙3伤害1易伤1矿等	124金币生成24序列升级34a伤害5易伤68核7矿等9最后敌人
11	12156 12214	   	288.59	橙橙2伤害2矿等1易伤	124a金币生成24序列升级34伤害5易伤68核79矿等
12	12156 12215	   	288.59	橙橙2伤害2矿等1易伤	124金币生成24序列升级34伤害5易伤68核79矿等a赏金塔
13	12156 12216	   	288.59	橙橙2伤害2矿等1易伤	124金币生成24序列升级34伤害5易伤68核79矿等a基地爆炸
14	12156 12233	   	288.53	橙橙3伤害1易伤1矿等	124金币生成24序列升级34a伤害5易伤68核7矿等9挖尘
15	12156 12212	   	288.49	橙橙2伤害2矿等1易伤	124金币生成24序列升级34伤害5易伤68核79矿等a激光减费
16	12156 12213	   	288.49	橙橙2伤害2矿等1易伤	124金币生成24序列升级34伤害5易伤68核79矿等a掉矿
17	63314 22236	   	286.81	橙橙1易伤1伤害1矿等1暴击	1敌人爆炸2时间3易伤4毒液对冰5全技能6伤害79核8暴击a矿等
18	12156 12252	   	286.63	橙橙2伤害1易伤1矿等1暴击	124金币生成24序列升级34伤害5易伤68核7矿等9最后敌人a暴击
19	12156 12262	   	286.63	橙橙2伤害1易伤1矿等1攻速	124金币生成24序列升级34伤害5易伤68核7矿等9攻速a额外掉落
20	12156 12232	   	286.53	橙橙2伤害1易伤1矿等1暴击	124金币生成24序列升级34伤害5易伤68核7矿等9挖尘a暴击
21	12156 12261	   	286.53	橙橙2伤害1易伤1矿等1攻速	124金币生成24序列升级34伤害5易伤68核7矿等9攻速a双倍秒伤
22	12116 12211	   	284.55	橙橙2矿等1易伤1伤害1攻速	12金币生成2序列升级3伤害4立即金币5易伤68核79矿等a攻速
23	42116 12211	   	284.35	橙橙2矿等1易伤1伤害1攻速	12技能点2序列升级3伤害4立即金币5易伤68核79矿等a攻速
24	63314 22233	   	282.92	橙橙1易伤1伤害1攻速1暴击	1敌人爆炸2时间3易伤4毒液对冰5全技能6伤害79核8暴击a攻速
