0	Index      	 *	Score 	Summary	Detail	
1	23223 51241	 * 	240.34	紫1基础对甲2攻速2基地爆炸2全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9a全技能
2	23223 51264	 * 	238.19	紫3攻速1基础对甲2基地爆炸1暴击1技能	17策反27基地爆炸3散射对甲4核5暴击679攻速7序列升级8基础对甲a技能
3	23223 51244	 * 	234.20	紫1基础对甲2攻速2基地爆炸2暴击1全技能	17策反27基地爆炸3散射对甲4核5a暴击67攻速7序列升级8基础对甲9全技能
4	23223 51261	   	229.89	紫3攻速1基础对甲2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击679攻速7序列升级8基础对甲a低血量敌人
5	23223 51262	   	229.89	紫3攻速1基础对甲2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击679攻速7序列升级8基础对甲a立即金币
6	23223 51266	   	229.89	紫3攻速1基础对甲2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击679攻速7序列升级8基础对甲a平台
7	23223 51263	   	229.79	紫3攻速1基础对甲2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击679攻速7序列升级8基础对甲a等级
8	23223 51233	   	227.88	紫1基础对甲2攻速2基地爆炸1暴击1全技能	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成a全技能
9	23223 51243	   	227.88	紫1基础对甲2攻速2基地爆炸1全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9全技能a低血量敌人
10	23223 51245	   	227.88	紫1基础对甲2攻速2基地爆炸1暴击1全技能	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9全技能a金币生成
11	23223 51246	   	227.88	紫1基础对甲2攻速2基地爆炸1全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9全技能a雷电
12	23223 51253	   	227.78	紫1基础对甲2攻速2基地爆炸1全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a全技能
