0	Index      	 *	Score 	Summary	Detail	
1	26626 11132	 * 	221.22	DCR|3VULN|3DMG|1AART|1DUR	1aLHND|24aVULN|3FEWX|5AART|6DUR|78aDMG|9RCR|aBPWR
2	33331 53224	 * 	216.52	DCR|4VULN|2ASPD|1CDMG|1DUR	1aCGEN|2DUR|345aVULN|6RCR|7CDMG|8LIT|9aASPD|aBPWR
3	33331 51614	 * 	215.97	DCR|4VULN|2AART|1ZMB|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aZMB
4	43121 22313	 * 	213.13	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|2DUR	1MDPS|2AART|3aDUR|4CDMG|5aVULN|6FEWX|7RCR|8LWND|9aDMG|aBPWR
5	43121 12334	 * 	211.41	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|2DUR	1MDPS|29AART|36DUR|4CDMG|58VULN|7RCR|aDMG
6	43121 26413	   	211.13	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|2DUR	1MDPS|2AART|3aDUR|4CDMG|5aVULN|6FEWX|7LWND|8RCR|9aDMG|aBPWR
7	43121 36413	   	211.13	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|2DUR	1MDPS|2AART|3aDUR|4CDMG|5aVULN|6BEXP|7LWND|8RCR|9aDMG|aBPWR
8	26626 21132	   	210.81	DCR|3VULN|2DMG|1AART|2DUR	1aLHND|24aVULN|3FEWX|5AART|68DMG|7aDUR|9RCR|aBPWR
9	66333 52132	 * 	210.68	DCR|4VULN|3ZMB|1ASPD	1RMIN|2349VULN|579ZMB|6RCR|89MLV|9BPWR|aASPD
10	33331 56163	 * 	209.76	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8ZMB|9ASPD|aMDPS
11	32331 51631	 * 	209.62	DCR|4VULN|1AART|1DMG|1DUR	1CGEN|2LHND|3457VULN|6RCR|8AART|9DUR|aDMG
