0	Index      	 *	Score 	Summary	Detail	
1	21312 26652	 * 	217.16	DCR|3ASPD|2VULN|2DMG|1DUR	19LIT|237ASPD|4CGEN|59VULN|6RCR|89DMG|9BPWR|aDUR
2	33331 12162	 * 	211.78	DCR|4VULN|2DMG|1CDMG|1DUR	19ERES|24CGEN|3469VULN|49BPWR|5CDMG|7DUR|89DMG|aRCR
3	33311 12162	   	211.68	DCR|4VULN|2DMG|1CDMG|1DUR	19ERES|2CGEN|3469VULN|5CDMG|7DUR|89DMG|9BPWR|aRCR
4	21312 26651	   	208.86	DCR|3ASPD|2VULN|2DMG	19LIT|237ASPD|4CGEN|59VULN|6RCR|89DMG|9BPWR|aAME
5	21312 26653	   	208.76	DCR|3ASPD|2VULN|2DMG	19LIT|237ASPD|4CGEN|59VULN|6RCR|89DMG|9BPWR|aMBVNT
6	33331 31262	 * 	208.42	DCR|4VULN|2ASPD|1CDMG|1DUR	19ERES|24CGEN|3489VULN|49BPWR|5CDMG|6DUR|79ASPD|aRCR
7	33311 31262	   	208.32	DCR|4VULN|2ASPD|1CDMG|1DUR	19ERES|2CGEN|3489VULN|5CDMG|6DUR|79ASPD|9BPWR|aRCR
8	11346 42232	 * 	204.47	DCR|5VULN|2DMG	17LHND|2MLV|37DMG|4RCVC|56789VULN|7BPWR|aRCR
9	11315 42232	   	204.05	DCR|5VULN|2DMG	17LHND|2MLV|37DMG|46789VULN|5RCVC|7BPWR|aRCR
10	33331 11162	   	203.48	DCR|4VULN|2DMG|1CDMG	19ERES|24CGEN|3469VULN|49BPWR|5CDMG|7LHND|89DMG|aRCR
11	33311 11162	   	203.38	DCR|4VULN|2DMG|1CDMG	19ERES|2CGEN|3469VULN|5CDMG|7LHND|89DMG|9BPWR|aRCR
12	33331 15162	   	203.38	DCR|4VULN|2DMG|1CDMG	19ERES|24CGEN|3469VULN|49BPWR|5CDMG|7DUST|89DMG|aRCR
13	33311 15162	   	203.28	DCR|4VULN|2DMG|1CDMG	19ERES|2CGEN|3469VULN|5CDMG|7DUST|89DMG|9BPWR|aRCR
14	11316 42232	   	201.59	DCR|5VULN|2DMG	157LHND|2MLV|37DMG|46789VULN|7BPWR|aRCR
15	11336 42232	   	201.59	DCR|5VULN|2DMG	17LHND|24MLV|37DMG|56789VULN|7BPWR|aRCR
16	55311 62321	 * 	200.87	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2ASPD|369DMG|4VULN|5CGEN|7BEXP|8AART|aRCR
17	33331 41262	   	200.11	DCR|4VULN|2ASPD|1CDMG	19ERES|24CGEN|3489VULN|49BPWR|5CDMG|6BEXP|79ASPD|aRCR
18	33331 51262	   	200.11	DCR|4VULN|2ASPD|1CDMG	19ERES|24CGEN|3489VULN|49BPWR|5CDMG|6LHND|79ASPD|aRCR
19	33311 41262	   	200.01	DCR|4VULN|2ASPD|1CDMG	19ERES|2CGEN|3489VULN|5CDMG|6BEXP|79ASPD|9BPWR|aRCR
20	33311 51262	   	200.01	DCR|4VULN|2ASPD|1CDMG	19ERES|2CGEN|3489VULN|5CDMG|6LHND|79ASPD|9BPWR|aRCR
21	21214 21526	 * 	199.90	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1LIT|29ASPD|3LHND|4DUR|59DMG|6RCR|7VULN|89BASARM|9BPWR|aCDMG
22	33341 12162	   	198.72	DCR|3VULN|2DMG|1CDMG|1DUR	19ERES|2CGEN|369VULN|4RCVC|5CDMG|7DUR|89DMG|9BPWR|aRCR
23	21322 22356	 * 	198.71	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1LIT|23ASPD|4RMIN|5VULN|6RCR|7ZMB|8DUST|9AART|aDMG
24	15144 32431	 * 	197.85	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	1LHND|2ASPD|3MBVNT|4RPLT|56VULN|7AART|8CDMG|9RCR|aNUKE
25	15144 32432	 * 	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|2ASPD|3MBVNT|4RPLT|56VULN|7AART|8CDMG|9RCR|aDMG
26	15144 32574	 * 	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|2ASPD|3MBVNT|4RPLT|569VULN|7AART|8DMG|aRCR
27	21114 22316	 * 	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1LIT|2ASPD|3LWND|47DUR|5DMG|6RCR|8VULN|9aAART
28	21214 22316	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1LIT|2ASPD|3LHND|47DUR|5DMG|6RCR|8VULN|9aAART
29	55111 73334	 * 	196.39	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1DUR|2ASPD|3MBVNT|4ZMB|5CGEN|6DMG|7RCR|8VULN|9CDMG|aNUKE
30	21154 23152	   	196.16	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4LHND|59DMG|6RCR|7TLV|89VULN|9BPWR|aRCVC
31	21164 23152	   	196.16	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR|aRCVC
32	54251 21122	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2RPLT|3LIT|48VULN|5AART|6RCR|7DMG|9FEWX|aASPD
33	54251 21132	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2RPLT|3LIT|48VULN|5AART|6RCR|7DMG|9BEXP|aASPD
34	33331 32162	   	195.94	DCR|3VULN|2DMG|1CDMG|1DUR	19ERES|24CGEN|349VULN|49BPWR|5CDMG|6DUR|7DMSP|89DMG|aRCR
35	33311 32162	   	195.84	DCR|3VULN|2DMG|1CDMG|1DUR	19ERES|2CGEN|349VULN|5CDMG|6DUR|7DMSP|89DMG|9BPWR|aRCR
36	21154 23151	   	195.83	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4LHND|59DMG|6RCR|7TLV|89VULN|9BPWR|aAME
