0	Index      	 *	Score 	Summary	Detail	
1	35531 21136	 * 	230.86	DCR|4VULN|3DMG|2CDMG	169aVULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR
2	35531 21133	   	221.79	DCR|3VULN|3DMG|2CDMG|1AAC	169VULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR|aAAC
3	35534 11133	   	221.79	DCR|3VULN|3DMG|2CDMG|1AAC	169VULN|2469CGEN|345DMG|469BPWR|79CDMG|8RCR|aAAC
4	35531 21163	 * 	221.64	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|245CGEN|345DMG|45BPWR|7CDMG|8RCR|9DUR|aAART
5	46113 22224	 * 	215.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	19LWND|2ZMB|39DUST|4ASPD|57VULN|6RCR|89DMG|9BPWR|aAART
6	56113 22224	   	215.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	19LHND|2ZMB|39DUST|4ASPD|57VULN|6RCR|89DMG|9BPWR|aAART
7	35531 21135	   	215.34	DCR|3VULN|3DMG|2CDMG	169VULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR|aRCVC
8	35531 21131	   	215.01	DCR|3VULN|3DMG|2CDMG	169VULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR|aLWND
9	35531 21132	   	215.01	DCR|3VULN|3DMG|2CDMG	169VULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR|aRPLT
10	35534 11131	   	215.01	DCR|3VULN|3DMG|2CDMG	169VULN|2469CGEN|345DMG|469BPWR|79CDMG|8RCR|aLWND
11	35534 11132	   	215.01	DCR|3VULN|3DMG|2CDMG	169VULN|2469CGEN|345DMG|469BPWR|79CDMG|8RCR|aRPLT
12	35534 21131	   	214.91	DCR|3VULN|3DMG|2CDMG	169VULN|249CGEN|345DMG|49BPWR|79CDMG|8RCR|aMLV
13	35534 21132	   	214.91	DCR|3VULN|3DMG|2CDMG	169VULN|249CGEN|345DMG|49BPWR|79CDMG|8RCR|aLWND
14	35534 21133	   	214.81	DCR|3VULN|3DMG|2CDMG|1SELL	169VULN|249CGEN|345DMG|49BPWR|79CDMG|8RCR|aSELL
15	46113 22236	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART|aCDMG
16	56113 22236	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LHND|2ZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART|aCDMG
