0	Index      	 *	Score 	Summary	Detail	
1	15123 21211	 * 	228.19	DCR|1SPLARM|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aSPLARM
2	13341 25311	 * 	224.77	DCR|3VULN|1SPLARM|1AART|1DMG|1NUKE|1CDMG	135VULN|2FEWX|4DMG|6CDMG|7AART|8NUKE|9RCR|aSPLARM
3	13353 45311	 * 	224.77	DCR|3VULN|1SPLARM|1AART|1ASPD|1NUKE|1CDMG	136VULN|2FEWX|4CDMG|5ASPD|7AART|8NUKE|9RCR|aSPLARM
4	15251 25311	   	224.77	DCR|3VULN|1SPLARM|1AART|1DMG|1NUKE|1CDMG	145VULN|2DMG|3LWND|6CDMG|7AART|8NUKE|9RCR|aSPLARM
5	16341 25311	   	224.77	DCR|3VULN|1SPLARM|1AART|1DMG|1NUKE|1CDMG	135VULN|2LWND|4DMG|6CDMG|7AART|8NUKE|9RCR|aSPLARM
6	14352 73244	 * 	224.76	DCR|4VULN|2DMG|1AART|2DUR	1379VULN|2MBVNT|47DMG|579LIT|6AART|79BPWR|89DUR|aRCR
7	11331 64313	   	224.56	DCR|3VULN|2DMG|1AART|2DUR|2ZMB	17aVULN|2AART|37BEXP|4aZMB|5LIT|67DMG|7aBPWR|8aDUR|9RCR
8	11231 64613	   	224.46	DCR|3VULN|2DMG|1AART|2DUR|2ZMB	17aVULN|2AART|3LEGI|4aZMB|57LIT|67DMG|7aBPWR|8aDUR|9RCR
9	15123 24111	 * 	223.89	DCR|1SPLARM|2AART|2DMG|1VULN|1ASPD|1SELL	1VULN|25DMG|3ASPD|4SELL|67AART|8LWND|9RCR|aSPLARM
10	65123 24211	 * 	223.89	DCR|1SPLARM|2AART|2DMG|1VULN|1ASPD|1SELL	1FEWX|25DMG|3ASPD|4SELL|67AART|8VULN|9RCR|aSPLARM
11	15123 34323	 * 	223.74	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6BEXP|79CDMG|8RCR|9BPWR|aSPLREG
12	15123 14323	 * 	223.64	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6DUST|79CDMG|8RCR|9BPWR|aSPLREG
13	12511 61216	 * 	221.12	DCR|3VULN|2DMG|1AART|1ASPD	19aVULN|2aCANARM|3ASPD|4RMIN|5LWND|6AART|7RCR|8aDMG|aBPWR
14	53342 63233	 * 	220.97	ACR|4VULN|3DMG|1AART|1DUR	1RCR|237aVULN|47aDMG|57LIT|6AART|7aBPWR|8DUR|9aAELBLL
15	15121 51611	   	218.70	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18VULN|28DMG|3ASPD|4SELL|5ERES|6RCR|78DUR|8BPWR|9AART|aRMIN
16	15121 51612	   	218.60	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18VULN|28DMG|3ASPD|4SELL|5ERES|6RCR|78DUR|8BPWR|9AART|aLEGI
17	15121 51613	   	218.60	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18VULN|28DMG|3ASPD|4SELL|5aERES|6RCR|78DUR|8BPWR|9AART
18	53341 25311	 * 	218.22	ACR|3VULN|1MDPS|1AART|1DMG|1NUKE|1CDMG	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9MDPS|aBELT
19	53341 25312	   	218.22	ACR|3VULN|1MDPS|1AART|1DMG|1NUKE|1CDMG|1ZMB	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9MDPS|aZMB
20	53341 25313	   	218.22	ACR|3VULN|1MDPS|1AART|1DMG|1NUKE|1CDMG	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9MDPS|aBEXP
21	15123 34322	 * 	218.10	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6BEXP|79CDMG|8RCR|9BPWR|aRCVC
22	15123 14322	 * 	218.00	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6DUST|79CDMG|8RCR|9BPWR|aRCVC
23	15123 34321	 * 	216.80	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6BEXP|79CDMG|8RCR|9BPWR|aLHND
24	15123 34326	 * 	216.80	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6aBEXP|79CDMG|8RCR|9BPWR
25	15123 14321	 * 	216.70	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6DUST|79CDMG|8RCR|9BPWR|aLHND
26	15123 14326	 * 	216.70	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	19VULN|259DMG|3ASPD|4SELL|6DUST|79CDMG|8RCR|9BPWR|aBEXP
27	15332 45311	   	216.58	DCR|3VULN|1SPLARM|1AART|1DMG|1NUKE|1DUR|1SELL	156VULN|2DMG|3SELL|4DUR|7AART|8NUKE|9RCR|aSPLARM
28	11332 32534	 * 	215.30	DCR|3VULN|2AART|1DMG|2ZMB	178VULN|2aAART|358BEXP|48ZMB|6RCR|8BPWR|9DMG
29	53341 24321	 * 	215.27	ACR|4VULN|3DMG|1CDMG|1ZMB	1RCR|235aVULN|49aDMG|6CDMG|7ZMB|8aLIT|aBPWR
30	11223 22233	   	214.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9RPLT|aASPD
31	11513 32413	 * 	214.74	DCR|3VULN|2AART|2DMG	169VULN|27AART|3RCVC|4FEWX|59DMG|89LIT|9BPWR|aRCR
32	11533 36212	 * 	214.56	DCR|2MDPS|2VULN|1AART|1DMG|1NUKE|1DUR	16VULN|2AART|3RCVC|4DMG|5DUR|79MDPS|8RCR|aNUKE
33	11331 64312	 * 	214.32	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	17VULN|2AART|37BEXP|4ZMB|5LIT|67DMG|7BPWR|8DUR|9RCR|aCDMG
34	11231 64612	   	214.22	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	17VULN|2AART|3LEGI|4ZMB|57LIT|67DMG|7BPWR|8DUR|9RCR|aCDMG
35	15121 51632	 * 	213.64	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR|1SELL	18VULN|28DMG|3ASPD|4SELL|5ERES|6RCR|78DUR|8BPWR|9DUST|aMDPS
36	11346 22523	 * 	213.62	DCR|3VULN|3DMG|1MDPS|1AART	178VULN|2AART|37BEXP|4MDPS|5RCVC|679DMG|7BPWR|aRCR
37	11223 22211	   	213.60	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9MDPS|aFEWX
38	11223 22212	   	213.60	DCR|3VULN|2DMG|1MDPS|1AART|2DUR	17aVULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9MDPS
39	11223 22213	   	213.60	DCR|2VULN|1MDPS|2DMG|1AART|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9MDPS|aCGEN
40	11223 22215	   	213.60	DCR|3DMG|2VULN|1MDPS|1AART|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67aDMG|7BPWR|8RCR|9MDPS
41	11223 22216	   	213.60	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	17VULN|2AART|3LEGI|4aLWND|57DUR|67DMG|7BPWR|8RCR|9MDPS
42	11353 22211	   	213.60	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9MDPS|aFEWX
43	11353 22212	   	213.60	DCR|3VULN|2DMG|1MDPS|1AART|2DUR	17aVULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9MDPS
44	11353 22213	   	213.60	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9MDPS|aCGEN
45	11353 22215	   	213.60	DCR|3DMG|2VULN|1MDPS|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67aDMG|7BPWR|8RCR|9MDPS
46	11353 22216	   	213.60	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9MDPS|aLWND
47	15331 22542	 * 	213.49	DCR|2VULN|2DMG|3ZMB|1AART|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5FEWX|6AART|78aZMB|8BPWR|9RCR
48	15123 24213	 * 	213.12	DCR|2VULN|2AART|2DMG|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|67AART|9FEWX|aRCR
49	15123 24224	 * 	213.12	DCR|2VULN|2AART|2DMG|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|67AART|9AELBLL|aRCR
50	15123 24233	 * 	213.12	DCR|2VULN|2AART|2DMG|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|67AART|9BEXP|aRCR
51	14812 71141	 * 	213.11	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|1DUR	19VULN|2MBVNT|3MDPS|49DMG|5AART|69CDMG|7LEGI|8RCR|9BPWR|aDUR
52	53341 22113	 * 	213.06	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|2359VULN|49DMG|6CDMG|7FEWX|89LIT|9BPWR|aAART
53	53343 14113	   	213.06	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|2369VULN|49DMG|5BEXP|7CDMG|89LIT|9BPWR|aAART
54	53341 34113	   	212.96	ACR|4VULN|2DMG|1AART|1CDMG	1RCR|2359VULN|49DMG|6DUST|7CDMG|89LIT|9BPWR|aAART
55	15452 11313	   	212.91	DCR|3VULN|3DMG|1AART|1AAC	18aVULN|28aDMG|3LIT|4AART|5AAC|6DUST|78aFEWX|8aBPWR|9RCR
56	11223 22235	   	212.71	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9RPLT
57	11223 22265	   	212.71	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9BELT
58	11353 22235	   	212.71	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9RPLT
59	11353 22265	   	212.71	DCR|3VULN|2DMG|1AART|2DUR	17aVULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9BELT
60	15123 14313	 * 	212.24	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1SELL	19VULN|25DMG|3ASPD|4SELL|6DUST|7CDMG|8RCR|aMDPS
61	14367 21211	 * 	212.13	DCR|3VULN|1SPLARM|1AART|2CDMG	138VULN|2MBVNT|45CDMG|6AART|7LHND|9RCR|aSPLARM
62	14367 24111	   	212.13	DCR|3VULN|1SPLARM|1AART|2CDMG	137VULN|2MBVNT|45CDMG|6AART|8LWND|9RCR|aSPLARM
63	14367 24411	   	212.13	DCR|3VULN|1SPLARM|1AART|2CDMG	137VULN|2MBVNT|45CDMG|6AART|8LHND|9RCR|aSPLARM
64	15611 25311	 * 	211.97	ACR|2VULN|2DMG|1MDPS|1AART|1NUKE|1CDMG	15VULN|23DMG|4RCR|6CDMG|7AART|8NUKE|9MDPS|aBELT
65	15611 25312	   	211.97	ACR|2VULN|2DMG|1MDPS|1AART|1NUKE|1CDMG|1ZMB	15VULN|23DMG|4RCR|6CDMG|7AART|8NUKE|9MDPS|aZMB
66	15611 25313	   	211.97	ACR|2VULN|2DMG|1MDPS|1AART|1NUKE|1CDMG	15VULN|23DMG|4RCR|6CDMG|7AART|8NUKE|9MDPS|aBEXP
67	14383 48142	   	211.74	DCR|3VULN|1AART|1ASPD|1NUKE|1DUR	136VULN|2MBVNT|4LWND|5DUR|7RCR|8ASPD|9AART|aNUKE
68	53154 32322	 * 	211.60	ACR|4VULN|2DMG|1ASPD|3DUR	1RCR|2679VULN|3DUST|489DUR|59DMG|9BPWR|aASPD
69	11334 32525	 * 	211.57	DCR|3VULN|3ZMB|1AART|1DMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9DUST|aDMG
70	11334 32536	   	211.57	DCR|3VULN|3ZMB|1AART|1DMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MBVNT|aDMG
71	11334 35123	 * 	211.43	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3BEXP|45aZMB|6RCR|7LHND|8CGEN|9aDMG|aBPWR
72	11334 35323	   	211.43	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3BEXP|45aZMB|6RCR|7LHND|8MLV|9aDMG|aBPWR
73	11334 36223	   	211.43	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3BEXP|45aZMB|6RCR|7CGEN|8LHND|9aDMG|aBPWR
74	11613 32413	   	211.33	DCR|3VULN|2AART|2DMG	169VULN|27AART|3DMSP|4FEWX|59DMG|89LIT|9BPWR|aRCR
75	11134 33123	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LHND|45aZMB|6RCR|7DUST|8CGEN|9aDMG|aBPWR
76	11134 33323	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LHND|45aZMB|6RCR|7DUST|8MLV|9aDMG|aBPWR
77	11234 32123	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LEGI|45aZMB|6RCR|7LHND|8CGEN|9aDMG|aBPWR
78	11234 32323	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LEGI|45aZMB|6RCR|7LHND|8MLV|9aDMG|aBPWR
79	11234 36223	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LEGI|45aZMB|6RCR|7CGEN|8LHND|9aDMG|aBPWR
