0	Index      	 *	Score 	Summary	Detail	
1	14225 33382	 * 	281.19	DCR|DCR|2VULN|2CDMG|1MLV	1RMIN|23CDMG|4DUST|5MBVNT|68VULN|7MLV|9aRCR
2	21121 16222	 * 	274.62	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1LWND|2BELT|3DMG|4AART|5CDMG|6MBVNT|7ASPD|8VULN|9aRCR
3	14115 13382	   	272.07	DCR|DCR|2VULN|2CDMG	1RMIN|24CDMG|3CGEN|5MBVNT|68VULN|7DUR|9aRCR
4	13113 46132	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RMIN|29DUST|3RPLT|49VULN|5TLV|6LHND|7aRCR|89DUR|9BPWR
5	64233 13622	 * 	266.03	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|59FEWX|6VULN|7DUR|8aRCR
6	64233 13632	   	266.03	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|5FEWX|6VULN|7DUR|8aRCR|9RCVC
7	13351 33662	 * 	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1RMIN|2DUST|3AAC|4NUKE|5CDMG|6VULN|79MLV|8aRCR
8	14115 11382	   	263.66	DCR|DCR|2VULN|2CDMG	1RMIN|24CDMG|3CGEN|5MBVNT|68VULN|7DUST|9aRCR
9	14225 34382	   	263.56	DCR|DCR|2VULN|2CDMG	1RMIN|23CDMG|4DUST|5MBVNT|68VULN|7AME|9aRCR
10	12145 21152	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1RMIN|2ERES|3AART|4ASPD|5VULN|6aRCR|7DMG|8LIT|9BELT
11	21121 12222	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LWND|2BELT|3DMG|4AART|5CDMG|6MBVNT|7AAC|8VULN|9aRCR
12	64233 43222	   	257.72	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|59FEWX|6aRCR|7VULN|8LWND
13	64233 43232	   	257.72	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|5FEWX|6aRCR|7VULN|8LWND|9RCVC
14	64233 43122	   	257.62	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|59FEWX|6aRCR|7VULN|8DUST
15	64233 43132	   	257.62	DCR|DCR|1VULN|1DMG|2CDMG	1AAC|23CDMG|4DMG|5FEWX|6aRCR|7VULN|8DUST|9RCVC
16	36414 22332	 * 	254.57	DCR|3DMG|3MLV|1VULN|2DUR|1RPLT	17DUR|2NUKE|367MLV|4RPLT|567DMG|67BPWR|8VULN|9DMSP|aRCR
17	11313 34632	   	253.56	DCR|DCR|2VULN|1RPLT	1RMIN|2LEGI|39TLV|4RPLT|5DUST|69VULN|79LHND|8aRCR|9BPWR
18	13113 46232	   	253.56	DCR|DCR|2VULN|1RPLT	1RMIN|29DUST|3RPLT|49VULN|5TLV|6LHND|7aRCR|89BEXP|9BPWR
19	15113 52612	   	253.56	DCR|DCR|2VULN|1RPLT	1RMIN|2LHND|3RPLT|46VULN|579CGEN|8aRCR
20	15113 36612	   	253.46	DCR|DCR|2VULN|1RPLT	1RMIN|2LHND|3RPLT|47VULN|59CGEN|6AELOIC|8aRCR
21	14346 21333	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1RMIN|2CDMG|3TBNT|4DMSP|5DLOT|67RCR|8DMG|9LIT|aVULN
