0	Index      	 *	Score 	Summary	Detail	
1	36221 11316	 * 	273.76	DCR|DCR|2DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6aDMG|79RCR|8CDMG
2	32211 15166	 * 	269.70	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2DUR|3RCVC|4LHND|5AART|6aRCR|7ASPD|8TBNT|9VULN
3	32311 15166	   	269.70	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2DUR|3TLV|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
4	32311 15536	   	269.70	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2DUR|3TLV|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
5	32111 15416	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2DUR|3ERES|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
6	32111 15536	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2DUR|3ERES|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
7	11255 23326	 * 	267.03	ACR|DCR|2VULN|2DMG|1AART	1BEXP|26VULN|3aRCR|46DMG|5AART|6BPWR|7DUST|8BBNT|9CGEN
8	11255 23336	   	267.03	ACR|DCR|2VULN|2DMG|1AART	1BEXP|26VULN|3aRCR|46DMG|5AART|6BPWR|7DUST|8BBNT|9TLV
9	11562 32532	 * 	266.49	DCR|DCR|2VULN|1AART	1BEXP|2aVULN|3DUR|4AART|5MBVNT|6CGEN|78RCR|9FEWX
10	11562 32542	   	266.49	DCR|DCR|2VULN|1AART	1BEXP|2aVULN|3DUR|4AART|5MBVNT|6CGEN|78RCR|9LHND
11	31211 15166	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3RCVC|4LHND|5AART|6aRCR|7ASPD|8TBNT|9VULN
12	31311 15166	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3TLV|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
13	31311 15536	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3TLV|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
14	31111 15416	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3ERES|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
15	31111 15536	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3ERES|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
