0	Index      	 *	Score 	Summary	Detail	
1	43332 31155	 * 	195.68	ACR|4VULN|1AART|2ZMB|2ASPD|2DUR	156aVULN|2RPLT|36ASPD|4RCR|6aBPWR|7AART|8aDUR|9aZMB
2	43332 31332	 * 	194.87	ACR|5VULN|1AART|2ASPD|1CDMG	1569aVULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG
3	43334 21332	   	194.87	ACR|5VULN|1AART|2ASPD|1CDMG	1569aVULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG
4	43332 31312	 * 	193.49	ACR|4VULN|2AART|2ASPD|1CDMG	156aVULN|2RPLT|36ASPD|4RCR|6BPWR|79AART|8CDMG
5	43334 21312	   	193.49	ACR|4VULN|2AART|2ASPD|1CDMG	156aVULN|2RPLT|35ASPD|4RCR|5BPWR|79AART|8CDMG
6	61425 11232	 * 	189.01	DCR|3VULN|2DMG|1AART|1DUR	1LHND|235VULN|4AART|6RCR|7LIT|8aDMG|9DUR
7	43332 21155	   	188.96	ACR|4VULN|1AART|2ZMB|2DUR|1ASPD	156aVULN|2RPLT|3ASPD|4RCR|7AART|8aDUR|9aZMB|aBPWR
8	43332 31331	 * 	188.35	ACR|4VULN|1AART|2CDMG|2ASPD	1569VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8aCDMG
9	43332 31333	 * 	188.35	ACR|4VULN|1AART|3ASPD|1CDMG	1569VULN|2RPLT|36aASPD|4RCR|6BPWR|7AART|8CDMG
10	43334 21331	   	188.35	ACR|4VULN|1AART|2CDMG|2ASPD	1569VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8aCDMG
11	43334 21333	   	188.35	ACR|4VULN|1AART|3ASPD|1CDMG	1569VULN|2RPLT|35aASPD|4RCR|5BPWR|7AART|8CDMG
12	43332 21332	   	188.15	ACR|5VULN|1AART|1CDMG|1ASPD	1569aVULN|2RPLT|3ASPD|4RCR|7AART|8CDMG
13	46214 44332	 * 	187.68	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	149VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|aDMG
14	46214 44354	   	187.68	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	14aVULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|9DMG
15	43334 32334	 * 	187.03	ACR|5VULN|1AART|3ASPD	1569aVULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART
16	43334 31334	   	186.93	ACR|5VULN|1AART|3ASPD	1569aVULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART
17	43332 21312	   	186.77	ACR|4VULN|2AART|1CDMG|1ASPD	156aVULN|2RPLT|3ASPD|4RCR|79AART|8CDMG
18	43332 31326	   	185.88	ACR|3VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	156VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|9DUR|aZMB
19	43334 21326	   	185.88	ACR|3VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	156VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|9DUR|aZMB
20	43332 31311	 * 	185.70	ACR|3VULN|2AART|2CDMG|2ASPD	156VULN|2RPLT|36ASPD|4RCR|6BPWR|79AART|8aCDMG
21	43332 31313	 * 	185.70	ACR|3VULN|2AART|3ASPD|1CDMG	156VULN|2RPLT|36aASPD|4RCR|6BPWR|79AART|8CDMG
22	43334 21311	   	185.70	ACR|3VULN|2AART|2CDMG|2ASPD	156VULN|2RPLT|35ASPD|4RCR|5BPWR|79AART|8aCDMG
23	43334 21313	   	185.70	ACR|3VULN|2AART|3ASPD|1CDMG	156VULN|2RPLT|35aASPD|4RCR|5BPWR|79AART|8CDMG
24	46214 44353	   	183.03	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	14VULN|2MBVNT|3ASPD|58CDMG|6AART|7RCR|9DMG|aZMB
25	51425 11212	   	182.07	DCR|3VULN|2DMG|1AART	1LWND|235VULN|4AART|6RCR|7LIT|8aDMG|9LHND
26	41425 11212	   	182.07	DCR|3VULN|2DMG|1AART	125VULN|3LWND|4AART|6RCR|7LIT|8aDMG|9LHND
27	43332 31335	   	182.04	ACR|4VULN|1AART|2ASPD|1CDMG	1569VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|aLHND
28	43334 21335	   	182.04	ACR|4VULN|1AART|2ASPD|1CDMG	1569VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|aLHND
29	46142 31453	 * 	182.04	DCR|4VULN|1AART|1DMG|2ZMB	1568VULN|2MBVNT|3RPLT|46ZMB|6BPWR|7AART|9DMG|aRCR
30	41335 11212	   	181.97	DCR|3VULN|2DMG|1AART	125VULN|3DUST|4AART|6RCR|7LIT|8aDMG|9LHND
31	41335 11252	   	181.97	DCR|3VULN|2DMG|1AART	125VULN|3DUST|4AART|6RCR|7LIT|8aDMG|9FEWX
32	42425 11212	   	181.97	DCR|3VULN|2DMG|1AART	135VULN|2LEGI|4AART|6RCR|7LIT|8aDMG|9LHND
33	51425 11232	   	181.97	DCR|3VULN|2DMG|1AART	1LWND|235VULN|4AART|6RCR|7LIT|8aDMG|9DUST
34	41425 11232	   	181.97	DCR|3VULN|2DMG|1AART	125VULN|3LWND|4AART|6RCR|7LIT|8aDMG|9DUST
35	43332 21333	   	181.94	ACR|4VULN|1AART|2ASPD|1CDMG	1569VULN|2RPLT|3aASPD|4RCR|7AART|8CDMG
36	43332 31336	   	181.94	ACR|4VULN|1AART|2ASPD|1CDMG	1569VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|aDUST
37	43334 21336	   	181.94	ACR|4VULN|1AART|2ASPD|1CDMG	1569VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|aDUST
38	42425 11232	   	181.87	DCR|3VULN|2DMG|1AART	135VULN|2LEGI|4AART|6RCR|7LIT|8aDMG|9DUST
39	43332 31334	   	181.79	ACR|4VULN|1AART|2ASPD|1CDMG|1SELL	1569VULN|2RPLT|36ASPD|4RCR|6BPWR|7AART|8CDMG|aSELL
40	43334 21334	   	181.79	ACR|4VULN|1AART|2ASPD|1CDMG|1SELL	1569VULN|2RPLT|35ASPD|4RCR|5BPWR|7AART|8CDMG|aSELL
41	43332 21331	   	181.64	ACR|4VULN|1AART|2CDMG|1ASPD	1569VULN|2RPLT|3ASPD|4RCR|7AART|8aCDMG
42	43334 32336	   	181.14	ACR|4VULN|1AART|3ASPD|1DUR	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|aDUR
43	43334 31336	   	181.04	ACR|4VULN|1AART|3ASPD|1DUR	1569VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|aDUR
44	43334 32314	   	180.69	ACR|3VULN|1AART|3ASPD|1CDMG|1DUR	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7MLV|8AART|9CDMG|aDUR
45	43334 31314	   	180.59	ACR|3VULN|1AART|3ASPD|1CDMG|1DUR	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7ERES|8AART|9CDMG|aDUR
46	43334 35123	 * 	179.56	ACR|3VULN|1AART|3ASPD|1DMG	156VULN|2RPLT|356ASPD|4RCR|56BPWR|7LWND|8FEWX|9AART|aDMG
47	43332 31315	   	179.38	ACR|3VULN|2AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|79AART|8CDMG|aLHND
48	43334 21315	   	179.38	ACR|3VULN|2AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|79AART|8CDMG|aLHND
49	43332 21313	   	179.28	ACR|3VULN|2AART|2ASPD|1CDMG	156VULN|2RPLT|3aASPD|4RCR|79AART|8CDMG
50	43332 31316	   	179.28	ACR|3VULN|2AART|2ASPD|1CDMG	156VULN|2RPLT|36ASPD|4RCR|6BPWR|79AART|8CDMG|aDUST
51	43334 21316	   	179.28	ACR|3VULN|2AART|2ASPD|1CDMG	156VULN|2RPLT|35ASPD|4RCR|5BPWR|79AART|8CDMG|aDUST
52	43332 21326	   	179.17	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	156VULN|2RPLT|3ASPD|4RCR|7AART|8CDMG|9DUR|aZMB
53	43332 31314	   	179.14	ACR|3VULN|2AART|2ASPD|1CDMG|1SELL	156VULN|2RPLT|36ASPD|4RCR|6BPWR|79AART|8CDMG|aSELL
54	43334 21314	   	179.14	ACR|3VULN|2AART|2ASPD|1CDMG|1SELL	156VULN|2RPLT|35ASPD|4RCR|5BPWR|79AART|8CDMG|aSELL
55	43332 21311	   	178.99	ACR|3VULN|2AART|2CDMG|1ASPD	156VULN|2RPLT|3ASPD|4RCR|79AART|8aCDMG
56	43125 21332	   	178.72	ACR|5VULN|1AART|1CDMG	1369aVULN|2RPLT|4ERES|5RCR|7AART|8CDMG
57	43125 31332	   	178.72	ACR|5VULN|1AART|1CDMG	1369aVULN|2RPLT|46ERES|5RCR|6BPWR|7AART|8CDMG
58	43425 21332	   	178.72	ACR|5VULN|1AART|1CDMG	1369aVULN|2RPLT|3BPWR|4ERES|5RCR|7AART|8CDMG
59	43425 31332	   	178.72	ACR|5VULN|1AART|1CDMG	1369aVULN|2RPLT|36BPWR|46ERES|5RCR|7AART|8CDMG
60	41335 11216	   	178.48	DCR|4VULN|1AART|1DMG	125aVULN|3DUST|4AART|6RCR|7LIT|8DMG|9LHND
61	61425 11221	   	178.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1LHND|235VULN|4AART|6RCR|7LIT|8DMG|9ASPD|aDUR
62	41231 34443	   	178.11	DCR|3VULN|2DMG|1AART|1DUR	123VULN|4BEXP|5MBVNT|6DUR|78DMG|9RCR|aAART
63	41253 11443	   	178.11	DCR|3VULN|2DMG|1AART|1DUR	123VULN|48DMG|5BEXP|6DUR|7MBVNT|9RCR|aAART
64	41261 44443	   	178.11	DCR|3VULN|2DMG|1AART|1DUR	123VULN|4DUR|5MBVNT|6BEXP|78DMG|9RCR|aAART
65	46142 21453	   	178.08	DCR|4VULN|1AART|1DMG|1ZMB	1568VULN|2MBVNT|3RPLT|4ZMB|7AART|9DMG|aRCR
66	61425 11223	 * 	178.03	DCR|3VULN|1AART|1DMG|2ASPD	1LHND|235VULN|4AART|6RCR|7LIT|8DMG|9aASPD
