0	Index      	 *	Score 	Summary	Detail	
1	22653 53211	 * 	192.27	DCR|3DMG|2VULN|1AART|1ZMB	148DUST|2ERES|38aDMG|5AART|6RCR|78VULN|8BPWR|9ZMB
2	22653 53212	 * 	192.27	DCR|3VULN|2DMG|1AART|1ZMB	148DUST|2ERES|38DMG|5AART|6RCR|78aVULN|8BPWR|9ZMB
3	22653 53213	 * 	188.06	DCR|2AART|2VULN|2DMG|1ZMB	148DUST|2ERES|38DMG|5aAART|6RCR|78VULN|8BPWR|9ZMB
4	32633 53252	   	181.47	DCR|3VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|789VULN|8BPWR|aCGEN
5	32633 53231	   	181.37	DCR|3DMG|2VULN|1AART	18BEXP|249ERES|38aDMG|5AART|6RCR|78VULN|8BPWR
6	32633 53251	   	181.37	DCR|3VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|789VULN|8BPWR|aDUST
7	32633 53253	   	181.37	DCR|3VULN|2DMG|1AART	18BEXP|24ERES|38DMG|5AART|6RCR|789VULN|8BPWR|aMBVNT
8	22633 53252	   	181.27	DCR|3VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|789VULN|8BPWR|aCGEN
9	22653 53221	   	181.27	DCR|3DMG|2VULN|1AART	148DUST|2ERES|38aDMG|5AART|6RCR|78VULN|8BPWR|9RMIN
10	22653 53222	   	181.27	DCR|3VULN|2DMG|1AART	148DUST|2ERES|38DMG|5AART|6RCR|78aVULN|8BPWR|9RMIN
11	22633 53231	   	181.17	DCR|3DMG|2VULN|1AART	18DUST|249ERES|38aDMG|5AART|6RCR|78VULN|8BPWR
12	22633 53253	   	181.17	DCR|3VULN|2DMG|1AART	18DUST|24ERES|38DMG|5AART|6RCR|789VULN|8BPWR|aMBVNT
13	46232 32153	 * 	179.38	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1RCVC|2DMG|39CDMG|4DUR|567VULN|8AART|aRCR
14	46232 32143	   	178.36	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2DMG|3CDMG|49DUR|567VULN|8AART|aRCR
