0	Index      	 *	Score 	Summary	Detail	
1	62321 21615	 * 	220.53	ACR|5VULN|2AART|1DMG|1CDMG	1RCR|23458VULN|69AART|7DMG|aCDMG
2	62321 21624	   	220.08	ACR|5VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|23458VULN|6AART|7DMG|9CDMG|aZMB
3	62251 33532	 * 	217.93	ACR|4VULN|3ZMB|1AART|3CDMG	1RCR|279aVULN|3RMIN|479ZMB|5AART|679CDMG|79BPWR|8RCVC
4	62321 21626	   	216.02	ACR|5VULN|1AART|1DMG|1CDMG	1RCR|23458VULN|6AART|7DMG|9CDMG|aDUR
5	24313 23435	 * 	215.03	ACR|3VULN|2DMG|1AART|1CDMG|2ASPD	149VULN|29ASPD|3RCR|5LWND|6DUR|7AART|89DMG|9BPWR|aCDMG
6	62321 51513	 * 	214.07	ACR|5VULN|3DMG|1ZMB	1RCR|2345aVULN|679DMG|8ZMB
7	62321 21141	 * 	213.02	ACR|5VULN|2DMG|1AART	1RCR|2345aVULN|6AART|79DMG|8RPLT
8	62321 21424	   	212.77	ACR|5VULN|2DMG|1AART|1SELL	1RCR|2345aVULN|6AART|7aDMG|8SELL|9aERES|aBPWR
9	62132 36231	 * 	212.69	ACR|4VULN|2DMG|2CDMG|1ZMB	1RCR|247aVULN|3aCDMG|5ASPD|6ZMB|8aDMG|9BELT|aBPWR
10	62333 41223	 * 	212.39	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|238VULN|4RPLT|58ZMB|68DMG|7RCVC|8BPWR|9CDMG|aAART
11	62313 13538	 * 	212.24	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|239VULN|4ZMB|59LWND|6MBVNT|7AART|89aDMG|9BPWR
12	62315 14112	   	210.98	ACR|3VULN|2DMG|1AART|2ZMB|2DUR	1RCR|239VULN|49ZMB|5CGEN|68DMG|79DUR|9BPWR|aAART
13	62142 23135	 * 	209.95	ACR|3VULN|3DMG|3ASPD|1CDMG	1RCR|27aVULN|3CDMG|479ASPD|57aDMG|6DLOT|7aBPWR|8aLIT
14	62142 23531	   	209.95	ACR|3VULN|3DMG|3ASPD|1CDMG	1RCR|279VULN|3CDMG|479ASPD|579DMG|6DLOT|79BPWR|8RCVC|aCGEN
15	62142 23532	   	209.95	ACR|3VULN|3DMG|3ASPD|1CDMG	1RCR|279VULN|3CDMG|479ASPD|579DMG|6DLOT|79BPWR|8RCVC|aFEWX
16	62142 23533	   	209.71	ACR|3VULN|3DMG|3ASPD|1CDMG|1SELL	1RCR|279VULN|3CDMG|479ASPD|579DMG|6DLOT|79BPWR|8RCVC|aSELL
17	62321 21621	   	209.08	ACR|5VULN|1AART|1DMG|1CDMG	1RCR|23458VULN|6AART|7DMG|9CDMG|aMLV
18	62321 21622	   	209.08	ACR|5VULN|1AART|1DMG|1CDMG	1RCR|23458VULN|6AART|7DMG|9CDMG|aLHND
19	62321 21623	   	209.08	ACR|5VULN|1AART|1DMG|1CDMG	1RCR|23458VULN|6AART|7DMG|9CDMG|aLWND
20	62321 21625	   	209.08	ACR|5VULN|1AART|1DMG|1CDMG	1RCR|23458VULN|6AART|7DMG|9CDMG|aLIT
21	62321 51523	   	208.79	ACR|4VULN|2DMG|1AART|1ZMB	1RCR|2345VULN|67DMG|8ZMB|9LHND|aAART
22	61142 33623	   	208.36	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2DUR|3CDMG|4ASPD|5aDMG|68VULN|7AART|9ZMB
23	62321 14226	 * 	207.33	ACR|5VULN|2DMG|2CDMG|1SELL	1RCR|2345aVULN|6LWND|7SELL|8aDMG|9aCDMG|aBPWR
24	61312 36141	   	207.28	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|2DUR|38aVULN|49DMG|5AART|6RCVC|7CDMG
25	62321 21133	   	207.25	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2345VULN|6AART|7DMG|8RPLT|9CDMG|aZMB
26	62321 21453	   	206.88	ACR|4VULN|2DMG|1AART|1SELL	1RCR|2345VULN|6AART|79DMG|8SELL|aDUR
27	62321 21612	   	206.88	ACR|5VULN|2AART|1DMG	1RCR|23458VULN|69AART|7DMG|aCGEN
