0	Index      	 *	Score 	Summary	Detail	
1	23276 13336	 * 	188.31	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7aDMG
2	33442 24322	 * 	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7DUR|9aDMG
3	33445 22322	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7LHND|9aDMG
4	33413 34322	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RMIN|2RCR|38VULN|4ZMB|5LWND|6AART|7DUR|9aDMG
5	23234 16722	 * 	184.10	DCR|3DMG|2VULN|1AART|2DUR	18DUR|2MBVNT|38VULN|4TLV|5AART|6FEWX|789DMG|8BPWR|aRCR
6	23234 56722	   	184.10	DCR|3DMG|2VULN|1AART|2DUR	18DUR|2MBVNT|38VULN|4TLV|5AART|6LWND|789DMG|8BPWR|aRCR
7	23276 13362	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4RPLT|5AART|6RCR|79DMG|aZMB
8	23276 13332	   	181.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7DMG|aZMB
9	33443 13315	 * 	181.03	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RMIN|2RCR|3VULN|45AART|6DUR|7RPLT|8ZMB|9aDMG
10	33443 35122	 * 	180.68	ACR|2AART|2VULN|2DMG	1RMIN|2RCR|37VULN|45AART|6MLV|8LIT|9aDMG
11	23276 13318	 * 	180.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|38VULN|4RPLT|5aAART|6RCR|7DMG|9CDMG
12	22344 35213	 * 	179.89	DCR|2DMG|1AART|1VULN|2CDMG|3DUR|1SELL	156DUR|2SELL|36DMG|4AART|6BPWR|7aCDMG|8RCR|9VULN
13	22335 35213	 * 	179.29	DCR|2DMG|1AART|1VULN|2CDMG|3DUR|1SELL	146DUR|2SELL|36DMG|5AART|6BPWR|7aCDMG|8RCR|9VULN
14	33413 32222	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|38VULN|4ZMB|5LWND|6AART|7LHND|9aDMG
15	33413 33322	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|38VULN|4ZMB|5LWND|6AART|7BEXP|9aDMG
16	23327 33816	 * 	178.37	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	14DUR|2MBVNT|3RCR|57DMG|6CDMG|8VULN|9ASPD|aAART
17	33411 12562	 * 	177.85	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1RMIN|2RCR|37VULN|47ZMB|59DMSP|67ASPD|7BPWR|8AART|aDMG
18	33411 12522	   	177.75	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1RMIN|2RCR|37VULN|47ZMB|5DMSP|67ASPD|7BPWR|8AART|9ERES|aDMG
19	33414 12522	   	177.75	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	15RMIN|2RCR|37VULN|47ZMB|67ASPD|7BPWR|8AART|9ERES|aDMG
20	23327 33842	 * 	177.74	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	14DUR|2MBVNT|3RCR|57DMG|69CDMG|8VULN|aAART
21	23276 13832	   	177.52	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|39VULN|4RPLT|58AART|6RCR|7DMG|aZMB
22	33215 51351	 * 	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RMIN|2RCR|3FEWX|4ZMB|5BELT|6AART|789VULN|aDMG
23	33215 53533	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RMIN|2RCR|3FEWX|4ZMB|5BELT|6AART|7DMG|89aVULN
24	33315 51351	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RMIN|2RCR|3BEXP|4ZMB|5BELT|6AART|789VULN|aDMG
25	33315 53533	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RMIN|2RCR|3BEXP|4ZMB|5BELT|6AART|7DMG|89aVULN
26	33445 21122	 * 	176.43	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7ASPD|9aCDMG
27	33445 21132	   	176.43	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7ASPD|9DUST|aDMG
28	33442 35322	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6DUR|79DMG|aMLV
29	33441 34322	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5CGEN|6BEXP|7DUR|9aDMG
30	33441 42222	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5CGEN|6DUR|7LHND|9aDMG
31	33441 43322	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5CGEN|6DUR|7BEXP|9aDMG
32	33442 35312	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6DUR|7aDMG|9ERES
33	33442 35321	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6DUR|79DMG|aLEGI
34	33442 35323	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6DUR|79DMG|aERES
35	33442 36222	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6DUR|7TLV|9aDMG
36	23342 64353	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2MBVNT|3RCR|478FEWX|57aVULN|6AART|7BPWR|9DMG
37	22322 41123	 * 	175.61	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	1DUR|2SELL|3aDMG|479VULN|5CGEN|6RCR|8CDMG
38	33442 21124	 * 	174.62	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1RMIN|2RCR|38VULN|4aAART|5LHND|6ZMB|7ASPD|9CDMG
39	33412 62531	 * 	174.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2RCR|3aVULN|4ZMB|5LIT|6AIRHEA|7AART|8DMG|9CDMG
40	23276 13283	   	174.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2MBVNT|3aVULN|4RPLT|5AART|6RCR|7DMG|8CDMG|9aLIT|aBPWR
41	23342 68831	   	174.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2MBVNT|3RCR|49FEWX|5VULN|6AART|7CDMG|89DMG|9BPWR|aBEXP
42	23342 68832	   	174.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2MBVNT|3RCR|49FEWX|5VULN|6AART|7CDMG|89DMG|9BPWR|aRPLT
43	23342 68834	   	174.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2MBVNT|3RCR|49FEWX|5VULN|6AART|7CDMG|89DMG|9BPWR|aLIT
44	33313 51251	 * 	174.02	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1RMIN|2RCR|3BEXP|4ZMB|5ASPD|6aDMG|78VULN|9CDMG
45	23276 13315	   	174.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2MBVNT|38VULN|4RPLT|5AART|6RCR|7DMG|9CDMG
46	23342 68833	   	173.93	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2MBVNT|3RCR|49FEWX|5VULN|6AART|7CDMG|89DMG|9BPWR|aDUST
47	33411 13532	   	173.80	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1RMIN|2RCR|37VULN|4ZMB|5DMSP|69ASPD|8AART|aDMG
