0	Index      	 *	Score 	Summary	Detail	
1	14258 47444	 * 	199.42	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|28DUST|38aVULN|4AART|5CDMG|6ZMB|78DMG|8BPWR|9RCR
2	11516 23424	 * 	189.22	DCR|3VULN|3DMG|1AART	1MBVNT|28aDMG|3NUKE|478VULN|5RMIN|6AART|8BPWR|9RCR
3	62532 31226	 * 	188.11	DCR|3VULN|2AART|2DMG	12AART|3aDMG|47aVULN|5MLV|6LIT|8aTLV|9RCR|aBPWR
4	14258 47442	   	183.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|28DUST|38VULN|4AART|5CDMG|6ZMB|78DMG|8BPWR|9RCR|aRCVC
5	14258 47443	   	183.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|28DUST|38VULN|4AART|5CDMG|6ZMB|78DMG|8BPWR|9RCR|aERES
6	14258 47441	   	183.52	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1MBVNT|28DUST|38VULN|4AART|5CDMG|6ZMB|78DMG|8BPWR|9RCR|aSELL
7	64531 21222	 * 	183.13	ACR|4VULN|1AART|2ZMB|2DUR	1AART|268aVULN|38DUR|4RPLT|5RCR|78ZMB|8BPWR|9DUST
8	41115 11131	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24aVULN|3DUR|5AART|6LWND|7RCR|8DMG|9CDMG
9	41315 11131	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23aVULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG
10	41515 11131	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23aVULN|4DUR|5AART|6LWND|7RCR|8DMG|9CDMG
11	41115 41131	   	181.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|24aVULN|3DUR|5AART|6DUST|7RCR|8DMG|9CDMG
12	41315 41131	   	181.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23aVULN|3BPWR|4DUR|5AART|6DUST|7RCR|8DMG|9CDMG
13	14218 34545	   	181.27	DCR|3DMG|2VULN|1AART	1MBVNT|29DUST|39VULN|4LSRHEA|5AART|6RCR|7BEXP|89aDMG|9BPWR
14	11223 83762	 * 	180.88	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|29DMG|39DUST|4BEXP|5AART|6aVULN|79CDMG|8RCR|9BPWR
15	14218 31411	 * 	180.47	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|2aDUST|3aVULN|4LSRHEA|5AART|6RCR|78DMG|9aZMB|aBPWR
16	64324 13131	 * 	180.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2aVULN|3RMIN|46ASPD|5RCR|7DUR|8DMG|9CDMG
17	63432 33521	 * 	179.32	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	1AART|2CGEN|3DUR|467VULN|59CDMG|8RCR|aZMB
18	17112 43461	 * 	178.64	ACR|4VULN|2DMG|1CDMG	1MBVNT|29LHND|3CDMG|4DLOT|5RCR|69DMG|789aVULN|9BPWR
19	61512 22742	   	178.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1AART|29BEXP|39DUR|4ZMB|5CDMG|69aVULN|7MBVNT|8RCR|9BPWR
20	64111 43123	 * 	178.08	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	17AART|28VULN|3LSRREG|4ERES|5RCR|6CDMG|9ASPD|aDMG
21	64211 43123	   	178.08	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	17AART|28VULN|3BASHEA|4ERES|5RCR|6CDMG|9ASPD|aDMG
22	64312 15231	 * 	178.08	DCR|4VULN|1AART|2CDMG	1AART|289aVULN|3RMIN|4LWND|58CDMG|68BEXP|7RCR|8BPWR
23	64312 25231	   	177.98	DCR|4VULN|1AART|2CDMG	1AART|289aVULN|3RMIN|48LWND|58CDMG|6LEGI|7RCR|8BPWR
24	18512 61124	   	177.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|2TLV|36DMG|46VULN|5RPLT|6BPWR|7AART|8CDMG|9RCR|aASPD
25	12127 11322	   	177.88	DCR|2DMG|2VULN|1AART|2CDMG	1MBVNT|2BELT|3aCDMG|4LEGI|5ERES|6AART|7aVULN|8aDMG|9RCR|aBPWR
26	12127 15322	   	177.88	DCR|2DMG|2VULN|1AART|2CDMG	1MBVNT|2BELT|3aCDMG|4LEGI|5ERES|6AART|7aDMG|8aVULN|9RCR|aBPWR
27	14218 31245	   	177.85	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DUST|39VULN|4LSRHEA|5AART|6RCR|7aDMG|89DUR|9BPWR
28	64362 11131	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1AART|24aVULN|3RMIN|5MLV|6LWND|7RCR|8DMG|9CDMG
29	64363 11131	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|24aVULN|3RMIN|5TLV|6LWND|7RCR|8DMG|9CDMG
30	41115 11123	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|24VULN|3DUR|5AART|6LWND|7RCR|8DMG|9ZMB|aCDMG
31	41315 11123	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6LWND|7RCR|8DMG|9ZMB|aCDMG
32	41515 11123	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|23VULN|4DUR|5AART|6LWND|7RCR|8DMG|9ZMB|aCDMG
33	41115 41123	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|24VULN|3DUR|5AART|6DUST|7RCR|8DMG|9ZMB|aCDMG
34	41315 41123	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|23VULN|3BPWR|4DUR|5AART|6DUST|7RCR|8DMG|9ZMB|aCDMG
35	11446 64347	   	177.16	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|29DMG|3LWND|4RMIN|5AART|69FEWX|7RCR|89VULN|9BPWR|aCDMG
36	63132 33626	   	176.87	DCR|3VULN|2DMG|1AART	1AART|23aCGEN|3aBPWR|48aVULN|5MLV|6LIT|7aDMG|9RCR
37	63232 33626	   	176.87	DCR|3VULN|2DMG|1AART	1AART|23aCGEN|48aVULN|5MLV|6LIT|7aDMG|9RCR|aBPWR
