0	Index      	 *	Score 	Summary	Detail	
1	25432 32231	 * 	234.36	ACR|3VULN|3DMG|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58aVULN|68CDMG|7AART|8BPWR|9CGEN
2	25432 32215	   	224.83	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD|1DUR	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aDUR
3	25432 32212	   	223.30	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD|1AAC	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aAAC
4	25432 32242	   	223.20	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD|1AAC	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9DUST|aAAC
5	25335 11513	 * 	222.75	DCR|3VULN|3DMG|1ASPD|2ZMB	128DMG|3LHND|48aVULN|5ASPD|6BEXP|78ZMB|8BPWR|9RCR
6	25115 23412	 * 	218.91	DCR|4VULN|2DMG|1AART	12DMG|3AART|4DMSP|589aVULN|6RCR|7LIT
7	25133 11534	 * 	218.67	DCR|1SPLARM|3DMG|1AART|1ASPD|1ZMB|1DUR	125DMG|3AART|45FEWX|5BPWR|6DUR|7ZMB|8SPLARM|9RCR|aASPD
8	25432 32211	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aBELT
9	25432 32213	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aMLV
10	25432 32214	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aCGEN
11	25432 32221	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aRCVC
12	25432 32222	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aFEWX
13	25432 32223	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aBEXP
14	25432 32225	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aAELBLL
15	25432 32232	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aRCVC
16	25432 32233	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aMLV
17	25432 32235	   	216.53	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aDMSP
18	25432 32216	   	216.43	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aMBVNT
19	25432 32226	   	216.43	ACR|3DMG|2VULN|2CDMG|1AART|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aCANARM
20	25432 32236	   	216.43	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD|1MSE	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aMSE
21	25432 32241	   	216.43	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9DUST|aBELT
22	25432 32243	   	216.43	ACR|3DMG|2VULN|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9DUST|aMLV
23	22265 33331	 * 	213.89	DCR|3DMG|2VULN|2ASPD|1DUR	146DMG|278BEXP|38VULN|58ASPD|8BPWR|9RCR|aDUR
24	25462 33331	   	213.89	DCR|3DMG|2VULN|2ASPD|1DUR	126DMG|38ASPD|478BEXP|58VULN|8BPWR|9RCR|aDUR
25	21133 22562	 * 	213.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	15DMG|2DMSP|3AART|45FEWX|5BPWR|6RCR|7aVULN|8ASPD|9DUR
26	25111 22562	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|3AART|4DMSP|5FEWX|6RCR|7aVULN|8ASPD|9DUR
27	22263 31342	 * 	212.81	DCR|3VULN|3DMG|1AART	148DMG|258BEXP|368VULN|7MBVNT|8BPWR|9RCR|aAART
28	21133 22563	 * 	212.14	DCR|2DMG|1MDPS|1AART|1VULN|1ASPD|1DUR	15DMG|2DMSP|3AART|45FEWX|5BPWR|6RCR|7VULN|8ASPD|9DUR|aMDPS
29	25111 22563	   	212.04	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	12DMG|3AART|4DMSP|5FEWX|6RCR|7VULN|8ASPD|9DUR|aMDPS
30	21432 32223	   	211.21	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1ZMB	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9BEXP|aZMB
31	21432 32241	   	211.21	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1ZMB	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9RCVC|aZMB
32	21432 32255	   	211.21	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1ZMB	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aZMB
33	21432 32263	   	211.21	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1ZMB	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aZMB
34	21432 32233	   	211.11	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1ZMB	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9DUST|aZMB
35	25131 16241	 * 	210.45	DCR|1SPLARM|2DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	12DMG|3AART|4FEWX|5MDPS|6DUR|7SPLARM|8VULN|9CDMG|aRCR
36	25133 31534	   	210.36	DCR|1SPLARM|3DMG|1AART|1ASPD|1ZMB	125DMG|3AART|45FEWX|5BPWR|6LHND|7ZMB|8SPLARM|9RCR|aASPD
37	22265 35222	 * 	209.89	DCR|3DMG|2VULN|1MDPS|1ASPD	146DMG|2BEXP|37VULN|5ASPD|8MBVNT|9RCR|aMDPS
38	25412 11314	   	209.80	DCR|3DMG|2VULN|1ASPD|1ZMB|1DUR	128DMG|3ASPD|4DUR|5aVULN|6BEXP|7ZMB|9RCR
39	25412 15312	 * 	209.76	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	127DMG|37ASPD|4DUR|5VULN|67BEXP|7BPWR|8MLV|9RCR|aCDMG
40	21432 32216	   	209.18	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aDUR
41	21432 32221	   	209.18	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9BEXP|aDUR
42	21432 32243	   	209.18	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9RCVC|aDUR
43	21432 32253	   	209.18	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9LIT|aDUR
44	21432 32261	   	209.18	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9FEWX|aDUR
45	22243 25214	   	209.10	DCR|3VULN|3DMG|1ASPD|1AAC	167DMG|2BEXP|37aVULN|4AAC|57FEWX|7BPWR|8ASPD|9RCR
46	21432 32231	   	209.08	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9DUST|aDUR
47	22241 25214	   	208.90	DCR|3VULN|3DMG|1ASPD|1AAC	167DMG|2BEXP|37aVULN|4AAC|57DUST|7BPWR|8ASPD|9RCR
48	25432 15223	 * 	208.89	ACR|3DMG|2VULN|1MDPS|2ASPD|1AAC	127DMG|38ASPD|4RCR|57VULN|67BEXP|7BPWR|9AAC|aMDPS
49	25432 25223	   	208.69	ACR|3DMG|2VULN|1MDPS|2ASPD|1AAC	127DMG|38ASPD|4RCR|57VULN|67DUST|7BPWR|9AAC|aMDPS
50	25432 32412	   	208.33	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|1AAC|1DUR	12DMG|3ASPD|4RCR|59VULN|6CDMG|7AART|8DUR|aAAC
51	22263 31345	 * 	207.86	DCR|3VULN|3DMG|1MDPS	148DMG|258BEXP|368VULN|7MBVNT|8BPWR|9RCR|aMDPS
