0	Index      	 *	Score 	Summary	Detail	
1	52212 32634	 * 	228.67	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8RCR|aMDPS
2	52236 33161	 * 	225.41	ACR|4VULN|2AART|1ASPD|1DMG|1CDMG	1ASPD|267aVULN|38AART|4RCR|5DMG|9CDMG
3	52231 53613	 * 	225.40	ACR|3VULN|2DMG|1MDPS|2ASPD|1AART|1CDMG	1aASPD|28aVULN|3AART|4RCR|5FEWX|6MDPS|7CDMG|9aDMG|aBPWR
4	52261 22121	 * 	223.72	DCR|4VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2478VULN|3AART|5ZMB|6DMG|9LIT|aRCR
5	52236 33111	 * 	222.46	ACR|3VULN|1SPLARM|2AART|1ASPD|1DMG	1ASPD|267VULN|38AART|4RCR|5DMG|9CGEN|aSPLARM
6	52236 33121	   	222.46	ACR|3VULN|1SPLARM|2AART|1ASPD|1DMG	1ASPD|267VULN|38AART|4RCR|5DMG|9AME|aSPLARM
7	26136 41821	 * 	221.60	DCR|4VULN|2AART|1ASPD|1DUR	1DUR|259aVULN|37AART|4MBVNT|6ASPD|8RCR
8	52212 32621	   	220.17	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25aVULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB
9	52212 32631	   	220.17	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8RCR|aZMB
10	32261 35621	   	217.86	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1TLV|269aVULN|3AART|4DMG|5DUR|7RCR|8ZMB
11	52236 33633	   	217.55	ACR|3VULN|2DMG|2ASPD|1AART|1DUR	19ASPD|267VULN|3AART|4RCR|59DMG|89LIT|9BPWR|aDUR
12	16115 33331	   	217.38	DCR|4VULN|1AART|1ASPD|1DMG	1BEXP|267aVULN|3AART|4AME|5DMG|8RCR|9ASPD
13	52266 11123	 * 	216.04	DCR|5VULN|1AART|1ASPD	1ASPD|2468aVULN|3AART|5RCVC|7RCR|9LIT
14	52266 11113	   	215.33	DCR|4VULN|1AART|1ASPD|2DUR	1ASPD|2468VULN|3AART|5RCVC|7RCR|9aDUR
15	13313 66224	 * 	213.76	DCR|3VULN|3CDMG|1ASPD|3DUR|1ZMB	1BEXP|289DUR|3ASPD|4ZMB|589VULN|6AME|789CDMG|89BPWR|aRCR
16	16126 33331	   	213.39	DCR|4VULN|2AART|1ASPD	1BEXP|267aVULN|35AART|4FEWX|8RCR|9ASPD
17	52265 22121	   	213.38	DCR|4VULN|1AART|1ASPD|1DMG	1ASPD|2478VULN|3AART|5RMIN|6DMG|9LIT|aRCR
18	52212 35521	 * 	213.36	DCR|2VULN|2AART|2DMG|1ASPD	1ASPD|25VULN|39AART|4LIT|67DMG|8MLV|aRCR
19	16156 23233	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1BEXP|28VULN|3aAART|4ZMB|5DMG|6LWND|7RCR|9ASPD
20	52236 32621	   	211.96	ACR|3VULN|2AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|26aVULN|39AART|4RCR|5DMG|7ZMB|8DUR
21	52236 33153	   	211.96	ACR|3VULN|2AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|267VULN|38AART|4RCR|5DMG|9ZMB|aDUR
22	26137 32821	   	211.87	DCR|4VULN|2AART|1ZMB|1DUR	1DUR|269aVULN|35AART|4MBVNT|7ZMB|8RCR
23	52212 34621	   	211.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|25aVULN|3AART|4LIT|6DMG|7DUST|8RCR|9ZMB
24	52212 34631	   	211.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|259VULN|3AART|4LIT|6DMG|7DUST|8RCR|aZMB
25	52226 22121	 * 	211.75	DCR|3VULN|2ASPD|1AART|1DMG	15ASPD|278VULN|3AART|4AME|6DMG|9LIT|aRCR
26	26136 23235	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|258VULN|3AART|4MBVNT|6LWND|7RCR|9ASPD|aDMG
27	52246 22121	   	211.65	DCR|3VULN|2ASPD|1AART|1DMG	15ASPD|278VULN|3AART|4TLV|6DMG|9LIT|aRCR
28	16125 33331	   	211.58	DCR|5VULN|1AART|1ASPD	1BEXP|2567aVULN|3AART|4FEWX|8RCR|9ASPD
29	31563 32125	 * 	211.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	18TLV|2ZMB|38CDMG|4ERES|5AART|6DMG|789VULN|8BPWR|aRCR
30	52264 21441	   	211.19	DCR|4VULN|2AART|1ASPD	1ASPD|248aVULN|37AART|5MBVNT|6DUST|9RCR
31	26136 41823	   	211.00	DCR|3VULN|2AART|1ASPD|2DUR	1aDUR|259VULN|37AART|4MBVNT|6ASPD|8RCR
32	52222 21624	 * 	210.29	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4AME|5CDMG|67SPLARM|7BPWR|8FEWX|9LIT|aRCR
33	52222 21643	   	210.29	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4AME|5CDMG|67SPLARM|7BPWR|8FEWX|9RMIN|aRCR
34	52222 21224	   	210.19	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4AME|5CDMG|67SPLARM|7BPWR|8DUST|9LIT|aRCR
35	52222 21243	   	210.19	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4AME|5CDMG|67SPLARM|7BPWR|8DUST|9RMIN|aRCR
36	32266 43231	   	210.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1TLV|2aVULN|3AART|4DMG|59ASPD|6ZMB|7RCR|8AME
37	52242 21224	   	210.09	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4TLV|5CDMG|67SPLARM|7BPWR|8DUST|9LIT|aRCR
38	52242 21243	   	210.09	DCR|2SPLARM|2VULN|2ASPD|1AART|1CDMG	17ASPD|27VULN|3AART|4TLV|5CDMG|67SPLARM|7BPWR|8DUST|9RMIN|aRCR
39	52266 11111	   	210.08	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|2468VULN|3AART|5RCVC|7RCR|9DUR|aVENFST
40	52266 11112	   	210.08	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|2468VULN|3AART|5RCVC|7RCR|9DUR|aFEWX
41	26136 32821	   	210.05	DCR|5VULN|1AART|1ZMB|1DUR	1DUR|2569aVULN|3AART|4MBVNT|7ZMB|8RCR
42	52226 22521	 * 	210.00	DCR|2VULN|2AART|2ASPD|1DMG	15ASPD|27VULN|39AART|4AME|6DMG|8LIT|aRCR
43	52226 22621	   	210.00	DCR|2VULN|2AART|2ASPD|1DMG	15ASPD|27VULN|38AART|4AME|6DMG|9LIT|aRCR
44	52212 33521	   	210.00	DCR|2VULN|2AART|2ASPD|1DMG	17ASPD|25VULN|39AART|4LIT|6DMG|8MLV|aRCR
45	52266 11133	   	209.98	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|2468VULN|3AART|5RCVC|7RCR|9DUST|aDUR
46	26137 23235	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|28VULN|35AART|4MBVNT|6LWND|7RCR|9ASPD|aDMG
47	26166 23233	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|1AAC|1DUR	1DUR|28VULN|3aAART|4AAC|5DMG|6LWND|7RCR|9ASPD
48	53262 32353	 * 	209.97	DCR|2VULN|2ASPD|2CDMG|1AART|1ZMB	1aASPD|2LHND|3AART|4aCDMG|5ZMB|6LIT|7MBVNT|8aVULN|9RCR|aBPWR
49	32262 22313	 * 	209.86	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|2DUR	1TLV|2aVULN|3AART|4DMG|5CDMG|6SPLARM|7RCR|89DUR
50	52242 22313	   	209.86	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|2DUR	1ASPD|2aVULN|3AART|4TLV|5CDMG|6SPLARM|7RCR|89DUR
51	16115 33333	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|267VULN|3AART|4AME|5DMG|8RCR|9ASPD|aDUR
52	52212 32632	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8RCR|aBELT
53	52212 32633	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8RCR|aLHND
54	52212 32635	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4aLIT|6DMG|7DUR|8RCR
55	52212 32661	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|25aVULN|3AART|4LIT|6DMG|7DUR|8RCR|9MLV
56	52212 32611	   	209.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|25aVULN|3AART|4LIT|6DMG|7DUR|8RCR|9TLV
57	52236 33162	   	209.56	ACR|3VULN|2AART|1ASPD|1DMG|1CDMG	1ASPD|267VULN|38AART|4RCR|5DMG|9CDMG|aFEWX
58	52263 33351	   	209.55	DCR|4VULN|1AART|1ASPD|1ZMB	1ASPD|2489VULN|3AART|5DUST|6BELT|7RCR|aZMB
59	52236 33163	   	209.46	ACR|3VULN|2AART|1ASPD|1DMG|1CDMG	1ASPD|267VULN|38AART|4RCR|5DMG|9CDMG|aERES
60	52236 33631	   	209.25	ACR|3VULN|2DMG|2ASPD|1AART	19ASPD|267VULN|3AART|4RCR|59DMG|89LIT|9BPWR|aMLV
61	52236 33114	   	209.16	ACR|4VULN|2AART|1ASPD|1DMG	1ASPD|267aVULN|38AART|4RCR|5DMG|9CGEN
62	52236 33124	   	209.16	ACR|4VULN|2AART|1ASPD|1DMG	1ASPD|267aVULN|38AART|4RCR|5DMG|9AME
63	61154 34216	 * 	209.15	DCR|3VULN|1MDPS|1AART|2CDMG|1DMG	1MDPS|27CGEN|3MBVNT|47CDMG|57aVULN|6RCR|7BPWR|8AART|9DMG
64	52236 33632	   	209.15	ACR|3VULN|2DMG|2ASPD|1AART	19ASPD|267VULN|3AART|4RCR|59DMG|89LIT|9BPWR|aMBVNT
65	26136 41741	   	209.00	DCR|3VULN|2AART|1ASPD|2DUR	18DUR|25aVULN|37AART|4MBVNT|6ASPD|9RCR
66	32261 35333	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1TLV|26aVULN|3AART|4DMG|5DUR|7RCR|8MULARM|9CDMG
67	52241 35333	 * 	207.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|26aVULN|3AART|4TLV|5DUR|7RCR|8MULARM|9CDMG
68	52263 33631	   	207.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|249VULN|3AART|5DUST|6BELT|7RCR|8DUR|aCDMG
69	52261 14121	   	207.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|248VULN|3AART|5ZMB|6AELBLL|7DMG|9LIT|aRCR
70	26136 23233	   	207.75	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|258VULN|3aAART|4MBVNT|6LWND|7RCR|9ASPD
71	16152 33331	   	207.65	DCR|4VULN|1AART|1ASPD|1ZMB	1BEXP|267aVULN|3AART|4ZMB|5CGEN|8RCR|9ASPD
72	52212 32241	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|25VULN|3AART|4LIT|6aDMG|7DUR|8RPLT|9RCR
73	32261 35221	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1TLV|269aVULN|3AART|4DMG|5DUR|7RCR|8AME
74	52241 35221	   	207.52	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|269aVULN|3AART|4TLV|5DUR|7RCR|8AME
75	52222 16141	   	207.46	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	18ASPD|28VULN|3AART|4AME|5CDMG|68DUR|7RCVC|8BPWR|9RCR|aFEWX
76	52222 16142	   	207.46	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	18ASPD|28VULN|3AART|4AME|5CDMG|68DUR|7RCVC|8BPWR|9RCR|aMLV
77	52222 16143	   	207.46	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	18ASPD|28VULN|3AART|4AME|5CDMG|68DUR|7RCVC|8BPWR|9RCR|aLHND
78	52213 13243	   	207.44	DCR|3VULN|2ASPD|1AART|2ZMB	1aASPD|28aVULN|3AART|4LIT|5FEWX|6aZMB|7RPLT|9RCR|aBPWR
79	52214 13243	   	207.44	DCR|3VULN|2ASPD|1AART|2ZMB	1aASPD|28aVULN|3AART|4LIT|5LHND|6aZMB|7RPLT|9RCR|aBPWR
80	32261 35623	   	207.25	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1TLV|269VULN|3AART|4DMG|5aDUR|7RCR|8ZMB
81	52212 32243	 * 	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RPLT|9RCR|aCDMG
82	16115 33312	 * 	205.85	DCR|3VULN|2AART|1DMG|1DUR	1BEXP|267VULN|3aAART|4AME|5DMG|8RCR|9DUR
83	16126 33333	   	205.85	DCR|3VULN|2AART|1ASPD|1DUR	1BEXP|267VULN|35AART|4FEWX|8RCR|9ASPD|aDUR
84	52212 32134	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUR|8BEXP|aRCR
85	26136 41822	   	205.75	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|259VULN|37AART|4MBVNT|6ASPD|8RCR|aMLV
86	26136 41831	   	205.75	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|25aVULN|37AART|4MBVNT|6ASPD|8RCR|9DMSP
87	52212 34334	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3AART|4LIT|6DMG|7DUST|8DUR|aRCR
88	52213 13343	   	205.68	DCR|2VULN|2AART|2ASPD|2ZMB	1aASPD|2aVULN|38AART|4LIT|5FEWX|6aZMB|7RPLT|9RCR|aBPWR
89	52214 13343	   	205.68	DCR|2VULN|2AART|2ASPD|2ZMB	1aASPD|2aVULN|38AART|4LIT|5LHND|6aZMB|7RPLT|9RCR|aBPWR
90	26136 41824	   	205.65	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|259VULN|37AART|4MBVNT|6ASPD|8RCR|aDUST
91	16115 33313	   	205.62	DCR|4VULN|1AART|1DMG|1DUR	1BEXP|267aVULN|3AART|4AME|5DMG|8RCR|9DUR
92	16125 33333	   	205.62	DCR|4VULN|1AART|1ASPD|1DUR	1BEXP|2567VULN|3AART|4FEWX|8RCR|9ASPD|aDUR
93	32236 33161	   	205.25	ACR|4VULN|2AART|1DMG|1CDMG	1TLV|267aVULN|38AART|4RCR|5DMG|9CDMG
94	52266 11121	   	205.11	DCR|4VULN|1AART|1ASPD|1AAC	1ASPD|2468VULN|3AART|5RCVC|7RCR|9LIT|aAAC
95	63425 23321	 * 	204.78	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|2ZMB	1MDPS|27ZMB|3BELT|47DMG|5AART|67ASPD|7BPWR|8VULN|9MLV|aRCR
96	52236 34231	   	204.63	ACR|1SPLARM|2VULN|2AART|1ASPD|1DMG	1ASPD|26VULN|39AART|4RCR|5DMG|78CGEN|aSPLARM
97	32262 22322	   	204.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2aVULN|3AART|4DMG|5CDMG|6SPLARM|7RCR|8DUR|9LIT
98	52242 22322	   	204.62	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2aVULN|3AART|4TLV|5CDMG|6SPLARM|7RCR|8DUR|9LIT
99	32262 21126	 * 	204.18	DCR|2SPLARM|2VULN|1AART|1DMG|1CDMG|1DUR	17TLV|27VULN|3AART|4DMG|5CDMG|67SPLARM|7BPWR|8BELT|9DUR|aRCR
100	52261 12225	   	204.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|248VULN|3AART|5ZMB|6AELBLL|7CDMG|9LWND|aRCR
101	52261 12125	   	204.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|249VULN|3AART|5ZMB|6AELBLL|7CDMG|8LWND|aRCR
102	26126 35333	 * 	204.04	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|26aVULN|35AART|4FEWX|7RCR|8SPLJET|9CDMG
103	26136 41247	   	203.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|25VULN|37AART|4MBVNT|6ASPD|8CGEN|9DMG|aRCR
104	52222 22313	 * 	203.84	DCR|1SPLARM|2VULN|1AART|2CDMG|1ASPD	1ASPD|2aVULN|3AART|4AME|58CDMG|6SPLARM|7RCR|9LHND
105	52222 22333	   	203.84	DCR|1SPLARM|2VULN|1AART|2CDMG|1ASPD	1ASPD|2aVULN|3AART|4AME|58CDMG|6SPLARM|7RCR|9LWND
106	52222 22342	   	203.84	DCR|1SPLARM|2VULN|1AART|2CDMG|1ASPD	1ASPD|2aVULN|3AART|4AME|58CDMG|6SPLARM|7RCR|9RMIN
107	26125 35333	 * 	203.81	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|256aVULN|3AART|4FEWX|7RCR|8SPLJET|9CDMG
108	52264 21443	   	203.65	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|248VULN|37AART|5MBVNT|6DUST|9RCR|aDUR
109	52261 42121	   	203.65	DCR|4VULN|1AART|1ASPD|1ZMB	1ASPD|2478VULN|3AART|5ZMB|6RMIN|9LIT|aRCR
110	52261 52121	   	203.65	DCR|4VULN|1AART|1ASPD|1ZMB	1ASPD|2478VULN|3AART|5ZMB|6CGEN|9LIT|aRCR
111	52236 33151	   	203.65	ACR|3VULN|2AART|1ASPD|1DMG|1ZMB	1ASPD|267VULN|38AART|4RCR|5DMG|9ZMB|aVENFST
112	52236 33152	   	203.65	ACR|3VULN|2AART|1ASPD|1DMG|1ZMB	1ASPD|267VULN|38AART|4RCR|5DMG|9ZMB|aFEWX
113	26126 35221	   	203.64	DCR|4VULN|2AART|1DUR	1DUR|269aVULN|35AART|4FEWX|7RCR|8AME
114	52236 32321	   	203.55	ACR|3VULN|2AART|1ASPD|1DMG|1ZMB	1ASPD|26aVULN|39AART|4RCR|5DMG|7ZMB|8DUST
115	16115 35231	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|26aVULN|3AART|48AME|5DMG|7RCR|9ASPD
116	26116 33341	   	203.52	DCR|4VULN|1AART|1DMG|1DUR	1DUR|267aVULN|3AART|4AME|5DMG|8ERES|9RCR
117	52221 33341	   	203.52	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|267aVULN|3AART|4AME|5DUR|8ERES|9RCR
118	16136 23235	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|258VULN|3AART|4MBVNT|6LWND|7RCR|9ASPD|aDMG
119	32261 33341	   	203.42	DCR|4VULN|1AART|1DMG|1DUR	1TLV|267aVULN|3AART|4DMG|5DUR|8ERES|9RCR
120	52241 33341	   	203.42	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|267aVULN|3AART|4TLV|5DUR|8ERES|9RCR
121	52222 15222	 * 	203.15	DCR|1VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	1ASPD|2VULN|3AART|4AME|5CDMG|6DUR|7ZMB|8SPLREG|9RCR|aNUKE
122	32262 15222	 * 	203.05	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1TLV|2VULN|3AART|4DMG|5CDMG|6DUR|7ZMB|8SPLREG|9RCR|aNUKE
123	52242 15222	   	203.05	DCR|1VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	1ASPD|2VULN|3AART|4TLV|5CDMG|6DUR|7ZMB|8SPLREG|9RCR|aNUKE
124	26126 33152	 * 	202.90	DCR|4VULN|3AART|1DUR	1DUR|2679VULN|358AART|4FEWX|aRCR
125	52212 32623	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aFEWX
126	52212 32626	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aCGEN
127	52212 32622	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aERES
128	52212 32624	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aLEGI
129	52212 32625	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9ZMB|aMBVNT
130	52212 32642	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9DUST|aZMB
131	52212 32652	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|25VULN|3AART|4LIT|6DMG|7DUR|8RCR|9MBVNT|aZMB
132	26116 35121	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|26aVULN|3AART|4AME|5DMG|7RCR|8LIT|9ZMB
133	52221 35121	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|26aVULN|3AART|4AME|5DUR|7RCR|8LIT|9ZMB
134	52221 35136	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|269VULN|3AART|4AME|5DUR|7RCR|8LIT|aZMB
135	32261 35121	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|26aVULN|3AART|4DMG|5DUR|7RCR|8LIT|9ZMB
136	32261 35136	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|269VULN|3AART|4DMG|5DUR|7RCR|8LIT|aZMB
137	32261 35622	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|269VULN|3AART|4DMG|5DUR|7RCR|8ZMB|aMLV
138	32261 35631	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|26aVULN|3AART|4DMG|5DUR|7RCR|8ZMB|9DMSP
