0	Index      	 *	Score 	Summary	Detail	
1	15162 21152	 * 	225.55	DCR|5VULN|2DMG|1ASPD	1FEWX|24DMG|34579VULN|4BPWR|6RPLT|8RCR|aASPD
2	34366 42143	 * 	223.27	DCR|3DMG|2VULN|3ZMB|1ASPD	179ZMB|27DUST|379DMG|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aASPD
3	55122 35123	 * 	221.12	DCR|3VULN|3DMG|1AART|1DUR	167DMG|2MLV|37DUST|467VULN|5RPLT|67BPWR|8AART|9RCR|aDUR
4	52363 42311	 * 	220.66	DCR|3DMG|2VULN|1AART|2CDMG	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9RPLT|aAART
5	15162 21126	 * 	215.01	DCR|4VULN|2DMG|1AART	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9LWND|aAART
6	15162 21116	   	214.91	DCR|4VULN|2DMG|1AART	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9DUST|aAART
7	51114 31362	   	212.92	DCR|3VULN|3DMG|2DUR|1ZMB	156DMG|2LHND|38aVULN|45DUR|5BPWR|7ZMB|9RCR
8	55122 35121	   	212.81	DCR|3VULN|3DMG|1AART	167DMG|2MLV|37DUST|467VULN|5RPLT|67BPWR|8AART|9RCR|aCGEN
9	55122 35122	   	212.81	DCR|3VULN|3DMG|1AART	167DMG|2MLV|37DUST|467VULN|5RPLT|67BPWR|8AART|9RCR|aLWND
10	15163 22363	   	210.08	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	1FEWX|24DMG|346VULN|4BPWR|5DUR|7AME|8ASPD|9ZMB|aRCR
11	25332 34362	 * 	209.00	DCR|3VULN|3DMG|1ASPD	1BEXP|2LWND|346DMG|58aVULN|7ASPD|9RCR
12	51232 34362	   	209.00	DCR|3VULN|3DMG|1ASPD	146DMG|2LHND|3BEXP|58aVULN|7ASPD|9RCR
13	15162 21161	   	208.03	DCR|4VULN|2DMG|1AART|1AAC	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9AAC|aAART
14	13355 32322	 * 	207.73	DCR|3VULN|2ASPD|1DMG|2DUR	1FEWX|29DUR|3DMG|4LHND|59ASPD|6LWND|7RCR|89aVULN|9BPWR
15	15163 31361	   	207.67	DCR|3VULN|3DMG|1ZMB|1DUR	1aFEWX|246DMG|348VULN|4BPWR|5DUR|7ZMB|9RCR
16	15163 31362	   	207.67	DCR|3VULN|3DMG|1ZMB|1DUR	1FEWX|246DMG|348VULN|4BPWR|5DUR|7ZMB|9RCR|aCGEN
17	15163 31363	   	207.67	DCR|3VULN|3DMG|1ZMB|1DUR	1FEWX|246DMG|348VULN|4BPWR|5DUR|7ZMB|9RCR|aMULFIG
18	13355 22322	   	207.63	DCR|3VULN|2ASPD|1DMG|2DUR	1FEWX|29DUR|3DMG|4LHND|59ASPD|6DUST|7RCR|89aVULN|9BPWR
19	54133 31362	   	207.47	DCR|3VULN|3DMG|1ZMB|1DUR	146DMG|2DUST|38aVULN|5DUR|7ZMB|9RCR
20	54132 21136	   	207.26	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2DUST|357VULN|6RPLT|8RCR|9DUR|aAART
21	15163 31336	   	205.67	DCR|3VULN|3DMG|1ZMB|1DUR	1FEWX|246DMG|348VULN|4BPWR|5DUR|7ZMB|9LHND|aRCR
22	15163 21316	   	205.67	DCR|3VULN|3DMG|1ZMB|1DUR	1FEWX|248DMG|346VULN|4BPWR|5DUR|7BEXP|9ZMB|aRCR
23	31321 41345	 * 	205.58	DCR|3VULN|1MDPS|2DMG|1ASPD|1ZMB	1ZMB|2LHND|3aDMG|469VULN|5MDPS|7ASPD|8RCR
24	15163 23316	   	205.57	DCR|3VULN|3DMG|1ZMB|1DUR	1FEWX|248DMG|346VULN|4BPWR|5DUR|7DUST|9ZMB|aRCR
25	15162 21133	   	205.49	DCR|5VULN|2DMG	1FEWX|24DMG|3457aVULN|4BPWR|6RPLT|8RCR|9LIT
26	15162 21151	   	205.49	DCR|5VULN|2DMG	1FEWX|24DMG|34579VULN|4BPWR|6RPLT|8RCR|aCGEN
27	15162 21153	   	205.49	DCR|5VULN|2DMG	1FEWX|24DMG|34579VULN|4BPWR|6RPLT|8RCR|aLIT
28	34131 31345	   	205.48	DCR|3VULN|2DMG|1MDPS|1ASPD|1ZMB	1ZMB|2DUST|39aVULN|46DMG|5MDPS|7ASPD|8RCR
29	34321 31345	   	205.48	DCR|3VULN|2DMG|1MDPS|1ASPD|1ZMB	1ZMB|2DUST|36DMG|49aVULN|5MDPS|7ASPD|8RCR
30	25332 33256	 * 	204.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1BEXP|2LWND|346DMG|5VULN|7DUR|8RCR|9ASPD|aAART
31	51232 33256	   	204.87	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	146DMG|2LHND|3BEXP|5VULN|7DUR|8RCR|9ASPD|aAART
32	31321 41323	 * 	204.24	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3DMG|46aVULN|5MDPS|7ASPD|8RCR|9CDMG
33	31321 56323	   	204.24	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3DMG|47aVULN|5MDPS|6ASPD|8RCR|9CDMG
34	34131 41323	   	204.14	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|36aVULN|4DMG|5MDPS|7ASPD|8RCR|9CDMG
35	34131 56323	   	204.14	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|37aVULN|4DMG|5MDPS|6ASPD|8RCR|9CDMG
36	34321 41323	   	204.14	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3DMG|46aVULN|5MDPS|7ASPD|8RCR|9CDMG
37	34321 56323	   	204.14	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3DMG|47aVULN|5MDPS|6ASPD|8RCR|9CDMG
38	32341 31246	 * 	204.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2BELT|3DMG|4AART|5CDMG|689VULN|7CGEN|aRCR
39	31321 31323	 * 	203.99	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2LHND|36DMG|4aVULN|5MDPS|7ASPD|8RCR|9CDMG
40	34131 31323	   	203.89	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2DUST|3aVULN|46DMG|5MDPS|7ASPD|8RCR|9CDMG
41	34321 31323	   	203.89	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2DUST|36DMG|4aVULN|5MDPS|7ASPD|8RCR|9CDMG
42	32314 16411	   	203.77	DCR|2DMG|3ZMB|1VULN|1ASPD|2DUR	158ZMB|2BELT|38DMG|4RCVC|6RCR|78DUR|8BPWR|9ASPD|aVULN
43	31321 31345	 * 	203.40	DCR|3DMG|2VULN|1MDPS|1ASPD|1ZMB	1ZMB|2LHND|36aDMG|49VULN|5MDPS|7ASPD|8RCR
44	34366 42141	   	203.20	DCR|3DMG|2VULN|3ZMB	179ZMB|27DUST|379DMG|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aLHND
45	34366 42142	   	203.20	DCR|3DMG|2VULN|3ZMB	179ZMB|27DUST|379DMG|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aMULFIG
46	34366 42144	   	203.20	DCR|3DMG|2VULN|3ZMB	179ZMB|27DUST|379DMG|4RPLT|5MBVNT|6RCR|79BPWR|89VULN|aCGEN
47	25315 22322	   	202.38	DCR|3VULN|2ASPD|1DMG|1DUR	1BEXP|29LWND|3DMG|4DUR|59ASPD|6DUST|7RCR|89aVULN|9BPWR
48	51215 22322	   	202.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|29LHND|3BEXP|4DUR|59ASPD|6DUST|7RCR|89aVULN|9BPWR
49	15162 21163	 * 	202.21	DCR|4VULN|1SPLARM|2DMG|1AAC	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9AAC|aSPLARM
50	15162 32363	   	201.78	DCR|3VULN|2DMG|1ASPD|1ZMB	1FEWX|24DMG|345VULN|4BPWR|6LWND|7AME|8ASPD|9ZMB|aRCR
51	15163 33136	   	201.76	DCR|3VULN|3DMG|2DUR	1FEWX|246DMG|349VULN|4BPWR|57DUR|8RCVC|aRCR
52	15134 33252	   	201.47	DCR|3DMG|2VULN|1ASPD|1DUR	1FEWX|246DMG|3aVULN|5BEXP|7DUR|8RCR|9ASPD
53	25332 33252	   	201.47	DCR|3DMG|2VULN|1ASPD|1DUR	1BEXP|2LWND|346DMG|5aVULN|7DUR|8RCR|9ASPD
54	51232 33252	   	201.47	DCR|3DMG|2VULN|1ASPD|1DUR	146DMG|2LHND|3BEXP|5aVULN|7DUR|8RCR|9ASPD
55	62321 31345	   	201.27	DCR|3DMG|2VULN|1MDPS|1ASPD|1DUR	1TLV|2DUR|36aDMG|49VULN|5MDPS|7ASPD|8RCR
56	51114 32262	   	200.76	DCR|3DMG|2VULN|1CDMG|2DUR|1SELL	156DMG|2LHND|3aVULN|45DUR|5BPWR|7SELL|8CDMG|9RCR
57	15161 62113	 * 	200.68	DCR|3VULN|3DMG|1MDPS|2DUR	19FEWX|249DMG|348VULN|49BPWR|5LIT|69DUR|7MDPS|aRCR
58	32333 62352	 * 	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2BELT|3DMG|49ASPD|5MBVNT|6aVULN|7CDMG|8RCR
59	31321 54323	 * 	200.63	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3DMG|4aVULN|5MDPS|67ASPD|8RCR|9CDMG
60	15163 33236	   	200.58	DCR|3VULN|3DMG|2DUR	18FEWX|246DMG|349VULN|4BPWR|57DUR|aRCR
61	34131 54323	   	200.53	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3aVULN|4DMG|5MDPS|67ASPD|8RCR|9CDMG
62	34321 54323	   	200.53	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3DMG|4aVULN|5MDPS|67ASPD|8RCR|9CDMG
63	52363 42321	   	200.22	DCR|3DMG|2VULN|2CDMG|1AAC	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9AME|aAAC
64	52363 42331	   	200.22	DCR|3DMG|2VULN|2CDMG|1AAC	136DMG|2BELT|47VULN|57CDMG|7BPWR|8RCR|9CGEN|aAAC
65	15162 21134	   	199.53	DCR|4VULN|2DMG|1DUR	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9LIT|aDUR
66	15162 21141	   	199.53	DCR|4VULN|2DMG|1DUR	1FEWX|24DMG|3457VULN|4BPWR|6RPLT|8RCR|9AME|aDUR
67	15133 34361	   	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1aFEWX|246DMG|38VULN|5DUR|7ASPD|9RCR
68	15133 34362	   	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1FEWX|246DMG|38VULN|5DUR|7ASPD|9RCR|aCGEN
69	15133 34363	   	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1FEWX|246DMG|38VULN|5DUR|7ASPD|9RCR|aMULFIG
70	25332 31362	   	199.27	DCR|3VULN|3DMG|1ZMB	1BEXP|2LWND|346DMG|58aVULN|7ZMB|9RCR
71	51232 31362	   	199.27	DCR|3VULN|3DMG|1ZMB	146DMG|2LHND|3BEXP|58aVULN|7ZMB|9RCR
72	15162 23126	   	199.16	DCR|3VULN|2DMG|1AART	1FEWX|24DMG|345VULN|4BPWR|67RPLT|8RCR|9LWND|aAART
73	15133 31366	   	199.10	DCR|3DMG|2VULN|1MDPS|1ZMB|1DUR	1FEWX|246DMG|38VULN|5DUR|7ZMB|9RCR|aMDPS
74	15132 21126	   	199.06	DCR|3VULN|2DMG|1AART	1FEWX|24DMG|357VULN|6RPLT|8RCR|9LWND|aAART
75	15162 23116	   	199.06	DCR|3VULN|2DMG|1AART	1FEWX|24DMG|345VULN|4BPWR|67RPLT|8RCR|9DUST|aAART
76	54132 21126	   	198.96	DCR|3VULN|2DMG|1AART	14DMG|2DUST|357VULN|6RPLT|8RCR|9LHND|aAART
77	15132 21116	   	198.96	DCR|3VULN|2DMG|1AART	1FEWX|24DMG|357VULN|6RPLT|8RCR|9DUST|aAART
78	15162 21162	   	198.51	DCR|5VULN|2DMG|1AAC	1FEWX|24DMG|3457aVULN|4BPWR|6RPLT|8RCR|9AAC
79	31326 21326	 * 	198.11	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LHND|3DMG|4VULN|5DUR|6DUST|7ASPD|8RCR|9CDMG|aAART
80	34113 21326	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3VULN|4DUR|5DMG|6BEXP|7ASPD|8RCR|9CDMG|aAART
81	34113 31326	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3VULN|4DUR|5DMG|6LWND|7ASPD|8RCR|9CDMG|aAART
82	13665 32322	   	197.90	DCR|3VULN|2ASPD|2DUR|1ZMB	1FEWX|29DUR|3DUST|4ZMB|59ASPD|6LWND|7RCR|89aVULN|9BPWR
83	34366 44411	 * 	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|2DUST|3DMG|4RPLT|5MBVNT|6RCR|7aVULN|8ASPD|9AART
84	62132 53163	   	197.64	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	1TLV|24DUR|345VULN|4BPWR|6ASPD|7DMG|8BEXP|9ZMB|aRCR
85	55331 25223	   	197.58	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1aDMG|2aMLV|3AART|4RPLT|5AAC|6CDMG|7BEXP|8RCR|9aVULN|aBPWR
86	61111 33443	   	197.48	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1TLV|2LEGI|35VULN|45DUR|5BPWR|6DMG|7AART|8RCR|9ASPD|aRCVC
87	15133 34336	   	197.47	DCR|3DMG|2VULN|1ASPD|1DUR	1FEWX|246DMG|38VULN|5DUR|7ASPD|9LHND|aRCR
88	22365 22322	   	197.44	DCR|3VULN|2DMG|1MDPS|1ASPD	19BEXP|2MDPS|3DMSP|49DMG|5ASPD|6LWND|7RCR|89aVULN|9BPWR
89	22365 62322	   	197.44	DCR|3VULN|2DMG|1MDPS|1ASPD	19BEXP|2MDPS|3DMSP|49DMG|5ASPD|6LHND|7RCR|89aVULN|9BPWR
90	15162 31316	   	197.37	DCR|3VULN|3DMG|1ZMB	1FEWX|248DMG|345VULN|4BPWR|6LWND|7BEXP|9ZMB|aRCR
91	15162 33316	   	197.27	DCR|3VULN|3DMG|1ZMB	1FEWX|248DMG|345VULN|4BPWR|6LWND|7DUST|9ZMB|aRCR
