0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21465 32133	7	 * 	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	1aLIT|2LWND|3aDMG|46DUR|58TLV|7RCR|9aVULN|aBPWR
2	21121 63543	1	 * 	259.31	DCR|4VULN|3DUR|3LIT	156LIT|278DUR|379LHND|4567VULN|567BPWR|aRCR
3	21465 32233	7	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aLIT|2LWND|3aDMG|46DUR|5TLV|7RCR|8RCVC|9aVULN|aBPWR
4	15436 31333	1	 * 	258.75	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	17ASPD|237DMG|4ZMB|5TLV|67VULN|7BPWR|8RCR|9CDMG|aFEWX
5	15436 31331	1	   	258.65	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	17ASPD|237DMG|4ZMB|5TLV|67VULN|7BPWR|8RCR|9CDMG|aTBNT
6	21462 32363	7	 * 	258.55	DCR|3VULN|3DMG|1DUR|2LIT	1aLIT|2LWND|35aDMG|4DUR|6CGEN|7RCR|89aVULN|aBPWR
7	53313 31525	3	 * 	257.86	DCR|3VULN|2TLV|1DMG|2CDMG|1AART|1SELL	1SELL|27TLV|3DMG|4AART|57CDMG|678VULN|7BPWR|9LHND|aRCR
8	53313 31443	3	 * 	257.73	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR|1AART|1SELL	1SELL|27TLV|3DMG|4AART|57CDMG|67VULN|7BPWR|8DUR|9ASPD|aRCR
9	21123 12441	1	 * 	257.60	DCR|4VULN|1TLV|3LIT|1DUR	167LIT|2DUR|37LHND|467aVULN|5RPLT|67BPWR|8RCR|9TLV
10	21323 12441	1	   	257.60	DCR|4VULN|1TLV|3LIT|1DUR	167LIT|2DUR|37BEXP|467aVULN|5RPLT|67BPWR|8RCR|9TLV
11	21623 12441	1	   	257.60	DCR|4VULN|1TLV|3LIT|1DUR	167LIT|2DUR|37FEWX|467aVULN|5RPLT|67BPWR|8RCR|9TLV
