0	Index      	 *	Score 	Summary	Detail	
1	15213 16216	 * 	206.37	DCR|3VULN|3DMG|1AART|3DUR	18aVULN|278DMG|3LWND|4aLIT|5AART|68aDUR|8aBPWR|9RCR
2	13423 13123	 * 	205.09	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7ERES|8LIT|9aZMB|aBPWR
3	13423 14523	   	205.09	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	14aVULN|2CDMG|3aDMG|5RCR|6AART|7LIT|8ERES|9aZMB|aBPWR
4	13423 12433	 * 	204.24	ACR|4VULN|2DMG|1AART|1CDMG	147aVULN|2CDMG|3aDMG|5RCR|6AART|8aCANHEL|9RPLT|aBPWR
5	15213 16215	   	202.35	DCR|3VULN|3DMG|1AART|2DUR	18aVULN|278DMG|3LWND|4LIT|5AART|68DUR|8BPWR|9RCR
6	13423 12222	   	201.14	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	147VULN|2CDMG|39DMG|5RCR|6AART|8BELT|aZMB
7	11113 26353	 * 	201.03	DCR|3VULN|2DMG|1AART|2FLTHEA	14aVULN|2AART|3FEWX|5RMIN|6RCVC|7RCR|8aDMG|9aFLTHEA|aBPWR
8	11113 56353	   	201.03	DCR|3VULN|2DMG|1AART|2FLTHEA	14aVULN|2AART|3FEWX|56RMIN|7RCR|8aDMG|9aFLTHEA|aBPWR
9	16313 26353	   	200.43	DCR|3VULN|2DMG|1AART|2FLTHEA	14aVULN|2FEWX|3AART|5RMIN|6RCVC|7RCR|8aDMG|9aFLTHEA|aBPWR
10	13442 33252	   	199.26	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	189VULN|2CDMG|39DMG|4ASPD|5LHND|6RCR|79FEWX|9BPWR|aAART
11	13423 11122	   	197.65	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	149aVULN|2CDMG|3DMG|5RCR|6AART|7ZMB|8LIT
12	13423 12154	   	197.65	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	147aVULN|2CDMG|3DMG|5RCR|6AART|8BEXP|9ZMB
13	13421 12254	 * 	197.23	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	147aVULN|2CDMG|3DMG|5BEXP|6AART|8RCR|9ZMB
14	13423 12332	   	197.08	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	147VULN|2CDMG|39DMG|5RCR|6AART|8CGEN|aDUR
15	11125 26353	   	196.52	DCR|3VULN|3DMG|1AART	159VULN|2AART|3FEWX|49ERES|6RCVC|7RCR|89aDMG|9BPWR
16	11511 11353	 * 	195.82	DCR|3DMG|2VULN|1AART|2ZMB	19VULN|2AART|39ZMB|4ERES|56CGEN|7RCR|89aDMG|9BPWR
17	11511 11354	 * 	195.82	DCR|3VULN|2DMG|1AART|2ZMB	19aVULN|2AART|39ZMB|4ERES|56CGEN|7RCR|89DMG|9BPWR
18	11511 21353	   	195.72	DCR|3DMG|2VULN|1AART|2ZMB	19VULN|2AART|39ZMB|46ERES|5CGEN|7RCR|89aDMG|9BPWR
19	11511 21354	   	195.72	DCR|3VULN|2DMG|1AART|2ZMB	19aVULN|2AART|39ZMB|46ERES|5CGEN|7RCR|89DMG|9BPWR
20	11513 61353	   	195.72	DCR|3DMG|2VULN|1AART|2ZMB	19VULN|2AART|36ZMB|49ERES|5RMIN|7RCR|89aDMG|9BPWR
21	24421 33623	 * 	195.67	DCR|3VULN|2DMG|3CDMG|1AART	1BELT|247VULN|3LHND|578CDMG|67DMG|7BPWR|9AART|aRCR
22	13221 33364	   	195.63	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|29CDMG|3LHND|45MLV|69DMG|7AART|8RCR|9BPWR
23	13224 33364	   	195.63	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|29CDMG|35LHND|4MLV|69DMG|7AART|8RCR|9BPWR
24	13214 33364	   	195.53	DCR|3VULN|2DMG|1AART|2CDMG	19aVULN|29CDMG|35LHND|4TLV|69DMG|7AART|8RCR|9BPWR
25	11111 16354	 * 	195.17	DCR|4VULN|2DMG|1AART	149aVULN|2AART|3FEWX|569CGEN|7RCR|89DMG|9BPWR
26	13423 11441	 * 	195.00	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|68AART|7ZMB|aCGEN
27	13423 11443	   	195.00	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|68AART|7ZMB|aLHND
28	13423 11421	   	194.90	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|68AART|7ZMB|9ERES
29	13423 11431	   	194.90	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	14aVULN|2CDMG|3DMG|5RCR|68AART|7ZMB|9TLV
30	13423 11442	   	194.90	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	149VULN|2CDMG|3DMG|5RCR|68AART|7ZMB|aERES
31	11111 16356	   	194.72	DCR|3VULN|2DMG|1AART|1CDMG	149VULN|2AART|3FEWX|569CGEN|7RCR|89DMG|9BPWR|aCDMG
32	11541 11352	   	194.15	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1ASPD	19VULN|2AART|39ZMB|4ASPD|56CGEN|7RCR|89DMG|9BPWR|aDUR
33	11511 11356	   	193.82	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	19VULN|2AART|39ZMB|4ERES|56CGEN|7RCR|89DMG|9BPWR|aCDMG
