0	Index      	 *	Score 	Summary	Detail	
1	32143 33215	 * 	204.28	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	1LWND|2RCR|3aVULN|459DMG|6AART|7DUR|8CDMG
2	31143 32215	 * 	199.06	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	1LWND|2DUR|3aVULN|459DMG|6AART|7RCR|8CDMG
3	32143 31162	 * 	195.13	ACR|3DMG|2VULN|2AART	1aLWND|2RCR|3aVULN|459DMG|68AART|7aERES|aBPWR
4	31343 46131	 * 	194.03	ACR|3VULN|3DMG|1CDMG|1DUR	17LWND|2DUR|3RCR|457DMG|67aVULN|7BPWR|8RCVC|9CDMG
5	61363 35213	 * 	192.47	DCR|4VULN|2DMG|1AART	1RPLT|2348VULN|5aDMG|6AART|7RCR|9SNIHEL
6	11221 36211	   	192.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2AART|3ZMB|4ERES|59DMG|6RCR|7aVULN|8CDMG
7	21631 36211	   	192.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2AART|3CGEN|4ZMB|59DMG|6RCR|7aVULN|8CDMG
8	21221 36211	   	192.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2AART|3ZMB|4ERES|59DMG|6RCR|7aVULN|8CDMG
9	21261 36214	   	192.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2AART|3ZMB|4TLV|59DMG|6RCR|7aVULN|8CDMG
10	32143 33212	   	191.98	ACR|3DMG|1AART|1VULN|1CDMG|2DUR	1LWND|2RCR|3VULN|459DMG|6AART|7aDUR|8CDMG
11	14231 36211	   	191.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2CGEN|3AART|4ZMB|59DMG|6RCR|7aVULN|8CDMG
12	24231 36211	   	191.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2CGEN|3AART|4ZMB|59DMG|6RCR|7aVULN|8CDMG
13	46231 36211	   	191.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2DUST|3AART|4ZMB|59DMG|6RCR|7aVULN|8CDMG
14	31343 32245	   	191.22	ACR|3DMG|2VULN|1AART|2DUR	1LWND|26DUR|3RCR|456DMG|6BPWR|79VULN|8FEWX|aAART
15	32143 34214	   	190.63	ACR|3DMG|2VULN|1AART|1ASPD	1LWND|2RCR|39VULN|45aDMG|6AART|7ASPD|8LIT
16	32143 34216	 * 	190.63	ACR|3VULN|2DMG|1AART|1ASPD	1LWND|2RCR|39aVULN|45DMG|6AART|7ASPD|8LIT
17	11221 36251	 * 	190.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2AART|3ZMB|4ERES|5DMG|6RCR|79aVULN|8CDMG
18	21631 36251	   	190.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2AART|3CGEN|4ZMB|5DMG|6RCR|79aVULN|8CDMG
19	21221 36251	   	190.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2AART|3ZMB|4ERES|5DMG|6RCR|79aVULN|8CDMG
20	32333 35323	 * 	189.88	ACR|3DMG|2VULN|2ASPD|1ZMB|1DUR	1aLWND|2RCR|3RMIN|46ASPD|56aDMG|6aBPWR|7DUR|8ZMB|9aVULN
21	14231 36251	   	189.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2CGEN|3AART|4ZMB|5DMG|6RCR|79aVULN|8CDMG
22	24231 36251	   	189.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CGEN|3AART|4ZMB|5DMG|6RCR|79aVULN|8CDMG
23	31146 32214	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1LWND|25DUR|3aVULN|49DMG|6AART|7RCR|8CDMG
24	32143 33244	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19LWND|2RCR|3aVULN|45DMG|6AART|7DUR|8CDMG
25	32144 33214	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	15LWND|2RCR|3aVULN|49DMG|6AART|7DUR|8CDMG
26	32146 31532	 * 	188.46	ACR|3DMG|3ZMB|1VULN|2DUR|1ASPD	19aLWND|2RCR|3VULN|49aDMG|57DUR|6ASPD|89aZMB|9aBPWR
27	61363 35231	 * 	187.81	DCR|5VULN|1AART|1DMG	1RPLT|23489VULN|5DMG|6AART|7RCR|aLHND
28	61363 35232	   	187.81	DCR|5VULN|1AART|1DMG	1RPLT|23489VULN|5DMG|6AART|7RCR|aMLV
29	61363 35233	   	187.81	DCR|5VULN|1AART|1DMG	1RPLT|23489VULN|5DMG|6AART|7RCR|aBELT
30	31344 41112	   	187.07	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1LWND|25DUR|3RCR|45DMG|5BPWR|6aVULN|7ZMB|8ERES|9AART
31	31143 32212	   	186.76	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	1LWND|2aDUR|3VULN|459DMG|6AART|7RCR|8CDMG
32	32143 33211	   	186.69	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2RCR|3VULN|459DMG|6AART|7DUR|8CDMG|aMLV
33	32143 33214	   	186.69	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2RCR|3VULN|459DMG|6AART|7DUR|8CDMG|aBEXP
34	32143 33213	   	186.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2RCR|3VULN|459DMG|6AART|7DUR|8CDMG|aERES
35	32143 33216	   	186.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2RCR|3VULN|459DMG|6AART|7DUR|8CDMG|aLEGI
36	32143 34111	   	186.42	ACR|2VULN|2DMG|2AART|1ASPD	1LWND|2RCR|3aVULN|45DMG|68AART|7ASPD|9CGEN
37	32143 34131	   	186.42	ACR|2VULN|2DMG|2AART|1ASPD	1LWND|2RCR|3aVULN|45DMG|68AART|7ASPD|9MLV
38	42132 21534	 * 	185.98	DCR|3VULN|3DMG|2CDMG	135ERES|236DMG|36BPWR|46aVULN|79CDMG|8RCR
39	61363 35112	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|234VULN|59DMG|6AART|7RCR|8DUR|aBELT
40	61363 35111	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|234VULN|59DMG|6AART|7RCR|8DUR|aERES
41	61363 35113	   	185.31	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|234VULN|59DMG|6AART|7RCR|8DUR|aNUKE
42	32143 31612	   	185.29	ACR|3DMG|2VULN|1AART	1aLWND|2RCR|3aVULN|458DMG|6AART|7aERES|9RCVC|aBPWR
43	32142 43153	 * 	185.19	ACR|3DMG|2VULN|2CDMG|1ASPD	17LWND|2RCR|3aVULN|478DMG|5BELT|67CDMG|7BPWR|9ASPD
44	32143 34162	   	184.49	ACR|3DMG|2AART|1VULN|1ASPD	1LWND|2RCR|3VULN|459DMG|68AART|7ASPD|aFEWX
45	32143 34163	   	184.49	ACR|3DMG|2AART|1VULN|1ASPD	1LWND|2RCR|3VULN|459DMG|68AART|7ASPD|aMGNLIT
46	32533 64123	   	184.39	ACR|3DMG|2VULN|1AART	19aLWND|2RCR|39aAIRHEA|4LHND|5AART|68VULN|79aDMG|9aBPWR
47	32143 34161	   	184.39	ACR|3DMG|2AART|1VULN|1ASPD	1LWND|2RCR|3VULN|459DMG|68AART|7ASPD|aLEGI
48	32146 61112	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|2RCR|3aVULN|46DMG|5DUR|7ZMB|8ERES|9AART
49	32143 33615	   	184.04	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2RCR|3VULN|45aDMG|6AART|7DUR|8ZMB|9LIT
50	32143 33624	   	184.04	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2RCR|3VULN|45aDMG|6AART|7DUR|8ZMB|9RPLT
51	32142 43116	 * 	183.86	ACR|3DMG|1AART|1VULN|2CDMG	17LWND|2RCR|3VULN|478DMG|5BELT|67CDMG|7BPWR|9LIT|aAART
52	11216 42216	 * 	183.73	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1BEXP|25AART|3ZMB|4VULN|6LHND|7RCR|8CDMG|9aDMG
53	32143 32214	   	183.69	ACR|3DMG|2VULN|1AART	1LWND|2RCR|39VULN|45aDMG|6AART|7RMIN|8LIT
54	32143 32216	   	183.69	ACR|3VULN|2DMG|1AART	1LWND|2RCR|39aVULN|45DMG|6AART|7RMIN|8LIT
55	32143 36532	   	183.69	ACR|3DMG|2VULN|1AART	189LWND|2RCR|37VULN|45aDMG|6AART
56	11216 62216	   	183.63	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1BEXP|25AART|3ZMB|4VULN|6DUST|7RCR|8CDMG|9aDMG
57	21216 42216	   	183.63	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DUST|25AART|3ZMB|4VULN|6LHND|7RCR|8CDMG|9aDMG
58	32143 31622	   	183.59	ACR|3DMG|2VULN|1AART	1LWND|2RCR|3aVULN|458DMG|6AART|7ERES|9RPLT
59	32143 31652	   	183.59	ACR|3DMG|2VULN|1AART	1aLWND|2RCR|3aVULN|458DMG|6AART|79aERES|aBPWR
60	32143 31214	   	183.59	ACR|3DMG|2VULN|1AART	1LWND|2RCR|39VULN|45aDMG|6AART|7ERES|8LIT
61	32143 31216	   	183.59	ACR|3VULN|2DMG|1AART	1LWND|2RCR|39aVULN|45DMG|6AART|7ERES|8LIT
62	32143 36611	   	183.59	ACR|3VULN|2DMG|1AART	1LWND|2RCR|37aVULN|45DMG|6AART|8TLV|9CGEN
