0	Index      	 *	Score 	Summary	Detail	
1	22631 11414	 * 	183.33	ACR|3VULN|2DMG|1AART|1ASPD	1LWND|278VULN|3ASPD|4RCR|59DMG|6ERES|aAART
2	62112 14523	 * 	181.31	DCR|3DMG|2VULN|1AART|1DUR	1RPLT|24LHND|36VULN|56aDMG|6BPWR|7DUR|8RCR|9AART
3	62122 14523	   	181.31	DCR|3DMG|2VULN|1AART|1DUR	14RPLT|2LHND|36VULN|56aDMG|6BPWR|7DUR|8RCR|9AART
4	22335 11416	 * 	180.41	ACR|5VULN|2DMG	1aLWND|2678aVULN|3MLV|4RCR|5BEXP|9aDMG|aBPWR
5	32335 11416	   	180.41	ACR|5VULN|2DMG	1aMLV|2678aVULN|3LWND|4RCR|5BEXP|9aDMG|aBPWR
6	22333 11416	   	180.31	ACR|5VULN|2DMG	1aLWND|2678aVULN|3MLV|4RCR|5DUST|9aDMG|aBPWR
7	32333 11416	   	180.31	ACR|5VULN|2DMG	1aMLV|2678aVULN|3LWND|4RCR|5DUST|9aDMG|aBPWR
8	31131 41312	 * 	178.14	ACR|3DMG|2VULN|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ZMB
9	32431 41312	   	178.14	ACR|3DMG|2VULN|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ZMB
10	31131 61312	   	178.04	ACR|3DMG|2VULN|1CDMG|1ZMB	18MLV|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ZMB
11	32431 61312	   	178.04	ACR|3DMG|2VULN|1CDMG|1ZMB	18MLV|28VULN|3RCVC|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ZMB
12	41131 41312	   	177.94	ACR|3DMG|2VULN|1CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ZMB
13	42431 41312	   	177.94	ACR|3DMG|2VULN|1CDMG|1ZMB	18ERES|28VULN|3RCVC|4RCR|5CDMG|6CGEN|78aDMG|8BPWR|9ZMB
14	41131 61312	   	177.84	ACR|3DMG|2VULN|1CDMG|1ZMB	18ERES|2RCVC|38VULN|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ZMB
15	42131 41342	 * 	177.84	ACR|3VULN|2DMG|1CDMG|1ZMB	138ERES|289VULN|4RCR|5CDMG|6CGEN|78DMG|8BPWR|aZMB
16	42431 61312	   	177.84	ACR|3DMG|2VULN|1CDMG|1ZMB	18ERES|28VULN|3RCVC|4RCR|5CDMG|6TLV|78aDMG|8BPWR|9ZMB
17	42131 61342	   	177.74	ACR|3VULN|2DMG|1CDMG|1ZMB	138ERES|289VULN|4RCR|5CDMG|6TLV|78DMG|8BPWR|aZMB
18	22631 11413	 * 	175.78	ACR|3VULN|3DMG|1ASPD	1LWND|278VULN|3ASPD|4RCR|59aDMG|6ERES
19	42313 15234	 * 	175.76	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2aVULN|3AART|4RPLT|5CDMG|6BEXP|79DMG|8RCR
20	42311 15234	   	175.66	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2aVULN|3AART|4RPLT|5DUST|6CDMG|79DMG|8RCR
21	11443 24321	 * 	175.62	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	17LSRREG|2DMG|3RMIN|47CDMG|5AART|67VULN|7BPWR|8RCR|9aDUR
22	11446 11322	 * 	175.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1LSRREG|25DMG|3RMIN|45CDMG|5BPWR|6AART|79DUR|8RCR|aVULN
23	64316 32332	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|3FEWX|4aVULN|5CDMG|6RCR|7ZMB|8MLV|9DMG
24	42233 13524	 * 	174.60	ACR|4VULN|1AART|1DMG	1ERES|2689VULN|3FEWX|4RCR|5DUST|7AART|aDMG
25	11353 25331	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1LSRREG|2aDMG|3CDMG|4CGEN|5AART|69VULN|7RCVC|8RCR
26	31133 41416	   	174.52	ACR|4VULN|2DMG|1DUR	1aMLV|2RCVC|378aVULN|4RCR|5LWND|6DUR|9aDMG|aBPWR
