0	Index      	 *	Score 	Summary	Detail	
1	23222 42526	 * 	180.39	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1MLV|26DMG|3ASPD|4DUR|59aVULN|7RCR|8CDMG
2	23222 42146	 * 	179.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1MLV|26DMG|3ASPD|49DUR|58VULN|7RCR|aAART
3	23222 62146	 * 	177.65	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	1MLV|2DMG|3ASPD|49DUR|568VULN|7RCR|aAART
4	23222 62526	 * 	176.91	DCR|4VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2DMG|3ASPD|4DUR|569aVULN|7RCR|8CDMG
5	31623 32234	 * 	175.54	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	17DUR|2BEXP|37DMG|4RCR|57CDMG|6LEGI|7BPWR|8VULN|9RCVC|aAART
6	21213 43112	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2aVULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG
7	21533 43112	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	14MLV|2aVULN|3DUST|5AART|6ZMB|7RCR|89DMG
8	21613 43112	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2aVULN|3DMSP|4DUST|5AART|6ZMB|7RCR|89DMG
9	62213 43112	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|2aVULN|3RCVC|4DUST|5AART|6ZMB|7RCR|89DMG
10	62613 43112	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|2aVULN|3DMSP|4DUST|5AART|6ZMB|7RCR|89DMG
11	21114 42136	   	174.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19MLV|28VULN|3ASPD|4DUR|56DMG|7RCR|aAART
12	23222 42136	   	174.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19MLV|26DMG|3ASPD|4DUR|58VULN|7RCR|aAART
13	23222 42155	   	174.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MLV|26DMG|3ASPD|4DUR|58VULN|7RCR|9CGEN|aAART
14	23232 42526	   	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1MLV|26DMG|3ASPD|4LHND|59aVULN|7RCR|8CDMG
15	23212 42526	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1MLV|26DMG|3ASPD|4DUST|59aVULN|7RCR|8CDMG
16	32531 64211	 * 	172.75	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2CDMG|39aVULN|4LWND|5DLOT|68AART|7RCR
17	21114 62136	   	172.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	19MLV|268VULN|3ASPD|4DUR|5DMG|7RCR|aAART
18	23222 62136	   	172.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	19MLV|2DMG|3ASPD|4DUR|568VULN|7RCR|aAART
19	23222 62155	   	172.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1MLV|2DMG|3ASPD|4DUR|568VULN|7RCR|9CGEN|aAART
20	31623 15151	 * 	172.11	ACR|3VULN|1DMG|2CDMG|3DUR	179DUR|29aBEXP|3DMG|4RCR|5aCDMG|6BELT|89aVULN|9aBPWR
21	31623 13151	   	172.11	ACR|3VULN|1DMG|2CDMG|3DUR	19aDUR|279BEXP|3DMG|4RCR|5aCDMG|6BELT|89aVULN|9aBPWR
22	23222 42516	 * 	171.35	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1MLV|26DMG|39ASPD|4DUR|5aVULN|7RCR|8CDMG
23	31622 63152	 * 	171.23	ACR|3DMG|2VULN|1ZMB|1DUR	1DUR|2BEXP|367DMG|4RCR|5LHND|89VULN|aZMB
24	31623 46313	 * 	170.55	ACR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1aDUR|2BEXP|3aDMG|4RCR|5CDMG|6ASPD|7BELT|8aVULN|9LEGI|aBPWR
25	21111 35626	 * 	170.35	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1MLV|29VULN|3ASPD|4DUR|5FEWX|6DMG|7RCR|8FLTHEA|aAART
26	23223 42524	 * 	170.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|26DMG|3ASPD|4DUR|5FEWX|7RCR|8CDMG|9VULN|aAART
27	13364 33621	 * 	170.28	DCR|3DMG|2AART|1VULN|1SELL	1SELL|2RPLT|3VULN|458DMG|6LWND|7RCR|9aAART
28	23232 62526	   	169.97	DCR|4VULN|1DMG|1CDMG|1ASPD	1MLV|2DMG|3ASPD|4LHND|569aVULN|7RCR|8CDMG
29	31623 32214	 * 	169.93	ACR|2VULN|2DMG|2CDMG|2DUR	17DUR|2BEXP|37DMG|4RCR|57CDMG|6LEGI|7BPWR|8aVULN|9LHND
30	31623 32236	   	169.93	ACR|2VULN|2DMG|2CDMG|2DUR	17DUR|2BEXP|37DMG|4RCR|57CDMG|6LEGI|7BPWR|8aVULN|9RCVC
31	23212 62526	   	169.87	DCR|4VULN|1DMG|1CDMG|1ASPD	1MLV|2DMG|3ASPD|4DUST|569aVULN|7RCR|8CDMG
32	31623 32265	   	169.83	ACR|2VULN|2DMG|2CDMG|2DUR	17DUR|2BEXP|37DMG|4RCR|57CDMG|6LEGI|7BPWR|8aVULN|9MBVNT
33	23222 62516	 * 	169.42	DCR|3VULN|1DMG|2ASPD|1CDMG|1DUR	1MLV|2DMG|39ASPD|4DUR|56aVULN|7RCR|8CDMG
34	32336 31366	 * 	168.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3ZMB|47VULN|5LWND|6RMIN|8AART|9DMG|aRCR
35	32533 31366	   	168.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37VULN|4LWND|5ZMB|6RMIN|8AART|9DMG|aRCR
36	31623 32216	 * 	167.99	ACR|3DMG|1VULN|2CDMG|2DUR	17DUR|2BEXP|37aDMG|4RCR|57CDMG|6LEGI|7BPWR|8VULN|9LHND
37	31623 32267	   	167.89	ACR|3DMG|1VULN|2CDMG|2DUR	17DUR|2BEXP|37aDMG|4RCR|57CDMG|6LEGI|7BPWR|8VULN|9MBVNT
38	23232 42155	   	167.35	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|26DMG|3ASPD|4LHND|58VULN|7RCR|9CGEN|aAART
39	31662 36132	   	167.35	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2BEXP|34DMG|58VULN|6RCVC|7RCR|9MLV|aAART
40	31523 46146	   	167.25	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2BEXP|3LWND|48VULN|5MBVNT|69DMG|7RCR|aAART
41	21114 62112	   	166.74	DCR|3VULN|2DMG|1ASPD|1DUR	1MLV|268VULN|3ASPD|4DUR|5aDMG|7RCR|9LIT
42	23222 62112	   	166.74	DCR|3VULN|2DMG|1ASPD|1DUR	1MLV|2aDMG|3ASPD|4DUR|568VULN|7RCR|9LIT
43	21114 42112	 * 	166.74	DCR|3DMG|2VULN|1ASPD|1DUR	1MLV|28VULN|3ASPD|4DUR|56aDMG|7RCR|9LIT
44	23222 42112	   	166.74	DCR|3DMG|2VULN|1ASPD|1DUR	1MLV|26aDMG|3ASPD|4DUR|58VULN|7RCR|9LIT
45	32531 64222	 * 	166.51	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3VULN|4LWND|5DLOT|68AART|7RCR|9DMG|aASPD
46	23225 21224	 * 	166.41	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1aMLV|2DMG|3aASPD|47DUR|5LIT|6AART|8aVULN|9RCR|aBPWR
47	31622 63116	 * 	165.84	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2BEXP|367DMG|4RCR|5LHND|8VULN|9FEWX|aAART
48	21111 33544	   	165.55	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|2VULN|3ASPD|4DUR|5FEWX|67DMG|8CDMG|9RCR|aAART
49	21113 33544	   	165.55	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|2VULN|3ASPD|4DUR|5LHND|67DMG|8CDMG|9RCR|aAART
50	23222 13544	   	165.55	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|27DMG|3ASPD|4DUR|5VULN|6LHND|8CDMG|9RCR|aAART
51	31622 63153	 * 	165.52	ACR|3DMG|2VULN|2DUR	1aDUR|2BEXP|367DMG|4RCR|5LHND|89VULN
52	14213 11433	   	165.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|26VULN|3BEXP|4CDMG|5AART|7DMG|8CGEN|9RCR|aZMB
53	23232 62155	   	165.42	DCR|3VULN|1AART|1DMG|1ASPD	1MLV|2DMG|3ASPD|4LHND|568VULN|7RCR|9CGEN|aAART
54	31623 41253	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2BEXP|38DMG|4RCR|5CDMG|6ASPD|7aVULN|9CGEN
55	31623 54132	 * 	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2BEXP|3DMG|4RCR|5CDMG|6DUST|79VULN|8AART|aLHND
56	31623 54131	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2BEXP|3DMG|4RCR|5CDMG|6DUST|79VULN|8AART|aLEGI
57	31623 54133	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2BEXP|3DMG|4RCR|5CDMG|6DUST|79VULN|8AART|aERES
58	21114 42153	   	164.74	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1MLV|28VULN|3ASPD|4DUR|56DMG|7RCR|9CGEN|aCDMG
