0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43631 53323	10	 * 	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	19TLV|269aVULN|38DUR|4CDMG|59CGEN|7RCR|9BPWR
2	42351 21231	7	 * 	270.53	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2CGEN|349VULN|5DUST|6RCR|7DUR|89DMG|9BPWR|aLIT
3	42351 21234	7	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2CGEN|349VULN|5DUST|6RCR|7DUR|89DMG|9BPWR|aASPD
4	42352 33312	10	 * 	269.26	DCR|5VULN|1TLV|1DMG|1AART	1TLV|2CGEN|3489aVULN|5AART|6DMG|7RCR
5	43152 63312	10	   	269.26	DCR|5VULN|1TLV|1DMG|1AART	1TLV|2489aVULN|3MLV|5AART|6DMG|7RCR
6	43352 63312	10	   	269.16	DCR|5VULN|1TLV|1DMG|1AART	1TLV|2489aVULN|3ERES|5AART|6DMG|7RCR
7	43115 33125	8	 * 	268.98	DCR|3VULN|2TLV|2DUR|1DMG|1AART	1aTLV|28aVULN|3MLV|4RPLT|5AART|6DMG|7RCR|9aDUR|aBPWR
8	43115 33125	9	   	268.98	DCR|3VULN|2TLV|2DUR|1DMG|1AART	1aTLV|28aVULN|3MLV|4RPLT|5AART|6DMG|7RCR|9aDUR|aBPWR
9	31623 21424	8	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	129BEXP|39DMG|4TLV|57DUR|6RCR|89aVULN|9BPWR
10	32124 21344	2	   	267.89	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1BEXP|2ASPD|3aDMG|4aTLV|5CDMG|6RCR|7aVULN|8DUR|9LIT|aBPWR
11	42351 32531	5	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2CGEN|349VULN|5DUST|6DMG|79DUR|8RCR|9BPWR|aLIT
12	42355 23112	9	 * 	267.12	DCR|4VULN|2DMG|2TLV	18TLV|2CGEN|348aVULN|5RCVC|68DMG|7RMIN|8BPWR|9RCR
13	42352 33316	9	   	264.56	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1TLV|2CGEN|3489VULN|5AART|6DMG|7RCR|aCDMG
14	63311 26334	2	 * 	263.77	DCR|4VULN|2DMG|2DUR	169FEWX|25DUR|3RMIN|459aVULN|59BPWR|79DMG|8RCR
15	53311 36334	2	   	263.47	DCR|4VULN|2DMG|2DUR	169DUST|25DUR|3RMIN|459aVULN|59BPWR|79DMG|8RCR
16	42351 21232	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2CGEN|349VULN|5DUST|6RCR|7DUR|89DMG|9BPWR|aRMIN
17	42351 21236	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2CGEN|349VULN|5DUST|6RCR|7DUR|89DMG|9BPWR|aBELT
18	42351 21233	7	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2CGEN|349VULN|5DUST|6RCR|7DUR|89DMG|9BPWR|aERES
19	43315 32523	7	 * 	261.77	DCR|2VULN|2DMG|3TLV|2DUR|1AART	17aTLV|2aVULN|37ERES|4RPLT|5AART|67DMG|7aBPWR|8RCR|9aDUR
20	14515 33213	6	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1LHND|2aVULN|3CDMG|4DUR|5AART|6aDMG|7DUST|8RCR|9aTLV|aBPWR
