0	Index      	 *	Score 	Summary	Detail	
1	11132 14365	 * 	195.37	ACR|2AART|2VULN|2DMG|2ASPD|1DUR	1aLIT|27AART|3aVULN|46DMG|5RCR|8DUR|9aASPD|aBPWR
2	11162 12553	 * 	193.34	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2AART|389aVULN|4ASPD|5RCR|6DMG|7ZMB
3	11132 11565	 * 	192.64	ACR|3VULN|2DMG|1AART|2ASPD	1aLIT|2AART|38aVULN|46DMG|5RCR|7BEXP|9aASPD|aBPWR
4	11132 12565	   	192.54	ACR|3VULN|2DMG|1AART|2ASPD	1aLIT|2AART|38aVULN|46DMG|5RCR|7DUST|9aASPD|aBPWR
5	11132 11543	 * 	192.54	ACR|3VULN|2DMG|1AART|1CDMG	1LIT|2AART|38aVULN|46DMG|5RCR|7BEXP|9CDMG
6	11132 12543	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	1LIT|2AART|38aVULN|46DMG|5RCR|7DUST|9CDMG
7	31314 22641	 * 	191.39	DCR|2AART|2VULN|2DMG|2DUR	19LHND|2aAART|38VULN|49DUR|5DLOT|6RCR|79DMG|9BPWR
8	11132 22553	 * 	190.46	ACR|4VULN|1AART|1DMG|2ZMB	19LIT|2AART|389aVULN|4DMG|5RCR|6CGEN|79ZMB|9BPWR
9	11132 14426	 * 	190.23	ACR|3DMG|2AART|2VULN	1LIT|27AART|3aVULN|468DMG|5RCR|9BASHEA
10	11132 14454	   	190.23	ACR|3DMG|2AART|2VULN	1LIT|27AART|3aVULN|468DMG|5RCR|9MBVNT
11	11132 14112	 * 	190.09	ACR|3VULN|2AART|2DMG|1SELL	1LIT|27AART|39aVULN|46DMG|5RCR|8SELL
12	11132 14243	 * 	188.33	ACR|2AART|2VULN|2DMG|1CDMG	1LIT|27AART|3aVULN|46DMG|5RCR|8FEWX|9CDMG
13	11132 14111	   	188.09	ACR|2AART|2VULN|2DMG|1CDMG|1SELL	1LIT|27AART|39VULN|46DMG|5RCR|8SELL|aCDMG
14	11132 66523	 * 	186.75	ACR|4VULN|2AART|1DMG	1LIT|29AART|378aVULN|4DMG|5RCR|6LEGI
15	11132 14412	 * 	186.40	ACR|3DMG|2AART|1VULN|1CDMG	1LIT|27AART|3VULN|468DMG|5RCR|9BEXP|aCDMG
16	11132 14432	   	186.40	ACR|3DMG|2AART|1VULN|1CDMG	1LIT|27AART|3VULN|468DMG|5RCR|9LHND|aCDMG
17	11122 12553	   	186.30	ACR|4VULN|1AART|1DMG|1ZMB	1LIT|2AART|389aVULN|4NUKE|5RCR|6DMG|7ZMB
18	11132 14452	   	186.30	ACR|3DMG|2AART|1VULN|1CDMG	1LIT|27AART|3VULN|468DMG|5RCR|9MBVNT|aCDMG
19	11132 14462	   	186.30	ACR|3DMG|2AART|1VULN|1CDMG	1LIT|27AART|3VULN|468DMG|5RCR|9DUST|aCDMG
20	11112 26533	 * 	186.20	DCR|5VULN|1AART|1CDMG	1LIT|2AART|3479aVULN|5RPLT|6RCR|8CDMG
21	11132 22543	   	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2AART|38aVULN|4DMG|5RCR|6CGEN|7ZMB|9CDMG
22	11332 16525	   	185.46	DCR|2AART|2DMG|2VULN|1ZMB	1aLIT|23AART|4aDMG|57VULN|6ZMB|8RCR|9aLWND|aBPWR
23	11332 15553	   	185.26	DCR|2AART|2VULN|2DMG|1ZMB	1LIT|23AART|47DMG|5aVULN|6ZMB|8RCR|9MLV
24	11332 16515	   	185.26	DCR|2AART|2VULN|2DMG|1ZMB	1aLIT|23AART|4aDMG|57VULN|6ZMB|8RCR|9aDUST|aBPWR
