0	Index      	 *	Score 	Summary	Detail	
1	45322 36213	 * 	185.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|2aVULN|3DUST|4BELT|5AART|689DMG|7RCR
2	43236 16322	 * 	183.87	DCR|2AART|2VULN|1DMG|2ASPD|1CDMG	19ASPD|25AART|3LWND|4aVULN|6DMG|7CDMG|8RCR
3	43166 22131	 * 	182.68	DCR|2VULN|2DMG|1AART|3ASPD	137ASPD|2AART|3BPWR|45DMG|6LIT|8RCR|9aVULN
4	25312 28732	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|89DMG
5	45322 36212	 * 	179.77	DCR|3DMG|2AART|1VULN|1ASPD	1ASPD|2VULN|3DUST|4BELT|5aAART|689DMG|7RCR
6	43163 24438	   	178.40	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	13ASPD|2AART|3BPWR|49DMG|58VULN|6MBVNT|7DUR|aRCR
7	53451 12223	 * 	177.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1LSRICY|2AART|3CDMG|49VULN|5LIT|6RCR|7LHND|8DMG|aFLTHEA
8	31325 13333	 * 	177.27	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1CGEN|2AIRHEL|3CDMG|47VULN|58AART|6FLTHEA|9DMG|aRCR
9	43236 16312	   	177.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|25AART|39LWND|4aVULN|6DMG|7CDMG|8RCR
10	53311 16223	   	177.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|79VULN|8DMG|aFLTHEA
11	45322 36223	   	177.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2aVULN|3DUST|4BELT|5AART|68DMG|7RCR|9DUR
12	53453 21424	 * 	176.82	DCR|3VULN|2AART|1CDMG|1ZMB	1LSRICY|25AART|3CDMG|469VULN|7MBVNT|8RCR|aZMB
13	43133 54221	 * 	176.73	DCR|3VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|58aVULN|6BELT|7RCR|9DMG
14	43233 16322	   	175.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19ASPD|2AART|3LWND|4aVULN|5RCVC|6DMG|7CDMG|8RCR
15	53411 16222	   	175.02	DCR|2AART|2VULN|1DMG|1CDMG	1LSRICY|2aAART|3CDMG|4DUST|5LIT|6RCR|79VULN|8DMG
16	43236 36322	   	174.81	DCR|2AART|2VULN|2ASPD|1CDMG|1ZMB	19ASPD|25AART|3LWND|4aVULN|6ZMB|7CDMG|8RCR
17	45431 31331	 * 	174.76	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1ASPD|258VULN|3DMG|4RCVC|6FLTHEA|7CDMG|9RCR|aDUR
18	43133 54222	 * 	174.73	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	13ASPD|2AART|3BPWR|4TLV|58VULN|6BELT|7RCR|9DMG|aFLTHEA
19	53451 11133	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|49VULN|5LIT|6RCR|7ZMB|8RPLT|aDMG
20	53311 16241	 * 	174.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|7VULN|8aDMG|9ZMB
21	43113 14324	   	174.56	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|57VULN|6DMG|8LHND|9CDMG|aRCR
22	53112 16135	 * 	173.31	DCR|3VULN|2AART|3DUR	1aLSRICY|23AART|4LIT|57aDUR|6RCR|89aVULN|aBPWR
23	43232 16322	   	172.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19ASPD|2AART|35LWND|4aVULN|6DMG|7CDMG|8RCR
24	43166 22132	   	172.03	DCR|2DMG|1AART|1VULN|3ASPD|1DUR	137ASPD|2AART|3BPWR|45DMG|6LIT|8RCR|9VULN|aDUR
25	43212 14324	   	172.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2AART|3LWND|4RMIN|5ZMB|68DMG|7VULN|9CDMG|aRCR
26	52623 22261	 * 	171.84	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1LSRICY|2aDUR|3LIT|4ASPD|5aVULN|6CDMG|7RCR|8aDMG|9RCVC|aBPWR
27	43113 34163	   	171.82	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	13ASPD|2AART|3BPWR|4DUR|57VULN|6ZMB|8BASHEA|9DMG|aRCR
28	45322 36222	   	171.05	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1ASPD|2VULN|3DUST|4BELT|5aAART|68DMG|7RCR|9DUR
29	53113 15161	   	170.71	DCR|3VULN|2AART|1CDMG	1LSRICY|23AART|4LIT|5LHND|6RCR|7CDMG|89aVULN
30	53451 11132	   	170.27	DCR|3VULN|1AART|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|49aVULN|5LIT|6RCR|7ZMB|8RPLT
31	45322 36233	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aVULN|3DUST|4BELT|5AART|68DMG|7RCR|9FEWX
32	53453 21423	 * 	170.09	DCR|3VULN|3AART|1CDMG	1LSRICY|25aAART|3CDMG|469VULN|7MBVNT|8RCR
