0	Index      	 *	Score 	Summary	Detail	
1	36263 36111	 * 	200.23	DCR|3DMG|2VULN|1AART|3ASPD	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9aVULN
2	35112 12431	 * 	197.45	DCR|4VULN|3DMG|2DUR	134DMG|29DUR|59LHND|6RCR|789aVULN|9BPWR
3	36263 36113	 * 	196.29	DCR|3DMG|1AART|3ASPD|1VULN|1CDMG	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9VULN|aCDMG
4	35332 65221	 * 	195.84	DCR|2VULN|2DMG|3ZMB|1AART|1DUR	1aDMG|2DUR|39aZMB|4CGEN|5ERES|6AART|7aVULN|8RCR|aBPWR
5	25341 16333	 * 	195.62	ACR|3VULN|2DMG|3ZMB|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78CGEN|9aDMG
6	35332 65321	 * 	195.56	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	18aDMG|2DUR|3aZMB|4CGEN|5ERES|6AART|7aVULN|9RCR|aBPWR
7	34112 12234	 * 	195.32	DCR|3VULN|3DMG|1AART	134DMG|2LWND|5LHND|6RCR|79aVULN|8AART
8	36263 36332	   	193.55	DCR|3DMG|1AART|1VULN|3ASPD|1ZMB	126DMG|3AART|456ASPD|6BPWR|7RCR|8ERES|9VULN|aZMB
9	25341 43133	 * 	193.21	ACR|3VULN|3ZMB|1AART|1FLTHEA|2DUR	139VULN|236ZMB|39BPWR|4RCR|5FLTHEA|79AIRHEL|89DUR|aAART
10	25341 22622	 * 	192.05	ACR|4VULN|1DMG|2ZMB|1CDMG|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LHND|9DMG|aCDMG
11	25341 32622	   	192.05	ACR|4VULN|1DMG|2ZMB|1CDMG|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LWND|9DMG|aCDMG
12	32141 12563	 * 	191.44	ACR|3DMG|2VULN|1AART|1CDMG	139DMG|29BEXP|4RCR|5CANSTR|6FEWX|79VULN|8AART|9BPWR|aCDMG
13	25316 31122	 * 	190.59	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9CDMG
14	25316 34273	 * 	189.87	DCR|3VULN|3ZMB|1AART|1DMG	138VULN|23aZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|9AART
15	33632 65221	   	188.90	DCR|2VULN|2DMG|3ZMB|1AART	1aDMG|2FEWX|39aZMB|4CGEN|5ERES|6AART|7aVULN|8RCR|aBPWR
16	25343 61122	 * 	188.70	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	13aVULN|23ZMB|3BPWR|4RCR|5BEXP|6DMG|7LIT|8AART|9CDMG
17	33632 65321	   	188.62	DCR|3DMG|2VULN|1AART|2ZMB	18aDMG|2FEWX|3aZMB|4CGEN|5ERES|6AART|7aVULN|9RCR|aBPWR
18	34212 43135	   	188.50	DCR|3DMG|2VULN|1AART|2DUR	189DMG|2LWND|39DUR|4BEXP|5LHND|69VULN|7RCR|9BPWR|aAART
19	34142 33511	   	188.09	ACR|3DMG|2VULN|1AART|1ZMB	13aDMG|2LWND|4RCR|5aERES|6ZMB|7MLV|8aVULN|9AART|aBPWR
20	25342 31632	 * 	187.99	ACR|3VULN|3ZMB|1AART|1DMG	138VULN|236ZMB|38BPWR|4RCR|58ERES|78LIT|9AART|aDMG
21	25341 43113	   	187.81	ACR|3VULN|3ZMB|1AART|1FLTHEA|1DUR	139VULN|236ZMB|3BPWR|4RCR|5FLTHEA|7AIRHEL|8DUR|aAART
22	35112 12433	 * 	187.17	DCR|3VULN|3DMG|3DUR	134DMG|29aDUR|59LHND|6RCR|789VULN|9BPWR
23	25341 62222	   	186.80	ACR|3VULN|1DMG|2ZMB|1CDMG|1FLTHEA|1DUR	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6DUR|8RCVC|9DMG|aCDMG
24	35114 11316	   	186.51	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2DUR|5aVULN|6RCR|7LSRREG|8AART|9BEXP
25	35114 11336	   	186.51	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2DUR|5aVULN|6RCR|7LSRREG|8AART|9FEWX
26	35114 11326	   	186.41	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2DUR|5aVULN|6RCR|7LSRREG|8AART|9DUST
27	25316 31121	 * 	186.38	DCR|2VULN|2AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8aAART|9CDMG
28	25316 31112	   	185.81	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13VULN|23ZMB|3BPWR|4aDMG|5MBVNT|6RCR|7LIT|8AART|9DUR
29	61341 11211	 * 	185.28	DCR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2AART|34LIT|5DLOT|6DMSP|7RCR|8aDMG|9aVULN|aBPWR
30	61341 11361	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2AART|34LIT|5DLOT|6DMSP|7RCR|8aVULN|9aDMG|aBPWR
31	32112 12431	   	185.22	DCR|4VULN|3DMG	134DMG|29BEXP|59LHND|6RCR|789aVULN|9BPWR
32	33112 12431	   	185.22	DCR|4VULN|3DMG	134DMG|29FEWX|59LHND|6RCR|789aVULN|9BPWR
33	34112 12431	   	185.22	DCR|4VULN|3DMG	134DMG|29LWND|59LHND|6RCR|789aVULN|9BPWR
34	36312 12431	   	185.22	DCR|4VULN|3DMG	124DMG|39BEXP|59LHND|6RCR|789aVULN|9BPWR
35	36412 12431	   	185.02	DCR|4VULN|3DMG	124DMG|39DUST|59LHND|6RCR|789aVULN|9BPWR
36	25341 16323	   	184.97	ACR|3VULN|3ZMB|1DMG|1FLTHEA|1ASPD	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78CGEN|9ASPD|aDMG
37	25121 61421	   	184.77	DCR|3VULN|2DMG|1AART|1ZMB	15aVULN|2ZMB|3aDMG|4BEXP|6AART|7TLV|8aCGEN|9RCR|aBPWR
38	25132 62321	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5ERES|6AART|7aBEXP|9RCR|aBPWR
39	25132 64321	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5ERES|6AART|7aLHND|9RCR|aBPWR
40	25132 65221	   	184.77	DCR|3VULN|2DMG|1AART|1ZMB	17aVULN|2ZMB|3aDMG|4CGEN|5ERES|6AART|8aBEXP|9RCR|aBPWR
41	25132 66321	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5ERES|6AART|7aFEWX|9RCR|aBPWR
42	26133 62321	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2TLV|38aDMG|4CGEN|5ZMB|6AART|7aLHND|9RCR|aBPWR
43	26133 66321	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2TLV|38aDMG|4CGEN|5ZMB|6AART|7aLWND|9RCR|aBPWR
44	36213 56223	 * 	184.77	DCR|3DMG|2AART|1VULN|1ZMB|1ASPD	129DMG|37AART|4NUKE|5ASPD|6VULN|8ZMB|aRCR
45	32112 12436	 * 	184.77	DCR|3VULN|3DMG|1CDMG	134DMG|29BEXP|59LHND|6RCR|789VULN|9BPWR|aCDMG
46	33112 12436	   	184.77	DCR|3VULN|3DMG|1CDMG	134DMG|29FEWX|59LHND|6RCR|789VULN|9BPWR|aCDMG
47	36312 12436	   	184.77	DCR|3VULN|3DMG|1CDMG	124DMG|39BEXP|59LHND|6RCR|789VULN|9BPWR|aCDMG
48	25132 65121	   	184.57	DCR|3VULN|2DMG|1AART|1ZMB	17aVULN|2ZMB|3aDMG|4CGEN|5ERES|6AART|8aDUST|9RCR|aBPWR
49	26133 63321	   	184.57	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2TLV|38aDMG|4CGEN|5ZMB|6AART|7aDUST|9RCR|aBPWR
50	32114 14242	   	184.57	DCR|3VULN|3DMG|1CDMG	134DMG|2BEXP|59aVULN|6RCR|7CDMG|8LIT
51	33114 14242	   	184.57	DCR|3VULN|3DMG|1CDMG	134DMG|2FEWX|59aVULN|6RCR|7CDMG|8LIT
52	25343 61121	 * 	184.50	ACR|2VULN|2AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4RCR|5BEXP|6DMG|7LIT|8aAART|9CDMG
53	25133 26321	   	184.27	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5BEXP|6aMLV|7AART|9RCR|aBPWR
54	25132 36321	   	184.17	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5ERES|6aFEWX|7AART|9RCR|aBPWR
55	25136 26321	   	184.17	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5DUST|6aMLV|7AART|9RCR|aBPWR
56	25133 36321	   	184.07	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5BEXP|6aERES|7AART|9RCR|aBPWR
57	35142 23511	   	184.03	ACR|3DMG|2VULN|1AART|1DUR	13aDMG|2DUR|4RCR|5aERES|6CGEN|7MLV|8aVULN|9AART|aBPWR
58	25132 56321	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5ERES|6aDUST|7AART|9RCR|aBPWR
59	25136 36321	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	1aVULN|2ZMB|38aDMG|4CGEN|5DUST|6aERES|7AART|9RCR|aBPWR
60	25343 61112	 * 	183.93	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	13VULN|23ZMB|3BPWR|4RCR|5BEXP|6aDMG|7LIT|8AART|9DUR
61	25316 31114	   	183.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9DUR
62	25316 34246	 * 	183.65	DCR|3VULN|2DMG|3ZMB	138VULN|23aZMB|3BPWR|49DMG|5MBVNT|6RCR|7BEXP
63	35312 43234	 * 	183.57	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	159DMG|2DUR|3ZMB|45CDMG|5BPWR|6LSRHEA|78VULN|aRCR
64	35112 12231	   	183.35	DCR|3VULN|3DMG|2DUR	134DMG|29DUR|59LHND|6RCR|79aVULN|8DMSP|9BPWR
65	35112 12432	   	183.35	DCR|3VULN|3DMG|2DUR	134DMG|29DUR|59LHND|6RCR|789VULN|9BPWR|aRMIN
66	35112 12434	   	183.35	DCR|3VULN|3DMG|2DUR	134DMG|29DUR|59LHND|6RCR|789VULN|9BPWR|aLWND
67	36263 36121	   	182.64	DCR|3DMG|1AART|3ASPD|1VULN	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9FEWX|aVULN
68	35114 11313	   	182.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2DUR|5VULN|6RCR|7LSRREG|8AART|9BEXP|aCDMG
69	35114 11333	   	182.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2DUR|5VULN|6RCR|7LSRREG|8AART|9FEWX|aCDMG
70	33114 11361	   	182.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2FEWX|5VULN|6RCR|7LSRREG|8AART|9ASPD|aCDMG
71	36263 36331	   	182.54	DCR|3DMG|1AART|1VULN|3ASPD	126DMG|3AART|456ASPD|6BPWR|7RCR|8ERES|9VULN|aMGNSTR
72	36263 36333	   	182.54	DCR|3DMG|1AART|1VULN|3ASPD	126DMG|3AART|456ASPD|6BPWR|7RCR|8ERES|9VULN|aCGEN
73	35114 11323	   	182.47	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2DUR|5VULN|6RCR|7LSRREG|8AART|9DUST|aCDMG
74	35144 22211	 * 	182.02	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	13DMG|2DUR|4RCR|58VULN|6MLV|7LHND|9AART|aFLTHEA
75	21365 14212	 * 	181.97	DCR|4VULN|1DMG|2CDMG|2DUR	1349VULN|234CGEN|349BPWR|59CDMG|6BELT|7RCR|89DUR|aDMG
76	35144 13211	   	181.92	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	13DMG|2DUR|4RCR|58VULN|6LHND|7TLV|9AART|aFLTHEA
77	35144 32211	   	181.92	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	13DMG|2DUR|4RCR|58VULN|6ERES|7LHND|9AART|aFLTHEA
78	25342 31221	   	181.87	ACR|3VULN|2DMG|3ZMB	13aVULN|236ZMB|3aBPWR|4RCR|5ERES|7aLIT|8BELT|9aDMG
79	25316 31124	   	181.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9CDMG|aASPD
80	35112 14243	   	181.47	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2DUR|5LHND|6RCR|7CDMG|8LIT|9VULN|aAART
81	35114 11133	   	181.05	DCR|3DMG|2VULN|1CDMG|2DUR	134DMG|29DUR|5aVULN|6RCR|7LSRREG|8CDMG
82	25341 43213	   	180.77	ACR|3VULN|3ZMB|1AART|1FLTHEA	139VULN|236ZMB|3BPWR|4RCR|5FLTHEA|7AIRHEL|8DUST|aAART
83	25341 43233	   	180.77	ACR|3VULN|3ZMB|1AART|1FLTHEA	139VULN|236ZMB|39BPWR|4RCR|5FLTHEA|79AIRHEL|89DUST|aAART
84	25341 61313	   	180.40	ACR|2VULN|3ZMB|1AART|1FLTHEA|1DUR|1ASPD	13VULN|23aZMB|3BPWR|4RCR|5FLTHEA|6DUR|7ASPD|8AART|9RPLT
85	21122 26321	   	180.21	DCR|3DMG|2VULN|1AART|1ASPD	1aVULN|2CGEN|38aDMG|4BEXP|5ASPD|6aMLV|7AART|9RCR|aBPWR
86	21122 36321	   	180.01	DCR|3DMG|2VULN|1AART|1ASPD	1aVULN|2CGEN|38aDMG|4BEXP|5ASPD|6aERES|7AART|9RCR|aBPWR
87	25341 41213	   	179.94	ACR|3VULN|3ZMB|1DMG|1FLTHEA	13aVULN|236ZMB|3BPWR|4RCR|5FLTHEA|7RCVC|8DMG|9ERES
88	25341 12222	   	179.86	ACR|3VULN|1DMG|2ZMB|1CDMG|1FLTHEA	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6FEWX|8RCVC|9DMG|aCDMG
89	25341 22222	   	179.86	ACR|3VULN|1DMG|2ZMB|1CDMG|1FLTHEA	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LHND|8RCVC|9DMG|aCDMG
90	25341 32222	   	179.86	ACR|3VULN|1DMG|2ZMB|1CDMG|1FLTHEA	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LWND|8RCVC|9DMG|aCDMG
91	34112 12231	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2aLWND|5LHND|6RCR|79VULN|8AART
92	34112 12232	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|79VULN|8AART|aFEWX
93	34112 12233	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|79VULN|8AART|aRMIN
94	34112 12244	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|7aVULN|8AART|9DMSP
