0	Index      	 *	Score 	Summary	Detail	
1	25412 21225	 * 	178.68	DCR|4VULN|1AART|1DMG|1ZMB	1RPLT|2348VULN|5LSRREG|6ZMB|7DMG|9RCR|aAART
2	22531 36141	 * 	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RPLT|2DUST|3RCR|48DMG|5ASPD|69VULN|7DUR|aAART
3	25412 31433	 * 	173.77	DCR|3VULN|2AART|1DMG|1DUR	1RPLT|234VULN|5LSRREG|6DUR|7aAART|8DMG|9RCR
4	25412 31432	   	173.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|234VULN|5LSRREG|6DUR|7AART|8DMG|9RCR|aZMB
5	25412 21222	 * 	173.07	DCR|4VULN|2DMG|1ZMB	1RPLT|2348VULN|5LSRREG|6ZMB|7aDMG|9RCR
6	22533 13615	 * 	170.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2DUST|3RCR|46DMG|5VULN|7LHND|8CDMG|9ZMB|aAART
7	22533 21315	   	170.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2DUST|3RCR|48DMG|5VULN|6LHND|7CDMG|9ZMB|aAART
8	22531 31141	   	170.07	ACR|2VULN|2DMG|1AART|1ASPD	1RPLT|2DUST|3RCR|48DMG|5ASPD|69VULN|7FEWX|aAART
9	22531 34141	   	170.07	ACR|2VULN|2DMG|1AART|1ASPD	1RPLT|2DUST|3RCR|48DMG|5ASPD|69VULN|7LWND|aAART
10	22533 41141	   	170.07	ACR|2VULN|2DMG|1AART|1ASPD	1RPLT|2DUST|3RCR|48DMG|59VULN|6ASPD|7FEWX|aAART
11	22533 12141	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1RPLT|2DUST|3RCR|46DMG|59VULN|7TLV|8DUR|aAART
12	22533 36141	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1RPLT|2DUST|3RCR|48DMG|59VULN|6TLV|7DUR|aAART
13	22533 15632	 * 	169.23	ACR|3DMG|2VULN|1CDMG	1RPLT|2DUST|3RCR|467DMG|5aVULN|8CGEN|9CDMG
14	22533 11341	   	169.23	ACR|3DMG|2VULN|1CDMG	1RPLT|2DUST|3RCR|46aDMG|59VULN|7LIT|8CDMG
15	24513 26323	 * 	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28DMG|3CGEN|48VULN|5CDMG|6TLV|78ERES|8BPWR|9RCR|aAART
16	24613 33111	 * 	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1RPLT|2aDMG|3DUR|456VULN|7LIT|8CDMG|9RCR
17	25416 33213	   	168.38	DCR|4VULN|1AART|1DMG	1RPLT|2347VULN|5AART|6DMG|8CGEN|9FEWX|aRCR
18	25423 11122	   	168.32	DCR|3VULN|1AART|1DMG|1ASPD	1RPLT|23aVULN|4ASPD|5LIT|6RCR|7DMG|8TLV|9AART
19	25423 11422	   	168.32	DCR|3VULN|1AART|1DMG|1ASPD	1RPLT|23aVULN|4ASPD|5LIT|6RCR|7DMG|8ERES|9AART
20	25613 11122	   	168.32	DCR|3VULN|1AART|1DMG|1ASPD	1RPLT|24aVULN|3ASPD|5LIT|6RCR|7DMG|8TLV|9AART
21	25613 11422	   	168.32	DCR|3VULN|1AART|1DMG|1ASPD	1RPLT|24aVULN|3ASPD|5LIT|6RCR|7DMG|8ERES|9AART
22	25416 33113	   	168.28	DCR|4VULN|1AART|1DMG	1RPLT|2347VULN|5AART|6DMG|8ERES|9FEWX|aRCR
23	22533 15116	 * 	168.14	ACR|3DMG|1AART|1VULN|1DUR	1RPLT|2DUST|3RCR|467DMG|5VULN|8LWND|9DUR|aAART
