0	Index      	 *	Score 	Summary	Detail	
1	61764 33331	 * 	199.05	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|278VULN|3AART|4CDMG|58DMG|68DUR|8BPWR|9RCVC|aRCR
2	15322 12513	 * 	192.01	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	134VULN|2AART|5ASPD|6DUR|7RCR|89ZMB|aDMG
3	15322 12535	   	188.16	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	134VULN|2AART|5ASPD|6DUR|7RCR|8ZMB|9RPLT|aDMG
4	15326 12523	   	186.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	134VULN|2AART|5RMIN|69DUR|7RCR|8ZMB|aDMG
5	61774 42322	   	186.37	DCR|3VULN|2DMG|1AART|1ZMB	1MBVNT|27aVULN|3AART|4ZMB|5BELT|68DMG|9RCR
6	15315 42331	 * 	186.23	DCR|4VULN|1AART|1DMG|1CDMG	135aVULN|2AART|4MLV|6LIT|7CDMG|8DMG|9RCR
7	15326 42331	   	186.23	DCR|4VULN|1AART|1DMG|1CDMG	134aVULN|2AART|5RMIN|6LIT|7CDMG|8DMG|9RCR
8	15322 12512	 * 	186.05	DCR|4VULN|1AART|2ZMB|1ASPD|1DUR	134aVULN|2AART|5ASPD|6DUR|7RCR|89ZMB
9	13325 34411	 * 	185.27	DCR|3VULN|3ZMB|3FLTHEA|1DMG	18aVULN|256ZMB|3DMG|48aBEXP|78aFLTHEA|8aBPWR|9RCR
10	15322 22513	   	185.07	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	134VULN|2AART|5ASPD|6LWND|7RCR|89ZMB|aDMG
11	15322 62513	   	185.07	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	134VULN|2AART|5ASPD|6FEWX|7RCR|89ZMB|aDMG
12	15152 12352	 * 	184.12	DCR|4VULN|1AART|2CDMG|1DUR	1589VULN|2AART|3DUST|46CDMG|7RCR|aDUR
13	13366 36333	 * 	183.57	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|2ZMB|378DMG|4AART|5BELT|67BEXP|7BPWR|9LEGI|aRCR
14	12652 12352	   	183.52	DCR|4VULN|1AART|2CDMG|1DUR	1589VULN|2DUST|3AART|46CDMG|7RCR|aDUR
15	61764 34331	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|28VULN|3AART|4CDMG|58DMG|68DUR|7DMSP|8BPWR|9RCVC|aRCR
16	15322 12623	   	182.45	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	134VULN|2AART|5ASPD|69DUR|7RCR|8RMIN|aDMG
17	15322 12536	   	182.20	DCR|4VULN|1AART|1ZMB|1ASPD|1DUR	134aVULN|2AART|5ASPD|6DUR|7RCR|8ZMB|9RPLT
18	15323 61421	 * 	181.30	DCR|5VULN|1AART|1CDMG	1346aVULN|2AART|5DUST|7CDMG|8RCR|9LIT
19	15322 22523	   	181.22	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	134VULN|2AART|5ASPD|69LWND|7RCR|8ZMB|aDMG
20	15322 22533	   	181.22	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	134VULN|2AART|5ASPD|6LWND|7RCR|8ZMB|9DMSP|aDMG
21	21533 22331	 * 	180.88	DCR|3VULN|3ASPD|1DMG|2DUR|1ZMB	137ASPD|2ERES|47DUR|579VULN|6RCR|7BPWR|8DMG|aZMB
22	15326 12522	   	180.55	DCR|4VULN|1AART|2DUR|1ZMB	134aVULN|2AART|5RMIN|69DUR|7RCR|8ZMB
23	15152 12211	 * 	180.47	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	15VULN|2AART|3DUST|468CDMG|7RCR|9ASPD|aDMG
24	15452 12211	   	180.47	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	15VULN|2AART|3LEGI|468CDMG|7RCR|9ASPD|aDMG
25	13315 13331	   	180.37	DCR|3VULN|2DMG|1AART|1ZMB	158VULN|2ZMB|37DMG|4RPLT|6TLV|9AART|aRCR
26	14315 43331	   	180.37	DCR|3VULN|2DMG|1AART|1ZMB	158VULN|2ERES|37DMG|4RPLT|6ZMB|9AART|aRCR
27	12652 12211	   	179.87	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	15VULN|2DUST|3AART|468CDMG|7RCR|9ASPD|aDMG
28	15323 61411	   	179.47	DCR|4VULN|1AART|1CDMG|1ZMB	1346VULN|2AART|5DUST|7CDMG|8RCR|9MLV|aZMB
29	13326 23661	 * 	179.46	DCR|3VULN|3DMG|1ZMB|1ASPD	189VULN|2ZMB|369DMG|4BEXP|5ASPD|79FEWX|9BPWR|aRCR
30	25363 23263	 * 	179.36	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	17ASPD|2DUR|3DMG|4DMSP|59VULN|6RCR|8CDMG|aAART
31	15322 22512	   	179.11	DCR|4VULN|1AART|2ZMB|1ASPD	134aVULN|2AART|5ASPD|6LWND|7RCR|89ZMB
32	15322 62512	   	179.11	DCR|4VULN|1AART|2ZMB|1ASPD	134aVULN|2AART|5ASPD|6FEWX|7RCR|89ZMB
33	15323 61531	   	178.90	DCR|5VULN|1AART|1CDMG	1346aVULN|2AART|5DUST|7CDMG|8LIT|9RCR
34	52451 23223	 * 	178.70	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1AIRHEA|2RCR|34aVULN|5CDMG|6ZMB|7RMIN|8DMG|9FLTHEA
35	15322 53263	   	178.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	134VULN|2AART|5ASPD|6ERES|7ZMB|8RCR|9NUKE|aDMG
36	62837 23333	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2aERES|3aVULN|4LWND|5MGNSTR|6AART|7RCR|89aDMG|aBPWR
37	62848 23333	   	178.27	DCR|3DMG|2VULN|1AART	1MBVNT|2aERES|3aVULN|4SNIHEL|5LHND|6AART|7RCR|89aDMG|aBPWR
38	52411 31161	 * 	177.35	ACR|3VULN|2DMG|2DUR|1ASPD	1AIRHEA|2RCR|38aVULN|4LWND|5FEWX|6aDUR|7ASPD|9aDMG|aBPWR
39	15152 12316	   	177.18	DCR|4VULN|1AART|2CDMG	158aVULN|2AART|3DUST|46CDMG|7RCR|9MLV
40	15152 12321	   	177.18	DCR|4VULN|1AART|2CDMG	158aVULN|2AART|3DUST|46CDMG|7RCR|9LIT
41	15452 12321	   	177.18	DCR|4VULN|1AART|2CDMG	158aVULN|2AART|3LEGI|46CDMG|7RCR|9LIT
42	15152 12351	   	177.08	DCR|4VULN|1AART|2CDMG	1589VULN|2AART|3DUST|46CDMG|7RCR|aTLV
43	15152 12353	   	177.08	DCR|4VULN|1AART|2CDMG	1589VULN|2AART|3DUST|46CDMG|7RCR|aERES
44	15321 21526	 * 	176.77	DCR|3VULN|2AART|1DMG|1DUR	134VULN|27AART|5SNIHEL|6CGEN|8DMG|9RCR|aDUR
45	15322 12111	   	176.69	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|6aDUR|7RCR|8aLWND|9RPLT|aBPWR
46	15322 12211	   	176.69	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|6aDUR|7RCR|8aFEWX|9RPLT|aBPWR
47	15322 12311	   	176.69	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|6aDUR|7RCR|8aBEXP|9RPLT|aBPWR
48	15336 32311	   	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2AART|4DUR|5FEWX|6BELT|8DMG|9CDMG|aRCR
49	12652 12316	   	176.58	DCR|4VULN|1AART|2CDMG	158aVULN|2DUST|3AART|46CDMG|7RCR|9MLV
50	12652 12321	   	176.58	DCR|4VULN|1AART|2CDMG	158aVULN|2DUST|3AART|46CDMG|7RCR|9LIT
51	15332 32311	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2AART|4DUR|5DUST|6BELT|8DMG|9CDMG|aRCR
52	15322 12622	   	176.49	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|69DUR|7RCR|8RMIN
53	12652 12351	   	176.48	DCR|4VULN|1AART|2CDMG	1589VULN|2DUST|3AART|46CDMG|7RCR|aTLV
