0	Index      	 *	Score 	Summary	Detail	
1	36124 15211	 * 	192.80	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	1ASPD|2aDMG|34VULN|58AART|6LHND|7RCR|9ZMB
2	36124 35211	   	192.80	DCR|2VULN|2AART|2DMG|1ZMB|1ASPD	1ASPD|2aDMG|34VULN|58AART|6BEXP|7RCR|9ZMB
3	36322 41523	 * 	191.53	DCR|3DMG|2VULN|1AART|3ASPD	178ASPD|267DMG|3LWND|48VULN|578LHND|78BPWR|9RCR|aAART
4	15153 52231	 * 	189.01	DCR|3VULN|2DMG|1AART|1DUR	1BEXP|2DMSP|359VULN|4AART|6RCR|7aDMG|8DUR
5	15124 52231	   	188.41	DCR|3VULN|2DMG|1AART|1DUR	1BEXP|2DMSP|349VULN|5AART|6RCR|7aDMG|8DUR
6	45242 33222	 * 	186.85	ACR|3AART|2DMG|1VULN|2ASPD|1DUR	19LWND|268AART|3RCR|4VULN|59DMG|79ASPD|9BPWR|aDUR
7	45242 33131	 * 	186.32	ACR|2AART|2VULN|2DMG|1ASPD	1LWND|26AART|3RCR|49VULN|5aDMG|7ASPD|8NUKE
8	45242 33331	   	186.32	ACR|2AART|2VULN|2DMG|1ASPD	1LWND|26AART|3RCR|49VULN|5aDMG|7ASPD|8TLV
9	36124 15131	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|349VULN|5AART|6LHND|7RCR|8NUKE
10	36124 15331	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|349VULN|5AART|6LHND|7RCR|8TLV
11	36124 35131	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|349VULN|5AART|6BEXP|7RCR|8NUKE
12	36124 35331	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|349VULN|5AART|6BEXP|7RCR|8TLV
13	22245 51133	 * 	184.84	ACR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8LIT|9AART|aZMB
14	34124 21531	   	183.61	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2CGEN|349VULN|5AART|6aDMG|7BEXP|8RCR
15	36124 13531	   	183.51	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|349VULN|5AART|6LHND|7TLV|8RCR
16	22222 41616	   	183.02	DCR|3DMG|1AART|1VULN|3ASPD|2RCVC	16RCVC|27aASPD|347DMG|5AART|7BPWR|8VULN|9RCR
17	36222 53531	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|27aDMG|3LHND|49VULN|5MLV|6AART|8RCR
18	22231 12361	   	182.86	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2ASPD|3aDMG|4ZMB|58VULN|6DUST|7RCR|9AART
19	36131 33531	   	182.81	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|27aDMG|39VULN|4ERES|5DUST|6AART|8RCR
20	36152 15211	 * 	182.43	DCR|2AART|2DMG|1VULN|2ASPD|1ZMB	16ASPD|2aDMG|3VULN|48AART|5BEXP|7RCR|9ZMB
21	36124 15213	   	182.15	DCR|2AART|2VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|34VULN|58AART|6LHND|7RCR|9ZMB|aDUR
22	36124 35213	   	182.15	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|34VULN|58AART|6BEXP|7RCR|9ZMB|aDUR
23	15153 52331	   	182.07	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|359VULN|4AART|6RCR|7aDMG|8LWND
24	36124 15221	   	181.70	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|2aDMG|34VULN|58AART|6LHND|7RCR|9ERES
25	36124 35221	   	181.70	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|2aDMG|34VULN|58AART|6BEXP|7RCR|9ERES
26	45221 42131	 * 	181.58	ACR|2VULN|2DMG|1AART|2ASPD	1LWND|2AART|3RCR|47ASPD|5CGEN|69VULN|8aDMG
27	45223 42131	   	181.48	ACR|2VULN|2DMG|1AART|2ASPD	1LWND|2AART|3RCR|47ASPD|5TLV|69VULN|8aDMG
28	15124 52331	   	181.47	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|349VULN|5AART|6RCR|7aDMG|8LWND
29	22231 32361	   	181.03	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2ASPD|38aDMG|4ZMB|5VULN|6BEXP|7RCR|9AART
30	45213 24311	 * 	180.95	ACR|3DMG|1AART|1VULN|2ZMB	18LWND|2AART|3RCR|45TLV|68aDMG|78ZMB|8BPWR|9VULN
31	22231 12461	   	180.93	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2ASPD|38aDMG|4ZMB|5VULN|6DUST|7RCR|9AART
32	36133 12231	   	180.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1ASPD|2aDMG|39VULN|4ERES|56DUR|7RCR|8AART
33	24338 26143	 * 	180.37	DCR|2VULN|2DMG|1AART|1FLTHEA	1RCVC|27ERES|37VULN|4MBVNT|57DMG|6RCR|7BPWR|8LIT|9FLTHEA|aAART
34	36123 15213	 * 	180.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|34aVULN|5RCVC|6LHND|7CDMG|8RCR|9AART
35	45242 33232	   	180.04	ACR|3AART|2DMG|1VULN|1DUR|1ASPD	1LWND|268AART|3RCR|4VULN|59DMG|7ASPD|aDUR
36	45242 33223	   	179.91	ACR|3AART|2DMG|1VULN|2ASPD	19LWND|268AART|3RCR|4VULN|59DMG|79ASPD|9BPWR|aMLV
37	12613 41421	 * 	178.78	DCR|4VULN|1DMG|2CDMG|1DUR	18BEXP|2TLV|38CDMG|4DMG|5DUR|6RCR|789aVULN|8BPWR
38	36153 15211	   	178.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1ASPD|2aDMG|3VULN|48AART|5RCVC|6LHND|7RCR|9ZMB
39	36153 35211	   	178.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1ASPD|2aDMG|3VULN|48AART|5RCVC|6BEXP|7RCR|9ZMB
40	36122 22412	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ASPD|28DMG|34VULN|5LWND|6ZMB|7RCR|9BEXP|aAART
41	36122 22422	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ASPD|28DMG|34VULN|5LWND|6ZMB|7RCR|9FEWX|aAART
42	25432 23243	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2LIT|3AART|49aVULN|5FEWX|6DMG|7CDMG|8RCR
43	23241 62151	 * 	177.55	DCR|4VULN|2DMG|1ZMB|2RCVC	15RCVC|2LSRICY|36DMG|4689VULN|6BPWR|7ZMB|aRCR
44	36152 15131	   	177.46	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|2aDMG|39VULN|4AART|5BEXP|7RCR|8NUKE
45	36152 15331	   	177.46	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|2aDMG|39VULN|4AART|5BEXP|7RCR|8TLV
46	25242 23243	   	177.33	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2LIT|39aVULN|4AART|5FEWX|6DMG|7CDMG|8RCR
47	15153 12531	   	177.27	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|359VULN|4AART|6LHND|7aDMG|8RCR
48	15153 22531	   	177.27	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|359VULN|4AART|6aDMG|7LWND|8RCR
49	22646 12113	 * 	177.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2ASPD|3CDMG|4MLV|5RCR|6DMG|7aVULN|8ZMB|9AART
50	15153 52233	   	176.71	DCR|3VULN|1AART|1DMG|2DUR	1BEXP|2DMSP|359VULN|4AART|6RCR|7DMG|8aDUR
51	22222 41114	   	176.71	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8FEWX|9RCR|aVULN
52	22222 41514	   	176.71	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8BEXP|9RCR|aVULN
53	22222 41611	   	176.71	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aFEWX
54	22222 41612	   	176.71	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aLIT
55	22222 41615	   	176.71	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aBEXP
56	52226 35313	 * 	176.69	ACR|3VULN|2DMG|1AART	167FEWX|2TLV|37DMG|47aVULN|5RCR|7BPWR|8RCVC|9AART
57	15124 12531	   	176.67	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|349VULN|5AART|6LHND|7aDMG|8RCR
58	15124 22531	   	176.67	DCR|3VULN|2DMG|1AART	1BEXP|2DMSP|349VULN|5AART|6aDMG|7LWND|8RCR
59	22222 41613	   	176.61	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aERES
60	22222 41614	   	176.61	DCR|3DMG|1AART|1VULN|2ASPD|2RCVC	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aTLV
61	15124 52233	   	176.11	DCR|3VULN|1AART|1DMG|2DUR	1BEXP|2DMSP|349VULN|5AART|6RCR|7DMG|8aDUR
62	36122 53522	 * 	176.08	DCR|5VULN|1DMG|1DUR|1ASPD	1ASPD|2DMG|3469aVULN|5LWND|7RCR|8DUR
63	45242 33133	   	175.67	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1LWND|26AART|3RCR|49VULN|5DMG|7ASPD|8NUKE|aDUR
64	45242 33333	   	175.67	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1LWND|26AART|3RCR|49VULN|5DMG|7ASPD|8TLV|aDUR
