0	Index      	 *	Score 	Summary	Detail	
1	43351 11142	 * 	277.16	ACR|DCR|2VULN|2DMG|2DUR|1AART	1AART|2aDUR|38RCR|4aDMG|5LWND|6AIRHEA|7MDPS|9aVULN|aBPWR
2	31543 35231	 * 	261.23	DCR|DCR|2VULN|1MLV	12DUST|2BPWR|3LHND|45VULN|6BEXP|7LWND|8MLV|9aRCR
3	31543 62231	   	261.23	DCR|DCR|2VULN|1MLV	12DUST|2BPWR|3LHND|45VULN|6MLV|7LWND|8FEWX|9aRCR
4	42361 13623	 * 	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1AART|2ASPD|3LIT|4DMG|57CGEN|6VULN|8aRCR|9MDPS
5	15123 23131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3DMSP|4LWND|56DUR|7RMIN|9aRCR
6	15123 25131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3DMSP|4LWND|56DUR|7TLV|9aRCR
7	15163 23131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3DMSP|4LHND|56DUR|7RMIN|9aRCR
8	15163 25131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3DMSP|4LHND|56DUR|7TLV|9aRCR
9	15323 23131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|34LWND|56DUR|7RMIN|9aRCR
10	15323 25131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|34LWND|56DUR|7TLV|9aRCR
11	15363 23131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3LWND|4DMSP|56DUR|7RMIN|9aRCR
12	15363 25131	   	258.65	DCR|DCR|2VULN|2DUR	1MDPS|28VULN|3LWND|4DMSP|56DUR|7TLV|9aRCR
13	15523 23131	   	258.55	DCR|DCR|2VULN|2DUR	13MDPS|28VULN|4LWND|56DUR|7RMIN|9aRCR
14	15523 25131	   	258.55	DCR|DCR|2VULN|2DUR	13MDPS|28VULN|4LWND|56DUR|7TLV|9aRCR
15	15563 23131	   	258.55	DCR|DCR|2VULN|2DUR	13MDPS|28VULN|4LHND|56DUR|7RMIN|9aRCR
16	21413 32245	 * 	254.20	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD|1RPLT	19CDMG|25DMG|39LHND|4ASPD|6MLV|7RPLT|89VULN|9BPWR|aRCR
17	22152 48453	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3DUR|4MBVNT|5MDPS|6ASPD|7aRCR|8BEXP|9VULN
18	22152 48643	   	253.00	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2LWND|3DUR|4MBVNT|5MDPS|6ASPD|7aRCR|8VULN|9LEGI
19	15123 56131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|3DMSP|47LWND|5DUR|6CGEN|9aRCR
20	15123 63131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|3DMSP|4LWND|5DUR|67TLV|9aRCR
21	15123 66131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|3DMSP|47LWND|5DUR|6TLV|9aRCR
22	15163 63131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|3DMSP|4LHND|5DUR|67TLV|9aRCR
23	15323 63131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|34LWND|5DUR|67TLV|9aRCR
24	15363 63131	   	252.10	DCR|DCR|2VULN	1MDPS|28VULN|3LWND|4DMSP|5DUR|67TLV|9aRCR
25	15523 63131	   	252.00	DCR|DCR|2VULN	13MDPS|28VULN|4LWND|5DUR|67TLV|9aRCR
26	21155 33226	   	250.86	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1CDMG|2DMG|3MBVNT|4TSLFST|5VULN|6SELL|7aRCR|8BELT|9SPLARM
27	21174 27454	 * 	250.79	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|2DMG|3MBVNT|4DUR|579VULN|6MLV|8RCR|aASPD
28	14221 11231	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|25RCVC|34DUR|4BPWR|6LWND|7VULN|8MLV|9aRCR
29	14221 21231	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|25RCVC|34DUR|4BPWR|6LHND|7VULN|8MLV|9aRCR
30	14222 41231	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|2RCVC|34DUR|4BPWR|5TLV|6CGEN|7VULN|8MLV|9aRCR
31	14222 11231	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|2RCVC|34DUR|4BPWR|5TLV|6AME|7VULN|8MLV|9aRCR
32	14224 41231	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|2RCVC|34DUR|4BPWR|5ERES|6CGEN|7VULN|8MLV|9aRCR
33	14224 11231	   	249.78	DCR|DCR|1VULN|1MLV|2DUR	1MDPS|2RCVC|34DUR|4BPWR|5ERES|6AME|7VULN|8MLV|9aRCR
34	32513 21364	   	249.60	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1DUST|2RPLT|39RCR|4TBNT|5CDMG|6DMG|7MLV|8FEWX|aVULN
35	46321 11623	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1AART|2DMG|3LIT|45CGEN|6AAC|7VULN|8aRCR|9MDPS
36	61243 13125	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	123BEXP|2BPWR|4MDPS|5RPLT|6VULN|7DMG|8aRCR|9VENTOX
