0	Index      	 *	Score 	Summary	Detail	
1	32333 21424	 * 	278.25	橙橙2易伤1伤害1平台	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a伤害
2	41663 21233	   	276.90	橙橙2易伤1伤害	1伤害2额外掉落3加一45易伤6时间7等级8赏金邻近9a核
3	41663 23233	   	276.90	橙橙2易伤1伤害	1伤害2额外掉落3加一45易伤6时间7赏金邻近8金币生成9a核
4	11241 11553	   	268.39	橙橙2易伤1伤害	1立即金币2随机矿3双倍秒伤4a易伤5加一6电塔对甲79核8伤害
5	41661 44233	 * 	266.31	橙橙2伤害1易伤	17伤害2额外掉落3加一4易伤5掉矿6时间8赏金邻近9a核
6	53612 52232	 * 	260.10	橙橙1易伤2攻速1暴击	1双倍秒伤26攻速3暴击4敌人爆炸5基础对冰78核9低血量敌人a易伤
7	53634 22232	   	260.00	橙橙1易伤2攻速1暴击	1双倍秒伤26攻速3暴击4低血量敌人5加农对毒78核9挖青a易伤
8	32333 21421	   	258.19	橙橙2易伤1平台	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a基地爆炸
9	32333 21422	   	258.19	橙橙2易伤1平台	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a低血量敌人
10	32333 21425	   	258.19	橙橙2易伤1平台	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a雷电
11	32333 21426	   	258.19	橙橙2易伤1平台	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a赏金邻近
12	32333 21423	   	258.09	橙橙2易伤1平台1策反	1金币生成2掉矿38易伤4平台5额外掉落6技能79核a策反
13	41622 33443	   	257.85	橙橙1易伤1伤害1矿等	1伤害2额外掉落3加一4双倍秒伤5金币生成6掉矿7矿等8易伤9a核
14	43312 63621	 * 	254.57	橙3易伤3伤害1矿等	17a伤害2挖青3赏金塔457易伤6随机矿7序列升级8核9矿等
15	32333 21224	   	250.07	橙橙1易伤1伤害1平台	1金币生成28掉矿3易伤4平台5额外掉落6技能79核a伤害
16	31161 11554	   	250.07	橙橙1易伤1伤害1平台	1金币生成2敌人爆炸3最后敌人4易伤5加一6导弹对毒79核8伤害a平台
17	41662 21233	   	248.82	橙橙1易伤1伤害	1伤害2额外掉落3加一4易伤5双倍矿6时间7等级8赏金邻近9a核
18	41662 23233	   	248.82	橙橙1易伤1伤害	1伤害2额外掉落3加一4易伤5双倍矿6时间7赏金邻近8金币生成9a核
19	11221 11553	   	248.62	橙橙1易伤1伤害	1立即金币2随机矿3双倍秒伤4时间5加一6爆破对冰79核8伤害a易伤
20	41626 44233	   	248.62	橙橙1易伤1伤害	1伤害2额外掉落3加一4双倍秒伤5挖青6时间7易伤8金币生成9a核
21	43312 63622	   	248.58	橙3易伤2伤害1矿等1平台	17伤害2挖青3赏金塔457易伤6随机矿7序列升级8核9矿等a平台
