0	Index      	 *	Score 	Summary	Detail	
1	41511 12342	 * 	301.90	橙橙4易伤	1345易伤2全技能6金币生成7最后敌人8a核9赏金邻近
2	44111 12342	   	301.90	橙橙4易伤	1235易伤4全技能6金币生成7最后敌人8a核9赏金邻近
3	61122 13246	   	299.77	橙橙2易伤1伤害1矿等1攻速	1掉矿2攻速34易伤5金币生成69核7矿等8双倍矿a伤害
4	42231 22352	   	293.89	橙橙2易伤1攻速1暴击	18易伤2敌人爆炸3平台4时间5额外掉落6攻速7a核9暴击
5	43231 22352	   	293.89	橙橙2易伤1攻速1暴击	18易伤2基地爆炸3平台4时间5额外掉落6攻速7a核9暴击
6	44121 12241	   	292.05	橙橙3易伤1伤害	123易伤4伤害5最后敌人69核7掉矿8双倍矿a随机矿
7	44121 12243	   	292.05	橙橙3易伤1伤害	123易伤4伤害5最后敌人69核7掉矿8双倍矿a赏金邻近
8	44121 12242	   	291.95	橙橙3易伤1伤害1挖怪	123易伤4伤害5最后敌人69核7掉矿8双倍矿a挖怪
9	41311 22662	   	289.52	橙橙3易伤2全技能	145易伤23全技能6赏金塔7a核8基地爆炸9随机矿
10	41311 51242	   	289.52	橙橙3易伤2全技能	145易伤23全技能6a核7最后敌人8金币生成9赏金邻近
11	41311 12342	   	289.52	橙橙3易伤2全技能	145易伤23全技能6金币生成7最后敌人8a核9赏金邻近
12	41311 33642	   	289.52	橙橙3易伤2全技能	145易伤23全技能6敌人爆炸7随机矿8a核9赏金邻近
13	41311 36342	   	289.52	橙橙3易伤2全技能	145易伤23全技能6敌人爆炸7金币生成8a核9赏金邻近
14	61123 13242	   	288.02	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5随机矿69核7矿等8双倍矿a时间
15	31513 63342	   	284.03	橙橙2易伤1矿等	1最后敌人2全技能39易伤4金币生成5双倍秒伤6矿等7时间8a核
16	21513 24342	   	281.75	橙橙3易伤	17挖尘2全技能357易伤47金币生成6立即金币7序列升级8a核9赏金邻近
17	21513 34342	   	281.75	橙橙3易伤	17挖尘2全技能357易伤467金币生成7序列升级8a核9赏金邻近
18	42231 62352	   	280.14	橙橙2易伤1暴击	18易伤2敌人爆炸3平台4时间5额外掉落6核弹7a核9暴击
19	43231 62352	   	280.14	橙橙2易伤1暴击	18易伤2基地爆炸3平台4时间5额外掉落6核弹7a核9暴击
20	61122 13241	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5金币生成69核7矿等8双倍矿a随机矿
21	61122 13243	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5金币生成69核7矿等8双倍矿a赏金邻近
22	61122 13244	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5a金币生成69核7矿等8双倍矿
23	61122 13245	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5金币生成69核7矿等8双倍矿a技能
24	61123 13241	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5a随机矿69核7矿等8双倍矿
25	61123 13244	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5随机矿69核7矿等8双倍矿a金币生成
26	61123 13245	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5随机矿69核7矿等8双倍矿a低血量敌人
27	61123 13246	   	279.71	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5随机矿69核7矿等8a双倍矿
28	61122 13242	   	279.61	橙橙2易伤1矿等1攻速1挖怪	1掉矿2攻速34易伤5金币生成69核7矿等8双倍矿a挖怪
29	61123 13243	   	279.61	橙橙2易伤1矿等1攻速	1掉矿2攻速34易伤5随机矿69核7矿等8双倍矿a挖尘
30	62223 61261	   	277.27	橙橙1易伤1伤害1矿等	13掉矿2金币生成4伤害5全技能69核7易伤8平台a矿等
31	34112 11633	 * 	274.83	橙橙2易伤2攻速	139最后敌人29易伤45技能6a核7核弹89攻速9序列升级
32	34113 11633	   	274.83	橙橙2易伤2攻速	139最后敌人29易伤4技能5双倍矿6a核7核弹89攻速9序列升级
33	42512 11633	   	274.83	橙橙2易伤2攻速	19易伤239敌人爆炸45技能6a核7核弹89攻速9序列升级
