0	Index      	 *	Score 	Summary	Detail	
1	52412 33343	 * 	283.65	DCR|DCR|2VULN|1DMG|2DUR	1aDUR|2DMG|3aTLV|4AME|5LHND|6aVULN|79RCR|8TBNT|aBPWR
2	32141 52151	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	14VULN|2BEXP|3SPLJET|5ASPD|6DMG|7LIT|8aRCR|9CGEN
3	36141 52131	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	14VULN|2LHND|3SPLJET|5ASPD|6DMG|7LIT|8aRCR|9CGEN
4	33333 35421	   	279.71	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2AELOIC|3TBNT|4MLV|5BBNT|6RMIN|7CDMG|8aRCR
5	36333 33421	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2LHND|3MDPS|4AME|5BBNT|6MLV|7CDMG|8aRCR
6	36334 33421	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2LHND|3MDPS|4AME|5TBNT|6MLV|7CDMG|8aRCR
7	22251 65122	 * 	272.81	ACR|DCR|3VULN|1DMG|1RPLT	1RPLT|2AAC|379VULN|46RCR|5LSRHEA|8DMG|aBBNT
8	22251 65123	   	272.81	ACR|DCR|3VULN|1DMG|1RPLT	1RPLT|2AAC|379VULN|46RCR|5LSRHEA|8DMG|aBELT
9	22251 65121	   	272.71	ACR|DCR|3VULN|1DMG|1RPLT	1RPLT|2AAC|379VULN|46RCR|5LSRHEA|8DMG|aAME
10	36533 23421	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2LHND|3CDMG|4TBNT|5MDPS|6AELOIC|7DUR|8aRCR
11	32116 52151	   	268.59	DCR|DCR|2VULN|1DMG	15VULN|2BEXP|3SPLJET|4AAC|6DMG|7LIT|8aRCR|9CGEN
12	32136 52151	   	268.35	DCR|DCR|2VULN|1DMG|1ZMB	15VULN|2BEXP|3SPLJET|4ZMB|6DMG|7LIT|8aRCR|9CGEN
13	52632 23216	 * 	266.51	DCR|DCR|2DMG|1VULN	1DUR|24DMG|34BEXP|4BPWR|5FEWX|6DUST|7aRCR|8VULN|9RCVC
14	26311 26513	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	13RPLT|2VULN|4LWND|5MLV|6FEWX|7ASPD|8aRCR|9ERES
15	52214 23116	   	265.52	ACR|DCR|2VULN|1DMG|1MLV	1DUR|2DMG|3aRCR|4CGEN|5MLV|6MDPS|7RMIN|89VULN
16	32313 42331	   	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5BBNT|7TLV|8CDMG|9aRCR
17	32314 42331	   	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5TBNT|7TLV|8CDMG|9aRCR
18	32356 52331	   	262.18	DCR|DCR|2VULN|1CDMG	15VULN|2BEXP|3MDPS|4BBNT|6CGEN|7TLV|8CDMG|9aRCR
19	33313 35421	   	262.18	DCR|DCR|2VULN|1CDMG	19VULN|2AELOIC|3TBNT|4CGEN|5BBNT|6RMIN|7CDMG|8aRCR
20	36313 42331	   	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4CGEN|5BBNT|7TLV|8CDMG|9aRCR
21	36314 42331	   	262.18	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4CGEN|5TBNT|7TLV|8CDMG|9aRCR
22	63512 16221	   	262.18	DCR|DCR|2VULN|1CDMG	1DUST|245LWND|3CDMG|6aRCR|79VULN|8LHND
23	32313 44331	   	262.08	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5BBNT|7AME|8CDMG|9aRCR
24	32314 44331	   	262.08	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5TBNT|7AME|8CDMG|9aRCR
25	32333 42331	   	262.08	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4AME|5BBNT|7TLV|8CDMG|9aRCR
