0	Index      	 *	Score 	Summary	Detail	
1	65512 33313	 * 	262.25	ACR|DCR|2VULN|1DMG|1MLV|1AART	1TLV|2DMG|39RCR|4AART|5MLV|6LHND|7aVULN|8LWND
2	11312 14613	 * 	261.86	DCR|DCR|2VULN|1AART	1AAC|2DUR|35LWND|4AART|6FEWX|7aVULN|89RCR
3	11312 34613	   	261.86	DCR|DCR|2VULN|1AART	1AAC|2DUR|35LWND|4AART|6LHND|7aVULN|89RCR
4	11512 14613	   	261.86	DCR|DCR|2VULN|1AART	17AAC|2DUR|3aVULN|4AART|5LWND|6FEWX|89RCR
5	11312 44613	   	261.76	DCR|DCR|2VULN|1AART	1AAC|2DUR|35LWND|4AART|6DUST|7aVULN|89RCR
6	11512 24613	   	261.76	DCR|DCR|2VULN|1AART	17AAC|2DUR|3aVULN|4AART|5LWND|6DUST|89RCR
7	11316 24613	   	261.66	DCR|DCR|2VULN|1AART	1AAC|2DUR|3LWND|4AART|56DUST|7aVULN|89RCR
8	14312 22213	 * 	260.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1ZMB	1AAC|2ZMB|3MDPS|4RPLT|5LIT|6CDMG|7DMG|8aRCR|9VULN
9	36113 33662	 * 	260.40	DCR|DCR|2MLV|1VULN|1AART	1AME|2BBNT|3CGEN|4RCVC|5aMLV|6AART|7VULN|89RCR
10	61216 21613	 * 	255.72	DCR|DCR|1VULN|1DMG|1AART	1TLV|2FEWX|3DMG|4AART|5DUR|6LWND|7CGEN|89RCR|aVULN
11	61216 23613	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1TLV|2FEWX|3DMG|4AART|5DUR|6LWND|7ERES|89RCR|aVULN
12	13112 14613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25LWND|3LHND|4AART|6FEWX|7aVULN|89RCR
13	13363 14613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|23LWND|4AART|5BEXP|6FEWX|7aVULN|89RCR
14	13363 34613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|23LWND|4AART|5BEXP|6LHND|7aVULN|89RCR
15	13512 11613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25LWND|3aVULN|4AART|6FEWX|7BEXP|89RCR
16	13512 15613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25LWND|3aVULN|4AART|6FEWX|7LHND|89RCR
17	13512 31613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25LWND|3aVULN|4AART|6LHND|7BEXP|89RCR
18	13513 12613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|2LWND|3aVULN|4AART|57BEXP|6FEWX|89RCR
19	13513 14613	   	253.56	DCR|DCR|2VULN|1AART	17AAC|2LWND|3aVULN|4AART|5BEXP|6FEWX|89RCR
20	15312 14613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|2BEXP|35LWND|4AART|6FEWX|7aVULN|89RCR
21	15312 34613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|2BEXP|35LWND|4AART|6LHND|7aVULN|89RCR
22	15313 14613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25BEXP|3LWND|4AART|6FEWX|7aVULN|89RCR
23	15313 34613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|25BEXP|3LWND|4AART|6LHND|7aVULN|89RCR
24	15512 12613	   	253.56	DCR|DCR|2VULN|1AART	1AAC|27BEXP|3aVULN|4AART|5LWND|6FEWX|89RCR
25	21412 14613	   	253.56	DCR|DCR|2VULN|1AART	1LHND|2aVULN|37AAC|4AART|5LWND|6FEWX|89RCR
26	51412 12613	   	253.56	DCR|DCR|2VULN|1AART	17BEXP|2aVULN|3AAC|4AART|5LWND|6FEWX|89RCR
27	13112 44613	   	253.46	DCR|DCR|2VULN|1AART	1AAC|25LWND|3LHND|4AART|6DUST|7aVULN|89RCR
28	13512 41613	   	253.46	DCR|DCR|2VULN|1AART	1AAC|25LWND|3aVULN|4AART|6DUST|7BEXP|89RCR
29	13513 22613	   	253.46	DCR|DCR|2VULN|1AART	1AAC|2LWND|3aVULN|4AART|57BEXP|6DUST|89RCR
30	13513 24613	   	253.46	DCR|DCR|2VULN|1AART	17AAC|2LWND|3aVULN|4AART|5BEXP|6DUST|89RCR
31	15512 22613	   	253.46	DCR|DCR|2VULN|1AART	1AAC|27BEXP|3aVULN|4AART|5LWND|6DUST|89RCR
32	21412 24613	   	253.46	DCR|DCR|2VULN|1AART	1LHND|2aVULN|37AAC|4AART|5LWND|6DUST|89RCR
33	51412 22613	   	253.46	DCR|DCR|2VULN|1AART	17BEXP|2aVULN|3AAC|4AART|5LWND|6DUST|89RCR
34	13116 24613	   	253.36	DCR|DCR|2VULN|1AART	1AAC|2LWND|3LHND|4AART|56DUST|7aVULN|89RCR
35	13516 21613	   	253.36	DCR|DCR|2VULN|1AART	1AAC|2LWND|3aVULN|4AART|56DUST|7BEXP|89RCR
36	21523 12613	   	253.31	DCR|DCR|2VULN|1AART|1ZMB	1LHND|2aVULN|37BEXP|4LWND|5AART|6ZMB|89RCR
