0	Index      	 *	Score 	Summary	Detail	
1	21616 32421	 * 	228.87	DCR|2VULN|2DMG|2ASPD|3CDMG|1DUR	1aASPD|2DUR|348CDMG|5aDMG|6aVULN|7MBVNT|9RCR|aBPWR
2	22222 16315	 * 	227.96	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	18ASPD|2CGEN|38DMG|48VULN|5DMSP|6AART|7RPLT|8BPWR|9CDMG|aRCR
3	23135 24114	 * 	224.23	DCR|2VULN|2AART|2ASPD|1DMG|1AAC|1ZMB	13ASPD|2AAC|4DMG|5ZMB|6aVULN|79AART|8RCR
4	24523 11114	 * 	224.20	DCR|2VULN|2AART|2DMG|1ASPD|1AAC	1ASPD|25DMG|3RMIN|4aVULN|69AART|7AAC|8RCR
5	24233 21113	 * 	221.20	DCR|3VULN|3DMG|1MDPS|1ASPD|1DUR	1ASPD|234DMG|5MDPS|6DUR|7RCR|89aVULN
6	23132 24114	   	220.84	DCR|2VULN|2AART|2ASPD|1DMG|1AAC	13ASPD|2AAC|4DMG|5RMIN|6aVULN|79AART|8RCR
7	21224 64634	 * 	220.55	DCR|3VULN|3ASPD|1NUKE|2DUR	158ASPD|28DUR|3MBVNT|4RPLT|689VULN|7RCR|8BPWR|aNUKE
8	22223 66141	 * 	220.13	DCR|3VULN|2DMG|2ASPD|1DUR	16ASPD|2CGEN|35DMG|467VULN|6BPWR|8DUR|9RCR|aRMIN
9	24233 21111	 * 	219.62	DCR|3DMG|2VULN|1MDPS|1ASPD|1CDMG|1DUR	1ASPD|234DMG|5MDPS|6DUR|7RCR|89VULN|aCDMG
10	21224 64632	 * 	216.34	DCR|4VULN|3ASPD|2DUR	158ASPD|28DUR|3MBVNT|4RPLT|689aVULN|7RCR|8BPWR
11	22223 66143	   	215.97	DCR|3VULN|2DMG|2ASPD|1DUR	16ASPD|2CGEN|35DMG|467VULN|6BPWR|8DUR|9RCR|aFEWX
12	22223 66142	   	215.87	DCR|3VULN|2DMG|2ASPD|1DUR|1MSE	16ASPD|2CGEN|35DMG|467VULN|6BPWR|8DUR|9RCR|aMSE
