0	Index      	 *	Score 	Summary	Detail	
1	54473 43141	 * 	219.13	DCR|2DMG|1MDPS|2ASPD|3ZMB|1VULN|1AART	17ASPD|2MBVNT|3AART|47DMG|578ZMB|6MDPS|7BPWR|9RCR|aVULN
2	51413 53112	 * 	218.77	DCR|3ASPD|2VULN|1AART|2CDMG|1DUR	127ASPD|3DUR|47CDMG|57VULN|6AART|7BPWR|8MBVNT|9ERES|aRCR
3	51413 53122	 * 	218.77	DCR|3ASPD|2VULN|1AART|2CDMG|1NUKE|1DUR	127ASPD|3DUR|47CDMG|57VULN|6AART|7BPWR|8MBVNT|9NUKE|aRCR
4	54474 22413	 * 	215.65	DCR|3VULN|2ASPD|1AART|1DMG	15ASPD|2MBVNT|3AART|4DMG|6LIT|79aVULN|8RCR
5	54474 34231	   	215.55	DCR|3VULN|2ASPD|1AART|1DMG	15ASPD|2MBVNT|3AART|4DMG|69aVULN|7DUST|8RCR
6	54474 22433	 * 	213.90	DCR|2VULN|2AART|2ASPD|1DMG	15ASPD|2MBVNT|39AART|4DMG|6LIT|7aVULN|8RCR
7	54474 34234	   	213.80	DCR|2VULN|2AART|2ASPD|1DMG	15ASPD|2MBVNT|3aAART|4DMG|69VULN|7DUST|8RCR
8	56142 11121	 * 	213.76	DCR|2DMG|1VULN|1AART|1ASPD|3DUR|1CDMG	1ASPD|237DUR|45DMG|6CDMG|8AART|9RCR|aVULN
9	51515 21222	 * 	212.75	DCR|3ASPD|2VULN|1AART|1DMG|1AAC	124ASPD|3DMG|5AAC|6AART|7RCR|8aVULN|9MLV
10	51633 62223	 * 	212.12	DCR|3VULN|2ASPD|1DMG|1CDMG	12ASPD|3CDMG|4DUST|59aVULN|6RCR|7DMG|8MLV
11	51633 51231	 * 	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	12ASPD|3CDMG|4DUST|59aVULN|6AART|7RPLT|8RCR
12	54474 33231	   	211.37	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	15ASPD|2MBVNT|3AART|4DMG|6aVULN|79DUR|8RCR
13	51413 62111	 * 	211.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	12ASPD|39DUR|4CDMG|5VULN|6RCR|7DMG|8VENFST|aAART
14	51514 13323	 * 	211.02	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	124ASPD|3DMG|5LIT|6VULN|7CDMG|8DUR|9AART|aRCR
15	51613 11334	   	210.66	DCR|3ASPD|2VULN|1AART|2CDMG	128ASPD|38CDMG|4CGEN|5MLV|6AART|78VULN|8BPWR|9RPLT|aRCR
16	51313 43323	   	210.22	DCR|3VULN|2ASPD|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5MLV|69aVULN|7RCR|8DMG
17	51633 33323	   	210.12	DCR|3VULN|2ASPD|1DMG|1CDMG	12ASPD|3CDMG|4DUST|59aVULN|6MLV|7RCR|8DMG
18	51633 33326	 * 	209.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|3CDMG|4DUST|59VULN|6MLV|7RCR|8aDMG
19	51512 61111	 * 	209.21	DCR|3VULN|3ASPD|1DMG|1DUR	124ASPD|3DMG|589VULN|6CGEN|7DUR|aRCR
20	11613 25235	   	209.13	DCR|3ASPD|2VULN|1AART|1CDMG	1aAME|26aASPD|3ERES|4CDMG|5aVULN|7RCR|8AART|9RPLT|aBPWR
21	51512 31111	   	209.11	DCR|3VULN|3ASPD|1DMG|1DUR	124ASPD|3DMG|589VULN|6ERES|7DUR|aRCR
22	11613 25216	   	208.93	DCR|3ASPD|2VULN|1AART|1CDMG	1AME|26aASPD|3ERES|4CDMG|59VULN|7RCR|8AART
23	54474 22411	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	15ASPD|2MBVNT|3AART|4DMG|6LIT|79VULN|8RCR|aZMB
24	51413 51231	   	207.66	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	12ASPD|39DUR|4CDMG|5aVULN|6AART|7RPLT|8RCR
25	14133 53632	 * 	206.54	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AME|2CDMG|3ASPD|46VULN|5DUR|7RCR|8DMG|9FEWX|aNUKE
26	51413 15231	   	206.43	DCR|3ASPD|2VULN|2CDMG|2DUR	12aASPD|36DUR|4aCDMG|5aVULN|7RCR|8RPLT|9BELT|aBPWR
27	14133 53113	 * 	206.25	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|2DUR	1AME|2CDMG|3ASPD|46VULN|59DUR|7RCR|8SPLARM|aDMG
28	51413 61313	   	206.17	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR|1SELL	12ASPD|3DUR|4CDMG|58VULN|6RCR|7SELL|9AELBLL|aAART
29	54474 32232	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2MBVNT|3AART|4DMG|6aVULN|7BEXP|8RCR|9DUR
30	51413 62131	   	206.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	12ASPD|3DUR|4CDMG|5VULN|6RCR|7DMG|8VENFST|9AELBLL|aAART
31	51315 33334	 * 	206.05	DCR|3ASPD|2DMG|1AART|2CDMG	12aASPD|3BEXP|4aCDMG|5AART|6FEWX|7TSLFST|8aDMG|9RCR|aBPWR
32	54474 33212	   	206.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2MBVNT|3AART|4DMG|6aVULN|7DUR|8RCR|9DUST
33	11613 25212	 * 	205.37	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AME|26ASPD|3ERES|4CDMG|59VULN|7RCR|8AART|aMDPS
34	51533 11262	   	205.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	12ASPD|3DMG|4CDMG|5MLV|6AART|7VULN|8aDUR|9RCR
35	14133 53623	   	204.64	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|2CDMG|3ASPD|469VULN|5DUR|7RCR|8DMG|aRCVC
36	14133 53621	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|2CDMG|3ASPD|469VULN|5DUR|7RCR|8DMG|aFEWX
37	14133 53622	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|2CDMG|3ASPD|469VULN|5DUR|7RCR|8DMG|aMLV
38	21662 15121	 * 	204.11	DCR|2DMG|1VULN|1AART|2CDMG|3DUR	127DUR|3ERES|4RCVC|57DMG|67CDMG|7BPWR|8AART|9RCR|aVULN
39	52142 12531	   	204.08	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	19ASPD|2AELBLL|39LHND|45DMG|6CDMG|79VULN|8AAC|9BPWR|aRCR
40	52342 12531	   	204.08	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	19ASPD|2AELBLL|39BEXP|45DMG|6CDMG|79VULN|8AAC|9BPWR|aRCR
41	51342 12131	   	203.98	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|3BEXP|45DMG|6CDMG|78VULN|9RMIN|aRCR
42	51522 12131	   	203.98	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|35DMG|4BEXP|6CDMG|78VULN|9RMIN|aRCR
43	52511 15132	   	203.98	DCR|2VULN|2DMG|2ASPD|1CDMG	14ASPD|2AELBLL|38DMG|57VULN|6CDMG|9LIT|aRCR
44	51142 12131	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|3LHND|45DMG|6CDMG|78VULN|9TLV|aRCR
45	51542 12131	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|35DMG|4FEWX|6CDMG|78VULN|9TLV|aRCR
46	51552 12131	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ASPD|35DMG|4LHND|6CDMG|78VULN|9TLV|aRCR
47	54474 22431	   	203.85	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB	15ASPD|2MBVNT|39AART|4DMG|6LIT|7VULN|8RCR|aZMB
48	11613 25213	   	203.44	DCR|2VULN|2ASPD|1AART|2CDMG	1AME|26ASPD|3ERES|4aCDMG|59VULN|7RCR|8AART
49	51633 53112	   	202.83	DCR|3ASPD|2VULN|1AART|1CDMG	127ASPD|3CDMG|47DUST|57VULN|6AART|7BPWR|8MBVNT|9ERES|aRCR
50	51633 53122	   	202.83	DCR|3ASPD|2VULN|1AART|1NUKE|1CDMG	127ASPD|3CDMG|47DUST|57VULN|6AART|7BPWR|8MBVNT|9NUKE|aRCR
51	51514 13223	   	202.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	124ASPD|3DMG|5LIT|6VULN|7CDMG|8BEXP|9AART|aRCR
52	51413 62221	   	202.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	12ASPD|3DUR|4CDMG|59VULN|6RCR|7DMG|8MLV|aFEWX
