0	Index      	 *	Score 	Summary	Detail	
1	25212 12315	 * 	218.34	DCR|3VULN|1AART|1DMG|1NUKE|3DUR	1BEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR|aNUKE
2	62111 43335	 * 	211.59	DCR|3VULN|3ASPD|1CDMG|1DUR	149ASPD|29AME|3DUR|5FEWX|689VULN|7RCR|9BPWR|aCDMG
3	62113 43335	   	211.59	DCR|3VULN|3ASPD|1CDMG|1DUR	149ASPD|29AME|3DUR|5BEXP|689VULN|7RCR|9BPWR|aCDMG
4	62111 43334	 * 	211.19	DCR|4VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5FEWX|689aVULN|7RCR|9BPWR
5	62113 43334	   	211.19	DCR|4VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5BEXP|689aVULN|7RCR|9BPWR
6	25213 43336	 * 	210.89	DCR|3VULN|2DMG|1ASPD|2DUR	1BEXP|248VULN|34DUR|4BPWR|5ERES|6aDMG|7RCR|9ASPD
7	25213 43332	 * 	209.15	DCR|4VULN|1ASPD|1DMG|2DUR	1BEXP|248aVULN|34DUR|4BPWR|5ERES|6DMG|7RCR|9ASPD
8	25213 43331	 * 	207.53	DCR|3VULN|2ASPD|1DMG|2DUR	1BEXP|248VULN|34DUR|4BPWR|5ERES|6DMG|7RCR|9aASPD
9	25312 64333	   	207.29	DCR|3VULN|2DMG|1ASPD|2SPLREG	18BEXP|245VULN|345FEWX|458BPWR|68DMG|78SPLREG|9RCR|aASPD
10	62111 43336	   	205.68	DCR|3VULN|3ASPD|1ZMB|1DUR	149ASPD|29AME|3DUR|5FEWX|689VULN|7RCR|9BPWR|aZMB
11	62113 43336	   	205.68	DCR|3VULN|3ASPD|1ZMB|1DUR	149ASPD|29AME|3DUR|5BEXP|689VULN|7RCR|9BPWR|aZMB
12	61212 51511	 * 	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1ASPD|2AAC|3ERES|47VULN|5LWND|6RCR|8AART|9CDMG|aDMG
13	25213 43311	   	203.64	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	1BEXP|248VULN|34DUR|4BPWR|5ERES|6DMG|7RCR|9ZMB|aASPD
14	62311 43335	   	203.29	DCR|3VULN|3ASPD|1CDMG	149ASPD|29AME|3BEXP|5FEWX|689VULN|7RCR|9BPWR|aCDMG
15	63211 43335	   	203.29	DCR|3VULN|3ASPD|1CDMG	149ASPD|29BEXP|3MLV|5FEWX|689VULN|7RCR|9BPWR|aCDMG
16	62311 43334	   	202.88	DCR|4VULN|3ASPD	149ASPD|29AME|3BEXP|5FEWX|689aVULN|7RCR|9BPWR
17	63211 43334	   	202.88	DCR|4VULN|3ASPD	149ASPD|29BEXP|3MLV|5FEWX|689aVULN|7RCR|9BPWR
18	25222 43335	 * 	202.14	DCR|3VULN|2DMG|1CDMG|1DUR	159BEXP|289VULN|3DUR|45CGEN|59BPWR|69DMG|7RCR|aCDMG
19	21422 43336	 * 	201.63	DCR|4VULN|2DMG|1DUR	19BEXP|2DMSP|39DMG|4DUR|5AME|689aVULN|7RCR|9BPWR
20	21423 43336	   	201.63	DCR|4VULN|2DMG|1DUR	19BEXP|2DMSP|39DMG|4DUR|5MLV|689aVULN|7RCR|9BPWR
21	25222 43332	 * 	201.54	DCR|3VULN|3DMG|1DUR	159BEXP|289VULN|3DUR|45CGEN|59BPWR|69aDMG|7RCR
22	35322 43336	   	201.53	DCR|4VULN|2DMG|1DUR	1LEGI|2DMSP|39DMG|4DUR|59AME|689aVULN|7RCR|9BPWR
23	35323 43336	   	201.53	DCR|4VULN|2DMG|1DUR	1LEGI|2DMSP|39DMG|4DUR|59MLV|689aVULN|7RCR|9BPWR
24	25213 43316	   	201.16	DCR|3VULN|2DMG|2DUR|1ZMB	1BEXP|248VULN|34DUR|4BPWR|5ERES|6aDMG|7RCR|9ZMB
25	25215 12315	   	200.41	DCR|2VULN|1AART|1DMG|1NUKE|3DUR	1BEXP|24VULN|345DUR|4BPWR|6LIT|7DMG|8AART|9RCR|aNUKE
26	25262 12315	   	200.41	DCR|2VULN|1AART|1DMG|1NUKE|3DUR	1BEXP|25VULN|345DUR|5BPWR|6LIT|7DMG|8AART|9RCR|aNUKE
27	36562 33312	   	199.99	DCR|4VULN|2ASPD|1ZMB	1LEGI|2LHND|358aVULN|45ASPD|5BPWR|6ERES|7RCR|9ZMB
28	31341 42334	 * 	199.76	DCR|2VULN|2AART|1ASPD|1CDMG	1LEGI|24AART|3LIT|5ERES|6RCR|7CDMG|89VULN|aASPD
29	25312 12315	   	199.73	DCR|3VULN|1AART|1DMG|1NUKE	1BEXP|245VULN|345FEWX|45BPWR|6LIT|7DMG|8AART|9RCR|aNUKE
30	25213 43314	   	199.42	DCR|4VULN|1DMG|2DUR|1ZMB	1BEXP|248aVULN|34DUR|4BPWR|5ERES|6DMG|7RCR|9ZMB
31	25213 43333	 * 	198.36	DCR|3VULN|1ASPD|1DMG|3DUR	1BEXP|248VULN|34aDUR|4BPWR|5ERES|6DMG|7RCR|9ASPD
32	25212 12311	   	198.27	DCR|3VULN|1AART|1DMG|3DUR	1aBEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR
33	25212 12312	   	198.27	DCR|3VULN|1AART|1DMG|3DUR	1BEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR|aCGEN
34	25212 12313	   	198.27	DCR|3VULN|1AART|1DMG|3DUR	1BEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR|aAME
35	62122 43336	   	198.27	DCR|4VULN|2ASPD|1DUR	19ASPD|29AME|3DUR|45LHND|689aVULN|7RCR|9BPWR
