0	Index      	 *	Score 	Summary	Detail	
1	14122 32332	 * 	190.88	DCR|3VULN|3DMG|3ASPD	178DMG|2RMIN|39aVULN|478ASPD|578ERES|6RCR|78BPWR
2	44333 62212	 * 	188.93	ACR|3DMG|1AART|1VULN|2DUR|1ZMB	1aCGEN|2RCR|36aDMG|4RPLT|5ZMB|7AART|8VULN|9aDUR|aBPWR
3	14314 26162	 * 	187.76	DCR|3DMG|2VULN|2CDMG|2DUR	18aDMG|2RMIN|3MBVNT|4aLWND|58DUR|6RCR|78CDMG|8aBPWR|9aVULN
4	14341 26162	   	187.76	DCR|3DMG|2VULN|2CDMG|2DUR	18aDMG|2RMIN|3MBVNT|4aDUR|58LWND|6RCR|78CDMG|8aBPWR|9aVULN
5	11353 61316	 * 	186.46	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|2LHND|49AART|5BEXP|6aVULN|7RCR|8ZMB
6	13353 61316	   	186.46	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|2LWND|49AART|5BEXP|6aVULN|7RCR|8ZMB
7	11351 23326	 * 	186.02	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	13DMG|2LHND|4AART|5SELL|67VULN|8RCR|9CDMG|aZMB
8	13351 25326	 * 	186.02	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	13DMG|2LWND|4AART|5SELL|67VULN|8RCR|9CDMG|aZMB
9	15351 23326	 * 	186.02	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	13DMG|2BEXP|4AART|5SELL|67VULN|8RCR|9CDMG|aZMB
10	16312 36231	 * 	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|2BPWR|3ERES|4DUST|5DUR|6RCR|7AART|8CDMG|9aVULN
11	14122 32416	   	184.67	DCR|3VULN|3DMG|2ASPD	17aDMG|2RMIN|39aVULN|47ASPD|57ERES|6RCR|7aBPWR|8aLIT
12	15352 53331	 * 	184.09	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	136DMG|2BEXP|4AART|5ZMB|7SELL|8RCR|9VULN|aCDMG
13	14323 42347	 * 	182.66	DCR|4VULN|3DMG|1ASPD	178DMG|2RMIN|3MBVNT|4ASPD|578CGEN|6789VULN|78BPWR|aRCR
14	11355 35321	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	13DMG|2LHND|4AART|5CDMG|6CGEN|7aVULN|8RCR|9ASPD
15	44321 42311	 * 	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1CGEN|2RCR|3DMG|4ASPD|5CDMG|6aVULN|79DUR|8AART
16	11353 52633	 * 	182.01	DCR|3DMG|2VULN|1AART|1DUR	13aDMG|2LHND|4AART|5aBEXP|6DUR|7LIT|8aVULN|9RCR|aBPWR
17	11351 23323	   	181.96	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	13DMG|2LHND|4AART|5SELL|67VULN|8RCR|9CDMG|aASPD
18	13351 25323	   	181.96	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	13DMG|2LWND|4AART|5SELL|67VULN|8RCR|9CDMG|aDUR
19	15351 23323	   	181.96	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	13DMG|2BEXP|4AART|5SELL|67VULN|8RCR|9CDMG|aASPD
20	44333 22362	 * 	181.79	ACR|2VULN|2DMG|1AART|2ZMB	1aCGEN|2RCR|37DMG|4RPLT|5aZMB|6MBVNT|8AART|9aVULN|aBPWR
21	44333 62211	 * 	181.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2RCR|36DMG|4RPLT|5ZMB|7AART|8VULN|9DUR|aCDMG
22	12325 45312	 * 	180.57	DCR|4VULN|2DMG|1CDMG|1SELL	1aDMG|2aFEWX|3SELL|4MLV|5CDMG|689aVULN|7RCR|aBPWR
23	11332 45331	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13DMG|2LHND|4CDMG|5CGEN|6DUR|7AART|8RCR|9aVULN
24	13332 45331	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13DMG|2LWND|4CDMG|5CGEN|6DUR|7AART|8RCR|9aVULN
25	11353 61532	   	179.87	DCR|3DMG|2VULN|1AART	139DMG|28LHND|4AART|59BEXP|69VULN|7RCR|9BPWR|aLIT
26	11353 61533	   	179.87	DCR|3DMG|2VULN|1AART	139DMG|28LHND|4AART|59BEXP|69VULN|7RCR|9BPWR|aRPLT
27	14222 16352	   	179.87	DCR|3DMG|2VULN|1AART	15aDMG|2RMIN|3LWND|4aCGEN|6RCR|7RPLT|8AART|9aVULN|aBPWR
28	11351 23313	   	179.76	DCR|2AART|2VULN|2DMG|1ASPD|1SELL	13DMG|2LHND|4aAART|5SELL|67VULN|8RCR|9ASPD
29	13351 25313	   	179.76	DCR|2AART|2VULN|2DMG|1ASPD|1SELL	13DMG|2LWND|4aAART|5SELL|67VULN|8RCR|9ASPD
30	13336 14553	 * 	179.74	DCR|3DMG|1AART|1VULN|2CDMG	139DMG|269LWND|49CDMG|5MBVNT|7RCR|8AART|9BPWR|aVULN
31	11356 36323	 * 	179.74	DCR|3DMG|1AART|3ASPD|1VULN	137DMG|2LHND|4AART|57FEWX|67aASPD|7BPWR|8RCR|9VULN
32	13356 36323	   	179.74	DCR|3DMG|1AART|3ASPD|1VULN	137DMG|2LWND|4AART|57FEWX|67aASPD|7BPWR|8RCR|9VULN
33	15353 36323	   	179.74	DCR|3DMG|1AART|1VULN|3ASPD	137DMG|2BEXP|4AART|57FEWX|67aASPD|7BPWR|8RCR|9VULN
34	14346 24362	   	178.85	DCR|3DMG|2VULN|1CDMG|2DUR	16aDMG|2RMIN|3MBVNT|4aDUR|5CDMG|7RCR|8LWND|9aVULN|aBPWR
35	16125 22341	 * 	178.58	DCR|3DMG|3CDMG|1AART|1VULN	127DMG|27BPWR|36RPLT|457CDMG|8AART|9VULN|aRCR
36	14321 82624	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	19DMG|2RMIN|3MBVNT|4ASPD|5CDMG|6RCR|7AART|8ZMB|aVULN
37	44333 62131	   	178.34	ACR|2VULN|2DMG|1AART|1ZMB	1CGEN|2RCR|36DMG|4RPLT|5ZMB|7AART|8ERES|9aVULN
38	13332 55431	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|4CDMG|5CGEN|6RCR|7AART|8LHND|9aVULN
39	44333 33352	   	178.04	ACR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2RCR|3aDMG|4RPLT|5ZMB|6LHND|7RCVC|8AART|9aVULN|aBPWR
40	11332 55122	   	177.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13DMG|2LHND|49CDMG|5CGEN|6RCR|7AART|8ZMB|aVULN
