0	Index      	 *	Score 	Summary	Detail	
1	23645 31436	 * 	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58aVULN|6RCR|7LIT|9DMG
2	11523 12561	 * 	175.97	ACR|2VULN|2DMG|1AART|2DUR	123ERES|2aBPWR|4RCR|5AART|6aDUR|7LWND|8aVULN|9aDMG
3	16133 13663	 * 	174.99	ACR|2VULN|2DMG|1AART|2ZMB	189ERES|2aVULN|3RPLT|4aZMB|5RCR|6aDMG|7AART|aBPWR
4	23231 16615	 * 	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4FEWX|59aVULN|6CDMG|7DMG|8RCR
5	23535 43232	 * 	173.96	DCR|3DMG|2AART|2ZMB|1ASPD	1DLOT|23AART|49ZMB|5ASPD|69DUST|79aDMG|8RCR|9BPWR
6	23511 42412	 * 	172.85	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DLOT|23AART|4ASPD|5DMSP|69VULN|7RCR|8DUR|aDMG
7	23532 33334	 * 	172.77	DCR|2AART|2DMG|3CDMG|2ZMB	1DLOT|23AART|49ZMB|5RPLT|69DMG|789CDMG|9BPWR|aRCR
8	23515 42112	 * 	172.52	DCR|2AART|2VULN|1DMG|2ASPD	1DLOT|23AART|45ASPD|69VULN|7RCR|8FEWX|aDMG
9	23515 42212	   	172.42	DCR|2AART|2VULN|1DMG|2ASPD	1DLOT|23AART|45ASPD|69VULN|7RCR|8DUST|aDMG
10	23645 31423	   	172.28	DCR|2AART|2VULN|1DMG|1ZMB	1DLOT|29AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|aDMG
11	23111 54136	 * 	171.93	DCR|3DMG|1AART|1VULN|1CDMG	1DLOT|2AART|3LIT|46aDMG|5AIRHEL|7VULN|8CDMG|9RCR
12	23512 53334	 * 	171.46	DCR|2AART|2DMG|3CDMG|2ASPD	1DLOT|23AART|49ASPD|5RPLT|69DMG|789CDMG|9BPWR|aRCR
13	23645 33416	   	170.07	DCR|3VULN|1AART|1CDMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|59aVULN|6RCR|7RPLT|8CDMG
14	23231 16616	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DLOT|2AART|3RPLT|4FEWX|59VULN|6CDMG|7DMG|8RCR|aZMB
15	23645 37241	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DLOT|2AART|3MBVNT|4ZMB|5aVULN|6RCR|7DMG|8ASPD|9BELT
16	23645 37111	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8FEWX|aDUR
17	23645 37311	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8BEXP|aDUR
18	21623 55223	 * 	166.91	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aLHND|59VULN|6RCR|7CGEN|8aDMG|aBPWR
19	12433 54222	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2BASICY|3LIT|4DMG|57VULN|6RCR|8AART|9CDMG|aASPD
20	21623 51223	   	166.81	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aLHND|59VULN|6RCR|7ERES|8aDMG|aBPWR
21	21643 51223	   	166.81	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aLWND|59VULN|6RCR|7ERES|8aDMG|aBPWR
22	42121 33653	   	166.78	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1BEXP|2FEWX|3DMG|4ZMB|56ASPD|7AART|8RCR|9aVULN
23	11523 13232	 * 	166.70	ACR|2VULN|3ZMB|1AART|2DUR	123ERES|29BPWR|4RCR|5AART|69DUR|79VULN|89aZMB
24	51535 23211	 * 	166.69	DCR|2VULN|1AART|3ASPD|1DMG	124ASPD|2BPWR|3DMG|5aVULN|6RCR|7AART|8MBVNT|9TLV
25	51535 23311	   	166.69	DCR|2VULN|1AART|3ASPD|1DMG	124ASPD|2BPWR|3DMG|5aVULN|6RCR|7AART|8DUST|9TLV
26	51535 23123	   	166.54	DCR|2VULN|1AART|3ASPD|1DMG|1SELL	124ASPD|2BPWR|3DMG|5aVULN|6RCR|7AART|8SELL|9MBVNT
27	51535 23133	   	166.54	DCR|2VULN|1AART|3ASPD|1DMG|1SELL	124ASPD|2BPWR|3DMG|5aVULN|6RCR|7AART|8SELL|9DUST
28	23511 42112	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1DLOT|23AART|4ASPD|5DMSP|69VULN|7RCR|8FEWX|aDMG
29	23511 42512	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1DLOT|23AART|4ASPD|5DMSP|69VULN|7RCR|8LWND|aDMG
30	23511 42612	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1DLOT|23AART|4ASPD|5DMSP|69VULN|7RCR|8BEXP|aDMG
31	23645 31425	 * 	165.86	DCR|2AART|2VULN|1FLTHEA|1ZMB	1DLOT|29AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|aFLTHEA
32	23511 42212	   	165.81	DCR|2AART|2VULN|1DMG|1ASPD	1DLOT|23AART|4ASPD|5DMSP|69VULN|7RCR|8DUST|aDMG
33	23153 63263	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DLOT|2AART|3LIT|4LWND|5DUR|6VULN|79DMG|8RCR|aCDMG
34	23231 16653	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DLOT|2AART|3RPLT|4FEWX|5aVULN|6CDMG|7DMG|8RCR|9DUR
35	23263 21613	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DLOT|2AART|3RPLT|4CDMG|5DMG|6FEWX|7DUR|8RCR|9aVULN
36	23231 16611	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DLOT|2AART|3RPLT|4FEWX|59VULN|6CDMG|7DMG|8RCR|aDUR
37	23241 16611	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DLOT|2AART|3RPLT|4DUST|59VULN|6CDMG|7DMG|8RCR|aDUR
38	23231 13615	   	165.37	DCR|3VULN|1AART|1CDMG|1ZMB	1DLOT|2AART|3RPLT|4FEWX|59aVULN|6CDMG|7ZMB|8RCR
39	51443 21111	   	165.34	DCR|1AART|1VULN|3ASPD|1DMG|1ZMB|1DUR	123ASPD|2BPWR|4DUR|5ZMB|6RCR|7MBVNT|8VULN|9DMG|aAART
40	23241 13615	   	165.27	DCR|3VULN|1AART|1CDMG|1ZMB	1DLOT|2AART|3RPLT|4DUST|59aVULN|6CDMG|7ZMB|8RCR
41	16133 13512	 * 	165.00	ACR|2VULN|2AART|1DMG|1ZMB	1ERES|2aVULN|3RPLT|4ZMB|5RCR|6DMG|78AART|9MLV
42	16133 13532	   	164.90	ACR|2VULN|2AART|1DMG|1ZMB	1ERES|2aVULN|3RPLT|4ZMB|5RCR|6DMG|78AART|9TLV
43	12152 41223	 * 	164.88	ACR|4VULN|2DMG	1aERES|2BASICY|379aVULN|4LIT|5RCR|6LHND|8aDMG|aBPWR
44	12152 61223	   	164.78	ACR|4VULN|2DMG	1aERES|2BASICY|379aVULN|4LIT|5RCR|6DUST|8aDMG|aBPWR
45	14143 13432	   	164.44	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	18ERES|2FEWX|3RPLT|48ZMB|5RCR|68DMG|7AART|8BPWR|9VULN|aDUR
46	52161 11235	 * 	164.34	DCR|3VULN|2DMG|1DUR|1ASPD	1ASPD|2MLV|37aVULN|4BEXP|59DMG|6DUR|8RCR
47	51533 12125	 * 	164.16	ACR|3VULN|3ASPD|1DMG|1ZMB	124ASPD|2BPWR|3DMG|5RCR|6LWND|78aVULN|9ZMB
48	51533 32125	   	164.16	ACR|3VULN|3ASPD|1DMG|1ZMB	124ASPD|2BPWR|3DMG|5RCR|6BEXP|78aVULN|9ZMB
49	11523 13562	   	163.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	123ERES|2BPWR|4RCR|5AART|6DUR|78VULN|9DMG|aZMB
50	23531 42412	   	163.79	DCR|2AART|2VULN|1ZMB|1DUR|1ASPD	1DLOT|23AART|4ZMB|5DMSP|69VULN|7RCR|8DUR|aASPD
51	23231 16641	 * 	163.64	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DLOT|2aAART|3RPLT|4FEWX|5VULN|6CDMG|7DMG|8RCR|9ZMB
52	23111 54131	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DLOT|2AART|3LIT|46DMG|5AIRHEL|7VULN|8CDMG|9RCR|aDUR
53	23643 31713	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|5DMG|6FEWX|7DUR|8RCR|9aVULN
54	23643 81713	   	162.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|5DMG|6DUST|7DUR|8RCR|9aVULN
55	42121 33615	 * 	162.84	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1BEXP|2FEWX|3DMG|4ZMB|56ASPD|7AART|8RCR|9CDMG|aVULN
56	62121 33615	   	162.84	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1LHND|2FEWX|3DMG|4ZMB|56ASPD|7AART|8RCR|9CDMG|aVULN
57	51535 23213	 * 	162.75	DCR|1AART|1VULN|3ASPD|1DMG|1CDMG	124ASPD|2BPWR|3DMG|5VULN|6RCR|7AART|8MBVNT|9TLV|aCDMG
58	51535 23313	   	162.75	DCR|1AART|1VULN|3ASPD|1DMG|1CDMG	124ASPD|2BPWR|3DMG|5VULN|6RCR|7AART|8DUST|9TLV|aCDMG
59	23533 34311	 * 	162.18	DCR|3VULN|2AART|2ZMB|1SELL	1DLOT|23AART|47ZMB|57LHND|679VULN|7BPWR|8SELL|aRCR
60	51533 62123	 * 	162.03	ACR|2VULN|2DMG|3ASPD|1DUR	124ASPD|2BPWR|3aDMG|5RCR|6LHND|78VULN|9DUR
61	12433 52412	   	161.88	DCR|3VULN|1AART|1DMG	1ERES|2BASICY|3LIT|4DMG|59aVULN|6RCR|7FEWX|8AART
62	12433 53412	   	161.88	DCR|3VULN|1AART|1DMG	1ERES|2BASICY|3LIT|4DMG|59aVULN|6RCR|7LWND|8AART
63	16133 43314	   	161.79	ACR|3VULN|2DMG|1ZMB	1ERES|27aVULN|3RPLT|4ZMB|5RCR|6LSRICY|89DMG
64	16133 62314	   	161.79	ACR|3VULN|2DMG|1ZMB	1ERES|26aVULN|3RPLT|4ZMB|5RCR|7MGNSTR|89DMG
65	51535 21131	 * 	161.75	DCR|2VULN|3ASPD|1DMG|2CDMG	124ASPD|2BPWR|3DMG|58VULN|6RCR|7MBVNT|9aCDMG
66	23322 12636	   	161.71	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DLOT|29AART|3ASPD|4DUR|5LHND|6CDMG|7VULN|8DMG|aRCR
67	23324 11636	   	161.71	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DLOT|29AART|3ASPD|4DUR|5VULN|6CDMG|7LHND|8DMG|aRCR
68	23645 37211	   	161.63	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD	1DLOT|2aAART|3MBVNT|4ZMB|5VULN|6RCR|7DMG|8ASPD|9LWND
69	23645 37231	   	161.63	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD	1DLOT|2aAART|3MBVNT|4ZMB|5VULN|6RCR|7DMG|8ASPD|9BEXP
70	23645 37221	   	161.53	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD	1DLOT|2aAART|3MBVNT|4ZMB|5VULN|6RCR|7DMG|8ASPD|9DUST
71	23645 33411	   	161.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7RPLT|8CDMG|aDUR
72	23645 35244	   	161.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|57VULN|6RCR|8BEXP|9CDMG|aDUR
73	23645 33463	   	161.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|5aVULN|6RCR|7RPLT|8CDMG|9DUR
74	23214 36334	   	161.32	DCR|2DMG|1AART|3CDMG|2ZMB	1DLOT|2AART|3RPLT|4RCVC|589CDMG|69ZMB|79DMG|9BPWR|aRCR
75	23645 35344	   	161.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DLOT|2AART|3MBVNT|4ZMB|57VULN|6RCR|8DUST|9CDMG|aDUR
76	12137 57242	 * 	161.12	DCR|3VULN|3DMG	17ERES|2BASICY|378VULN|4MBVNT|567DMG|7BPWR|9RPLT|aRCR
77	11523 52223	 * 	160.90	ACR|2VULN|1AART|2CDMG|2ZMB	123ERES|2aBPWR|4RCR|5AART|6aVULN|7LWND|8aZMB|9aCDMG
78	23513 34311	 * 	160.87	DCR|3VULN|2AART|2ASPD|1SELL	1DLOT|23AART|47ASPD|57LHND|679VULN|7BPWR|8SELL|aRCR
79	23431 31356	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3DUST|4FEWX|5aVULN|6RCR|7ZMB|8BELT|9DMG
80	23432 31213	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3DUST|4FEWX|5BEXP|6RCR|7ZMB|8DMG|9aVULN
81	23432 31215	   	160.83	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2AART|3DUST|4FEWX|5BEXP|6RCR|7ZMB|8aDMG|9VULN
82	23642 38116	   	160.83	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5LHND|6RCR|7aDMG|8FEWX|9VULN
83	23642 38316	   	160.83	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5LHND|6RCR|7aDMG|8BEXP|9VULN
84	23642 38426	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5LHND|6RCR|7DMG|8RCVC|9aVULN
85	23644 38116	   	160.83	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5LWND|6RCR|7aDMG|8FEWX|9VULN
86	23644 38316	   	160.83	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5LWND|6RCR|7aDMG|8BEXP|9VULN
87	23645 31336	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|5aVULN|6RCR|7LIT|8RCVC|9DMG
88	23645 31413	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9LHND|aDMG
89	23645 31432	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aBEXP
90	23645 31434	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aCGEN
91	23645 31438	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aBELT
92	23645 31453	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMSP|aDMG
93	23645 31463	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|79LIT|aDMG
94	23645 37112	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8aFEWX
95	23645 37312	   	160.83	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8BEXP|aFEWX
96	23645 31431	   	160.73	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aTLV
97	23645 31437	   	160.73	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aERES
98	23645 37113	   	160.73	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8FEWX|aDUST
99	23645 37314	   	160.73	DCR|2VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|59VULN|6RCR|7DMG|8BEXP|aTLV
100	51533 21521	 * 	160.71	ACR|2DMG|1AART|1VULN|3ASPD	124ASPD|2BPWR|39DMG|5RCR|6RMIN|7VULN|8LIT|aAART
101	23645 31433	   	160.58	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1DLOT|2AART|3MBVNT|4ZMB|58VULN|6RCR|7LIT|9DMG|aSELL
102	16133 13412	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|29VULN|3RPLT|4ZMB|5RCR|6DMG|7AART|8LWND|aDUR
103	23264 14332	 * 	160.24	DCR|2VULN|1AART|3CDMG|1ASPD|1DUR	1DLOT|2AART|3RPLT|467CDMG|57VULN|7BPWR|8ASPD|9DUR|aRCR
104	16133 13132	   	160.24	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ERES|29VULN|3RPLT|4ZMB|5RCR|6DMG|7AART|8SELL|aASPD
105	16133 13133	   	160.24	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1ERES|29VULN|3RPLT|4ZMB|5RCR|6DMG|7AART|8SELL|aDUR
106	21623 52143	   	160.23	DCR|2DMG|1AART|1VULN|1ZMB	1DLOT|2LSRREG|3AART|4LHND|5VULN|6RCR|7LIT|8aDMG|9ZMB
107	51535 23222	   	160.20	DCR|1AART|3ASPD|1DMG|1VULN|1ZMB	124ASPD|2BPWR|3DMG|5VULN|6RCR|7AART|8MBVNT|9LWND|aZMB
108	51535 23322	   	160.20	DCR|1AART|3ASPD|1DMG|1VULN|1ZMB	124ASPD|2BPWR|3DMG|5VULN|6RCR|7AART|8DUST|9LWND|aZMB
109	51535 23242	   	160.10	DCR|1AART|1VULN|3ASPD|1DMG|1ZMB	124ASPD|2BPWR|3DMG|5VULN|6RCR|7AART|8MBVNT|9DUST|aZMB
110	23213 53334	   	160.02	DCR|2DMG|1AART|3CDMG|2ASPD	1DLOT|2AART|3RPLT|4RCVC|59ASPD|69DMG|789CDMG|9BPWR|aRCR
