0	Index      	 *	Score 	Summary	Detail	
1	25136 33333	 * 	194.58	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aDMG
2	25323 43223	 * 	194.16	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|57aDMG|6AART|8DUR|9RCR
3	26423 43223	   	194.16	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	14VULN|2ERES|3CDMG|57aDMG|6AART|8DUR|9RCR
4	25134 43221	 * 	193.73	DCR|3VULN|2DMG|1AART|2CDMG	134VULN|23CDMG|3BPWR|5BEXP|6AART|7aDMG|8DMSP|9RCR
5	25323 43522	   	193.73	DCR|3VULN|2DMG|1AART|2CDMG	14aVULN|2aCDMG|3ERES|57DMG|6AART|8aCGEN|9RCR|aBPWR
6	25133 43221	   	193.63	DCR|3VULN|2DMG|1AART|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6AART|7aDMG|8DMSP|9RCR
7	25132 35215	 * 	189.47	DCR|3VULN|1AART|2CDMG|1FLTHEA|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ZMB|aFLTHEA
8	25136 62333	   	187.75	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6RMIN|7LHND|8RCR|9AART|aDMG
9	25136 13333	   	187.65	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6LWND|7TLV|8RCR|9AART|aDMG
10	25136 43333	   	187.55	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	134VULN|23CDMG|3BPWR|5ZMB|6DUST|7TLV|8RCR|9AART|aDMG
11	25323 43121	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	14VULN|2CDMG|3ERES|57aDMG|6AART|8RMIN|9RCR
12	25323 43423	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	14VULN|2CDMG|3ERES|57aDMG|6AART|8FEWX|9RCR
13	25323 43521	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	14VULN|2CDMG|3ERES|57aDMG|6AART|8CGEN|9RCR
14	26423 43121	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	14VULN|2ERES|3CDMG|57aDMG|6AART|8RMIN|9RCR
15	25323 41223	   	184.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	14VULN|27CDMG|3ERES|5aDMG|6AART|8DUR|9RCR
16	26423 41223	   	184.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	14VULN|2ERES|37CDMG|5aDMG|6AART|8DUR|9RCR
17	25131 51321	 * 	184.58	DCR|3VULN|3CDMG|1AART|1DMG	134VULN|235CDMG|3BPWR|6LHND|7RCR|8FEWX|9DMG|aAART
18	25131 31421	   	184.48	DCR|3VULN|3CDMG|1AART|1DMG	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LWND|9DMG|aAART
19	25131 51135	   	184.48	DCR|3VULN|3CDMG|1AART|1DMG	134VULN|235CDMG|3BPWR|6LHND|7RCR|8DLOT|9DMG|aAART
20	25132 36322	 * 	184.06	DCR|4VULN|1AART|2CDMG|1DUR|1ASPD	1347VULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9ASPD|aAART
21	25323 41522	   	182.18	DCR|3VULN|3CDMG|1AART|1DMG	14aVULN|27aCDMG|3ERES|5DMG|6AART|8aCGEN|9RCR|aBPWR
22	25624 32333	   	181.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	167VULN|2CDMG|3ZMB|4ERES|5BEXP|8RCR|9AART|aDMG
23	25132 35214	   	181.12	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6aDUR|7AART|8RCR|9ZMB
24	25136 33334	   	180.56	DCR|3VULN|3CDMG|1AART|1ZMB|1DUR	134VULN|23aCDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART
25	25323 42223	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|5aDMG|6AART|7DMSP|8DUR|9RCR
26	25323 43221	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|57DMG|6AART|8DUR|9RCR|aDMSP
27	25323 43222	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|57DMG|6AART|8DUR|9RCR|aLIT
28	25323 43225	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|57DMG|6AART|8DUR|9RCR|aBEXP
29	26423 42223	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2ERES|3CDMG|5aDMG|6AART|7DMSP|8DUR|9RCR
30	26423 43221	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2ERES|3CDMG|57DMG|6AART|8DUR|9RCR|aDMSP
31	26423 43222	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2ERES|3CDMG|57DMG|6AART|8DUR|9RCR|aLIT
32	25323 43224	   	178.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2CDMG|3ERES|57DMG|6AART|8DUR|9RCR|aMBVNT
33	25136 22311	 * 	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aFEWX
34	25136 22312	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aBEXP
35	25136 22313	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aLIT
36	25136 22314	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aCGEN
