0	Index      	 *	Score 	Summary	Detail	
1	14223 35523	 * 	207.70	DCR|5VULN|2DMG|1AART	15689VULN|2AART|3aDMG|4ERES|7RCR
2	14213 35523	   	205.97	DCR|4VULN|2DMG|1AART|1ZMB	1589VULN|2AART|36DMG|4RMIN|7RCR|aZMB
3	22133 13663	   	205.96	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|35DMG|459VULN|5BPWR|6DUR|7ZMB|8MLV|aRCR
4	22133 13343	 * 	201.75	DCR|2AART|2DMG|2VULN|1CDMG|1ZMB|1DUR	18AART|2CDMG|35DMG|45VULN|5BPWR|6DUR|7ZMB|9CGEN|aRCR
5	22133 11163	 * 	201.27	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	1AART|27CDMG|35DMG|459VULN|5BPWR|6DUR|8LHND|aRCR
6	22133 11333	   	201.27	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	1AART|27CDMG|35DMG|458VULN|5BPWR|6DUR|9LHND|aRCR
7	22133 11363	   	201.27	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	1AART|27CDMG|35DMG|458VULN|5BPWR|6DUR|9FEWX|aRCR
8	22133 21333	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6ZMB|7CGEN|9LHND|aRCR
9	22133 21363	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6ZMB|7CGEN|9FEWX|aRCR
10	22133 22663	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|459VULN|5BPWR|6ZMB|7FEWX|8MLV|aRCR
11	22133 34163	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|459VULN|5BPWR|6RMIN|7ZMB|8LHND|aRCR
12	22133 34333	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6RMIN|7ZMB|9LHND|aRCR
13	22133 34363	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6RMIN|7ZMB|9FEWX|aRCR
14	22133 21312	   	198.92	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6ZMB|7CGEN|9NUKE|aRCR
15	22133 34312	   	198.92	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6RMIN|7ZMB|9NUKE|aRCR
16	22133 64333	   	198.92	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6ERES|7ZMB|9LHND|aRCR
17	22133 64312	   	198.82	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|35DMG|458VULN|5BPWR|6ERES|7ZMB|9NUKE|aRCR
18	22132 38312	   	196.73	DCR|3VULN|2DMG|1AART|2CDMG	1AART|27CDMG|37DMG|478VULN|5MBVNT|6RCVC|7BPWR|9NUKE|aRCR
19	22132 38342	   	196.73	DCR|3VULN|2DMG|1AART|2CDMG	1AART|27CDMG|37DMG|478VULN|5MBVNT|6RCVC|7BPWR|9ERES|aRCR
20	22133 13143	   	196.62	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	1AART|28CDMG|35DMG|45VULN|5BPWR|6DUR|7ZMB|9CGEN|aRCR
21	22133 13623	   	196.62	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	1AART|29CDMG|35DMG|45VULN|5BPWR|6DUR|7ZMB|8MLV|aRCR
22	14213 35532	 * 	196.42	DCR|3VULN|3DMG|1AART	158VULN|2AART|36aDMG|4RMIN|7RCR|9DUST
23	22211 21562	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4ZMB|5DUR|6LIT|79DMG|8RCR
24	22333 21342	   	194.98	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6ZMB|7CGEN|9DMG|aRCR
25	22333 34342	   	194.98	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6RMIN|7ZMB|9DMG|aRCR
26	22333 54322	   	194.98	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6DMG|7ZMB|9CGEN|aRCR
27	22333 54332	   	194.98	DCR|3VULN|1AART|1DMG|1CDMG|2ASPD|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6DMG|7ZMB|9MLV|aRCR
28	14213 35521	   	194.97	DCR|4VULN|2DMG|1AART	1589VULN|2AART|36DMG|4RMIN|7RCR|aLWND
29	14213 35522	   	194.97	DCR|4VULN|2DMG|1AART	1589VULN|2AART|36DMG|4RMIN|7RCR|aCGEN
30	22133 16163	   	194.96	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|35DMG|459VULN|5BPWR|6DUR|7DMSP|8LHND|aRCR
31	22133 16333	   	194.96	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|35DMG|458VULN|5BPWR|6DUR|7DMSP|9LHND|aRCR
32	22133 16363	   	194.96	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|2CDMG|35DMG|458VULN|5BPWR|6DUR|7DMSP|9FEWX|aRCR
33	21561 43322	 * 	194.92	ACR|3VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|27LIT|3ASPD|47DUR|5RCR|67aVULN|7BPWR|8DMG|9CDMG
34	22333 54342	   	194.88	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6DMG|7ZMB|9NUKE|aRCR
35	22333 54352	   	194.88	DCR|3VULN|1AART|1DMG|1CDMG|2ASPD|1ZMB	1AART|2CDMG|35ASPD|458VULN|5BPWR|6DMG|7ZMB|9TLV|aRCR
36	22133 51431	   	194.86	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	1AART|2CDMG|356DMG|45VULN|5BPWR|7DUR|8BASHEA|9BEXP|aRCR
37	22133 52212	   	194.86	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	1AART|2CDMG|356DMG|45VULN|5BPWR|7DLOT|8DUR|9LHND|aRCR
38	22133 22343	   	194.81	DCR|2AART|2DMG|2VULN|1CDMG|1ZMB	18AART|2CDMG|35DMG|45VULN|5BPWR|6ZMB|7FEWX|9CGEN|aRCR
39	14223 35532	   	194.77	DCR|4VULN|2DMG|1AART	1568VULN|2AART|3aDMG|4ERES|7RCR|9DUST
40	22133 23343	   	194.71	DCR|2AART|2DMG|2VULN|1CDMG|1ZMB	18AART|2CDMG|35DMG|45VULN|5BPWR|6ZMB|7DUST|9CGEN|aRCR
41	26533 21342	   	194.68	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	1AART|2ASPD|35CDMG|458VULN|5BPWR|6ZMB|7CGEN|9DMG|aRCR
42	22133 24143	 * 	194.16	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	1AART|2CDMG|35DMG|45VULN|5BPWR|67ZMB|8DUR|9CGEN|aRCR
43	22212 38512	 * 	194.10	DCR|3VULN|1AART|2CDMG|1DMG|2ZMB	1AART|27CDMG|378VULN|47ZMB|5MBVNT|6RCVC|7BPWR|9DMG|aRCR
44	22131 65522	   	193.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DMG|49aVULN|5DUR|6ZMB|7LIT|8RCR
45	22211 21522	   	193.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|39aVULN|4ZMB|5DUR|6LIT|7DMG|8RCR
46	22231 65522	   	193.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|39aVULN|4DUR|5DMG|6ZMB|7LIT|8RCR
47	24363 35323	 * 	192.91	DCR|3VULN|2AART|2DMG	19AART|2CGEN|3RMIN|45aVULN|68DMG|7RCR
48	22133 41522	   	192.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2CDMG|35DMG|45VULN|5BPWR|6RCVC|7ASPD|8ZMB|9CGEN|aRCR
49	22133 41532	   	192.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2CDMG|35DMG|45VULN|5BPWR|6RCVC|7ASPD|8ZMB|9MLV|aRCR
50	22332 38352	   	192.80	DCR|3VULN|1AART|1DMG|2CDMG|2ASPD	1AART|27CDMG|37ASPD|478VULN|5MBVNT|6RCVC|7BPWR|9DMG|aRCR
51	23155 31316	 * 	192.78	DCR|2AART|2VULN|2CDMG|2FLTHEA|1ASPD	15AART|2RCVC|3aCDMG|4RMIN|6RCR|7ASPD|8aVULN|9aFLTHEA|aBPWR
52	22131 26451	   	192.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|29CDMG|39DMG|4aVULN|5DUR|69LIT|7RCVC|8RCR|9BPWR
53	22133 41542	   	192.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2CDMG|35DMG|45VULN|5BPWR|6RCVC|7ASPD|8ZMB|9NUKE|aRCR
54	22133 41552	   	192.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2CDMG|35DMG|45VULN|5BPWR|6RCVC|7ASPD|8ZMB|9TLV|aRCR
55	14213 35223	   	192.31	DCR|3VULN|2AART|2DMG	15aVULN|29AART|36DMG|4RMIN|7RCR|8CGEN
