0	Index      	 *	Score 	Summary	Detail	
1	24163 22742	 * 	195.13	ACR|3VULN|3DMG|3ZMB	1RPLT|2BELT|39aDMG|4MBVNT|5RCR|69aVULN|7NUKE|89aZMB|9aBPWR
2	41214 13334	 * 	194.47	ACR|5VULN|1AART|1DMG|1DUR	1TLV|2359aVULN|4RCR|6DMG|7AART|8DUR
3	11214 53321	   	193.34	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2357VULN|4RCR|6AART|8CGEN|9ZMB|aDMG
4	11214 53421	   	193.34	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2357VULN|4RCR|6AART|8RMIN|9ZMB|aDMG
5	11214 53121	   	193.24	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2357VULN|4RCR|6AART|8ERES|9ZMB|aDMG
6	41214 13152	   	192.64	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1TLV|235aVULN|4RCR|6DMG|7AART|8ZMB|9DUR
7	51213 36316	 * 	192.40	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1CGEN|23VULN|4RCR|56CDMG|7ZMB|8aDMG|9AART
8	41214 13221	 * 	192.29	ACR|4VULN|2DMG|1AART	1aTLV|235aVULN|4RCR|6aDMG|7AART|8LEGI|9BELT|aBPWR
9	41214 13621	   	192.29	ACR|4VULN|2DMG|1AART	1TLV|2359VULN|4RCR|6aDMG|7AART|8CGEN
10	41214 13321	   	190.52	ACR|3VULN|2DMG|1AART|2DUR	1aTLV|235VULN|4RCR|6aDMG|7AART|8aDUR|9BELT|aBPWR
11	51213 36312	 * 	190.47	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1CGEN|23aVULN|4RCR|56CDMG|7ZMB|8DMG|9AART
12	11213 54124	 * 	190.39	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	16ASPD|236VULN|4RCR|5MBVNT|6BPWR|7DMG|8DUR|9ZMB|aAART
13	11213 54684	   	190.39	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	16ASPD|236VULN|4RCR|5MBVNT|6BPWR|7DMG|8ZMB|9DUR|aAART
