0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41325 11213	6	 * 	292.08	DCR|4VULN|3DMG|2DUR	179FEWX|2RMIN|3aDUR|467aVULN|57aDMG|7aBPWR|8RCR
2	15423 23121	8	 * 	291.40	DCR|5VULN|3DUR|1DMG	17MLV|24678VULN|357DUR|7BPWR|9RCR|aDMG
3	41322 21213	6	 * 	282.66	DCR|3VULN|3DMG|3DUR	179FEWX|2RMIN|35aDUR|47aVULN|67aDMG|7aBPWR|8RCR
4	41325 21213	6	   	282.66	DCR|3VULN|3DMG|3DUR	179FEWX|2RMIN|36aDUR|47aVULN|57aDMG|7aBPWR|8RCR
5	41325 41213	5	   	282.66	DCR|3VULN|3DMG|3DUR	179FEWX|2RMIN|36aDUR|47aVULN|57aDMG|7aBPWR|8RCR
6	15123 22241	6	 * 	281.18	DCR|5VULN|2DMG|1DUR	17MLV|2479aVULN|3BEXP|5DUR|67DMG|7BPWR|8RCR
7	15223 22241	6	   	281.18	DCR|5VULN|2DMG|1DUR	17MLV|2479aVULN|3FEWX|5DUR|67DMG|7BPWR|8RCR
8	41325 11241	6	   	281.18	DCR|5VULN|2DMG|1DUR	17FEWX|2RMIN|3DUR|4679aVULN|57DMG|7BPWR|8RCR
9	15123 22231	6	   	276.22	DCR|4VULN|2DMG|2DUR	17MLV|247aVULN|3BEXP|59DUR|67DMG|7BPWR|8RCR
10	35122 22241	6	   	276.22	DCR|4VULN|2DMG|2DUR	17CGEN|279aVULN|3BEXP|45DUR|67DMG|7BPWR|8RCR
11	35125 52231	6	   	276.22	DCR|4VULN|2DMG|2DUR	17CGEN|267aVULN|3BEXP|49DUR|57DMG|7BPWR|8RCR
12	35222 22241	6	   	276.22	DCR|4VULN|2DMG|2DUR	17CGEN|279aVULN|3FEWX|45DUR|67DMG|7BPWR|8RCR
13	41322 21241	6	   	276.22	DCR|4VULN|2DMG|2DUR	17FEWX|2RMIN|35DUR|479aVULN|67DMG|7BPWR|8RCR
14	41325 21241	6	   	276.22	DCR|4VULN|2DMG|2DUR	17FEWX|2RMIN|36DUR|479aVULN|57DMG|7BPWR|8RCR
15	15423 23163	9	   	271.34	DCR|5VULN|3DUR	17MLV|24678VULN|357DUR|7BPWR|9RMIN|aRCR
16	15423 23324	10	   	271.34	DCR|5VULN|3DUR	17MLV|2467aVULN|357DUR|7BPWR|8CGEN|9RCR
17	15423 23122	8	   	271.34	DCR|5VULN|3DUR	17MLV|24678VULN|357DUR|7BPWR|9RCR|aLHND
