0	Index      	 *	Score 	Summary	Detail	
1	23236 62612	 * 	289.37	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9ERES|aCDMG
2	23236 62352	 * 	281.46	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9DMG|aCDMG
3	62132 11335	 * 	278.15	DCR|DCR|2VULN|1DMG|1AART	1MDPS|2DMG|3LWND|4LHND|59VULN|6DUST|7AART|8aRCR
4	62142 11335	   	278.15	DCR|DCR|2VULN|1DMG|1AART	1MDPS|2DMG|3LWND|4BEXP|59VULN|6DUST|7AART|8aRCR
5	62233 61335	   	278.05	DCR|DCR|2VULN|1DMG|1AART	1MDPS|2DMG|3DUST|4LHND|5LEGI|69VULN|7AART|8aRCR
6	23236 62132	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8BBNT|9DUR|aDMG
7	23236 62124	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5aVULN|67RCR|8BBNT|9AME
8	23236 62613	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1aLHND|2FEWX|3AART|4MLV|58VULN|67RCR|9ERES
9	23236 62621	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9DUST|aBEXP
10	23236 62611	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1MSE	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9ERES|aMSE
11	23236 62622	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1SELL	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9DUST|aSELL
12	23236 62623	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9aDUST
13	23236 62631	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1MSE	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9MSE|aBEXP
14	23236 62632	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1SELL|1MSE	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9MSE|aSELL
15	23236 62633	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1MSE	1LHND|2FEWX|3AART|4MLV|58VULN|67RCR|9MSE|aDUST
16	43155 23113	   	271.64	DCR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2RPLT|3AIRARM|4ERES|5BEXP|6aVULN|78RCR|9MULHEA
17	43315 23113	   	271.64	DCR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2RPLT|3BEXP|4AME|5VENICY|6aVULN|78RCR|9MULHEA
18	23236 62141	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8BBNT|9DMG|aLWND
19	23236 62332	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9TBNT|aDMG
20	23236 62351	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2aFEWX|3AART|4MLV|5VULN|67RCR|8LWND|9DMG
21	23236 62353	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1aLHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9DMG
22	62132 11355	 * 	267.76	DCR|DCR|2DMG|1VULN|1AART	1MDPS|29DMG|39LWND|4LHND|5VULN|69DUST|7AART|8aRCR|9BPWR
23	23236 62142	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8BBNT|9DMG|aMDPS
24	23236 62143	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8BBNT|9DMG|aDUST
25	23236 62312	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9ERES|aDMG
26	43155 23121	   	265.62	DCR|DCR|1VULN|1CDMG|1ASPD|1RPLT	1ASPD|2RPLT|3AIRARM|4ERES|5BEXP|6VULN|78RCR|9CDMG|aDUR
27	43315 23121	   	265.62	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3BEXP|4AME|5VENICY|6VULN|78RCR|9CDMG|aDUR
28	43315 23133	   	263.62	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1ASPD|2RPLT|3BEXP|4AME|5VENICY|6VULN|78RCR|9DUST|aDMG
29	41332 45841	 * 	261.50	DCR|4VULN|3ASPD|2CDMG	127ASPD|27BPWR|3BELT|47CDMG|5MBVNT|679aVULN|8RCR
30	23236 62242	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8RCVC|9CGEN|aCDMG
31	23236 62212	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8RCVC|9ERES|aCDMG
32	23236 62323	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9DUST|aASPD
33	23236 62343	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9MDPS|aASPD
34	23236 62363	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1LHND|2FEWX|3AART|4MLV|5VULN|67RCR|8LWND|9LEGI|aASPD
35	43341 11326	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1ASPD|2RPLT|3BEXP|4BBNT|5MDPS|6MLV|79RCR|8TBNT|aVULN
